year,jxid,doi_iso,doi_us,toi_iso,region,province,municipality,barangay,sitio,GC2013,GC2013M,LON,LAT,utmgrid,category,operation,incident,rebel_group,affil_class,initiated,firefight_mins,govtkia,govtwia,rebelkia,rebelwia,captured,apprehended,surrendered,civkilled,civwounded,civtarget,grudge,internal_inc,hpfagain,lpfagain,hpfalost,lpfalost,division,brigade,battalion,elite,special_forces,scout_rangers,sot,regular,local,chdf,caa,cvo,intel,recon,marines,mech,police,govtsize,cmdrank,rebelsize,armsgain,armslost,totcas,govtcas,rebelcas,civcas,lethalinc,capprehend,rebel_attack,govtinc,rebelinc,jxid.1,journal_extract,uid,cn,alt_id,jnmbr
2011,2008-PYWD,'2011-07-30,'07/30/2011,'20:10,DAVAO,DAVAO ORIENTAL,CATEEL,TAYTAYAN,.,P112505018,M2505,126.44506,7.74812,.,Combat (AFP Only),.,SURRENDER,NPA,COMMUNIST,GOVERNMENT,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMPANY,1LT,1,0,0,0,0,0,0,0,1,0,0,0,2008-PYWD,.,2008-07-214,.,FSRR_2011_888,15160
2010,2010-LXF9,'2009-12-28,'12/28/2009,'16:38,CENTRAL VISAYAS,NEGROS ORIENTAL,SANTA CATALINA,TALALAK,.,P074618025,M4618,122.92498,9.33355,.,.,ENCOUNTER,ENCOUNTER,NPA,COMMUNIST,GOVERNMENT,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PLATOON,1LT,0,0,0,2,2,0,0,1,0,0,0,0,2010-LXF9,"Progress Report to Journal Item Nr: 7049 dtd 28 Dec 09, re encounter 1SRC under 1LT CORDERO PA and ACoy, 79IB under 1LT DUGHO PA against CTs at vicinity Sitio Tuyugan, Talatak, Sta Catalina, Negros Oriental on 281638 Dec 09.",2009-12-001,.,FSRR_2010_01,7085
2010,2010-XU9U,'2009-12-30,'12/30/2009,'09:30,ZAMBOANGA PENINSULA,ZAMBOANGA DEL NORTE,SIBUCO,LUNDAY,.,P097216012,M7216,122.1477,7.28431,.,.,COMBAT,AMBUSH,MILF,SEPARATIST,ENEMY,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,TEAM/SQUAD,CAA,4,0,0,0,0,0,0,0,0,1,0,0,2010-XU9U,"On 300930 Dec 2009, Emilio D Rebollos, 24 yrs old, (newly graduate of CAA Basic Training) and Rolando D Prajes, 23 yrs old both residents of Bgy Lunday, Sibuco, Zamboanga del Norte while on their way to vicinity 51NVJ 032044, Sitio Pantano of same barangay to check their animal trap laid at the area were ambushed by MOL four (4) fully armed men believed to be MILF members under Abdul Majid Abdulhaman @ MOLONG using HPFAs (M14 and M16 rifles).",2009-12-002,.,FSRR_2010_04,7093
2010,2010-BREH,'2009-12-31,'12/31/2009,.,SOCCSKSARGEN,COTABATO CITY,COTABATO CITY,.,.,P129804000,M9804,124.20405,7.22464,.,.,SHOOTING,SHOOTING INCIDENT,CIVILIAN,INTERNAL,ENEMY,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TEAM/SQUAD,CPL,0,0,0,1,1,0,0,1,0,1,0,0,2010-BREH,"On 31 Dec 2009, Cpl Eduardo M Gallanta 798303 (SC) PA presently assigned with HHSVC, 38IB was shot to death by two (2) unidentified suspects using Cal .45 pistol at Corner Almonte and Del Pilar St., Cotabato City.",2009-12-003,.,FSRR_2010_02,7087
2010,2010-6XMN,'2010-01-01,'01/01/2010,'16:25,AUTONOMOUS REGION IN MUSLIM MINDANAO,BASILAN,TIPO-TIPO,BOHELEBUNG,.,P150706004,M0706,122.18487,6.51996,.,ISO,HARASSMENT,HARASSMENT,ASG,EXTREMIST,ENEMY,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1ID,1MBDE,MBLT 9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,SECTION,SGT,0,0,0,0,0,0,0,0,0,1,0,0,2010-6XMN,"On 01 Jan 2010, elements of 29MC manning Hill 187 Detachment located at Bohe Lebung, Tipo-Tipo, Basilan was harassed by an undetermined number of ASG/LMG members under unknown Comdr.",2010-01-001,2010-1-0001,FSRR_2010_05,7100
2010,2010-B7GM,'2010-01-01,'01/01/2010,'22:35,AUTONOMOUS REGION IN MUSLIM MINDANAO,MAGUINDANAO,SHARIFF AGUAK,POBLACION,.,P153808034,M3808,124.46871,6.86866,.,.,HARASSMENT,HARASSMENT,CIVILIAN,INTERNAL,ENEMY,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,TEAM/SQUAD,CPL,2,0,0,0,0,0,0,0,0,1,0,0,2010-B7GM,"On 012235 Jan 2010, OOA 01 2235H JAN 09,  ONE (1) TEAM OF 6SFC UNDER 1LT ADRALE WAS DEPLOYED TO SECURE THE AREA AND TO COUNTER THE ARMED MEN REPORTEDLY AT THE VICINITY OF THE RESIDENCE OF  JACOB AMPATUAN WHICH NEAR THE HOUSE OF HON MAYOR AKMAD AMPATUAN AT VIC (594581) POBLACION , SHARIFF AGUAK, MAG.",2010-01-002,.,FSRR_2010_103,emcoc678
2010,2010-27GU,'2010-01-02,'01/02/2010,'07:30,WESTERN VISAYAS,NEGROS OCCIDENTAL,CITY OF SIPALAY,SAN JOSE,.,P064527017,M4527,122.46421,9.81135,.,.,SNIPING,"ATTACK, SNIPING",NPA,COMMUNIST,ENEMY,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TEAM/SQUAD,CPL,0,0,0,0,0,0,0,0,0,1,0,0,2010-27GU,"On 020730 Jan 2010, , 1/2/B/61IB led by Cpl Abella PA, while conducting security at Globe Cell Site located at So. Don Jose Brgy, San Jose, Sipalay City, NOC, 51P VL 384855 were sniped by undet number of CTs positioned at 300 meters north from the location of the troops",2010-01-004,.,FSRR_2010_07,CC001
2010,2010-SS7F,'2010-01-02,'01/02/2010,'07:30,WESTERN VISAYAS,NEGROS OCCIDENTAL,CITY OF SIPALAY,SAN JOSE,.,P064527017,M4527,122.46421,9.81135,51P VL 384855,ISO,SNIPING,"ATTACK, SNIPING",NPA,COMMUNIST,ENEMY,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3ID,303BDE,61IB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,TEAM/SQUAD,CPL,0,0,0,0,0,0,0,0,0,1,0,0,2010-SS7F,"On 020730 Jan 2010, one (1) squad from 2nd platoon, BCoy, 61IB led by Cpl Abella PA while conducting security operations at Globe Cell Site located at Sitio Don Jose, Bgy San Jose, Sipalay City, Negros Occidental 51P VL 384855 were sniped by an undetermined number of CTs positioned at 300 meters north from the location of the troops.  No casualty was reported on the government side.",2010-01-003,2010-1-0002,FSRR_2010_06,7109
2010,2010-NDTK,'2010-01-03,'01/03/2010,'19:20,SOCCSKSARGEN,COTABATO,MAGPET,NOA,.,P124706037,M4706,125.10082,7.15462,.,.,SURRENDER,SURRENDER,CIVILIAN,INTERNAL,GOVERNMENT,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,.,.,.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,SECTION,SGT,1,1,0,1,0,0,1,1,0,0,0,0,2010-NDTK,"On 031920 Jan 2010, a certain Delion Tan, 40 yrs old, married, a resident of Sitio Kalingahon, Bgy Noa, Magpet, North Cotabato, voluntarily surrendered to Bgy Chairman Gedlon Tamonde of Bgy Noa and SSg Renato B Tupaz 780596 PA, Squad leader, BCoy, 57IB assigned at said barangay. The suspect surrendered after shooting his own brother, Oscar Tan, a resident of Bgy Tiko, Magpet, North Cotabato using his HM Shotgun which resulted to the latter`s death.  Motive of killing was personal grudge.",2010-01-006,.,FSRR_2010_107,7111
2010,2010-LNA3,'2010-01-03,'01/03/2010,'16:00,DAVAO,DAVAO ORIENTAL,LUPON,.,.,P112507000,M2507,126.02195,6.89695,.,ISO,SURRENDER,SURRENDER,NPA,COMMUNIST,GOVERNMENT,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10ID,1001BDE,28IB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,BATTALION,CPL,3,0,0,0,0,0,0,0,0,0,0,0,2010-LNA3,"On 031600 Jan 2010, three (3) CTs of GF 18, SMRC voluntarily surrendered to Hq 28IB at Brgy Barol, Lupon, Davao Oriental",2010-01-005,2010-1-0008,FSRR_2010_104,7117
