Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
EMC04513,EASTMINCOM ,REGION X,CAMIGUIN ,OTHERS,NFEM ,CDO-0412-159 ,08 Apr 2012,"Progress Report from Journal Nr. Progress report to our cnr: EMCOC – 0804 – 509– 12 dtd 4/9/2012On 080945 Apr 2012, OOA 080945H Apr 12, ship’s crew was able to safety-pull said craft to the pier using a mooring line attached to the pier.",,,,,,,,
16846,WESTMINCOM ,REGION IX,ZAMBOANGA SIBUGAY ,SHOOTING,1ID ,1DC 1404-1184-2012 ,14 Apr 2012,"On 140730 Apr 2012, shooting incident transpired at crossing Brgy Loboc and Tumanggong both of Tungawan,  Zamboanga Sibugay wherein the victim as Sgt Dexter T Deluso  PA, assigned at 32IB was shot to death by identified personality Kalim (lNU) with two (2) unidentified companions under Iyong Yacob @ Bote of striking force MILF, BIAF, WMC. The victim sustained gunshot wounds on different parts of his body that caused his instantaneous death.Government Side:",,KIA Sgt Dexter T Deluso  PA,,,,,,The victim was brought to  Tungawan Municipality Health Center for proper disposition. LAWLESS ELEMENTS:
16910,NOLCOM ,REGION III,ZAMBALES ,SURRENDER OF FA,NOLCOM ,CN-0569-24-04-12 ,24 Apr 2012,"On 240900 Apr 2012, a certain Ramon Dela Cruz y Ocampo voluntarily surrendered one (1) M2 carbine and four (4) magazines loaded with twenty eight (28) ammunitions to the operating troops of B24IB under 1LT NIMROD CHRISO B LUGO (INF) PA while conducting combat operation at vicinity So Tayaban, Brgy Maguisguis, Botolan, Zambales. Said troops are still in the area.Firearms Gains:",,,,Surrendered 1 - Carbine rifle (sn: still being determined),,Surrendered 4 - Magazines 28 - Ammunitions,,
16855,SOLCOM ,REGION V,MASBATE ,ENCOUNTER,SOLCOM ,SLCOC-1704-352-12 ,16 Apr 2012,"On 160530 Apr 2012, 160530 April 2012, joint elements of Balud MPS, Masbate and PPSC team under PSI RODEL L PESCUELA PNP while conducting combat strike operations at vic Binon-an, Brgy Palani, Balud, Masbate encountered MOL six (6) unidentified armed men believed to be members of  ""SAKU GANG"", a robbery holdup gang. Firefight lasted for about ten (10) minutes.Enemy Side:",Killed LE Name is still being determine   Wounded LE Name is still being determine  ,,,Recovered 1 - M1 Garand rifle (sn: still being determined) 1 - M16 rifle (sn: still being determined) 1 - Cal .38 revolver (sn: still being determined),,,,Wounded persons rushed to Balud Municipal Hospital for immediate medical treatment.
16931,CENTCOM ,REGION VIII,NEGROS OCCIDENTAL ,HOLDUP/ROBBERY,CENTCOM ,COC-2012-071 ,25 Apr 2012,"On 252300 Apr 2012, a white Isuzu Elf truck bearing plate number YAH-347 driven by Boy Zamora with two (2) passengers onboard wherein one was identified as Ernesto BAHA, 48 years old, married, ex-Army/7IB member and resident of Brgy Talacagay, Hinoba-a, NOC and 1 unidentified female was strapped by MOL 4 unidentified men armed with a 12 gauge shotgun and an unidentified firearms along the high way of Sitio Manauban, Purok 5, Brgy Lina-on, Cauayan, NOC. Afterwhich, they took away their personal belongings to include 1 wallet, 1 9mm Cal pistol and 1 unit cellphone. After committing the crime, the suspects fled away towards different directions. accordingly, victims were onboard on said truck loaded with charcoal and traversing the Sipalay to Cauayan National road when the perpetrators attached them. After which, Ernesto Baha sustained gun shot wounds ont the left jaw and left hand was brought to Isio District Hospital, Brgy Isio, Cauayan, NOC for medical treatment but was further referred to Bacolod City Hospital. Initially recovered from the crime scene is 1 live ammo of 12 gauge shotgun.Action Taken:",,,,,,,,"Ooa 262430 April 2012, 7 man team led by 1LT REY B BALIBAGOSO (INF) PA, CO Charlie Coy 47IB immediately proceeded to the crime scene and conducted pursuit operation against the perpetrators while COLT 3 operatives of 47IB led by Cpl Rey G Enculesio (Inf) PA conducted initial investigation/elicitation in the area."
16812,WESCOM ,REGION IV-B,PALAWAN ,EXPLOSION (GENERAL,WESCOM ,WCU3-0405-3-2012 ,06 Apr 2012,"On 051730 Apr 2012, An explosion occurred at Royal Bus terminal at Brgy San Jose, Puerto Princesa City, Palawan which resulted to the wounding of three (3) civilians. Allegedly an IED was placed inside a sack of rice which emanated from Bataraza, Palawan. . The owner of the said sack of rice is under the custody of the PNP for custodial debriefing.Action Taken:",,,,,,,,Incident is being investigated by the local PNP.
16816,WESCOM ,REGION IV-B,PALAWAN ,EXPLOSION (GENERAL,WESCOM ,WCU3-0405-134 ,06 Apr 2012,"Progress Report from Journal Nr. 16812 dtd 06 April 2012, re explosion occurred at Royal Bus terminal at Brgy San Jose, Puerto Princesa City, Palawan which resulted to the wounding of three (3) civilians. Allegedly an IED was placed inside a sack of rice which emanated from Bataraza, Palawan on 051730 April 2012.Civilian Side:",,,Injured  Marivic Arias  Joey Pabacan  Sinon Magdayao,,,,"The said sack of rice is owned by Mrs Malaya Lopez Molleda, 66 yrs old, retired teacher and resident of Poblacion Bataraza municipality. She was invited by the City PNP for questioning.",
EMC04461,EASTMINCOM ,REGION 12,COTABATO ,LAND MINING,6ID ,6DTOC-0104-218-12 ,01 Apr 2012,"Progress Report from Journal Nr. Progress report to our cnr: EMCOC – 0104 – 460– 12 dtd 4/1/2012On 010630 Apr 2012, OOA 010630H Apr 2012, one (1) section composed of S7 personnel, 57IB and 62nd CMO Coy led by 1LT MANUEL GATUS JR O-140307 INF PA onboard military vehicle and while on their way to Brgy Bagumbayan, Magpet, NCot to conduct pulong-pulong, two (2) landmines were exploded along the side of the road at vic 51N YH 326808 Brgy Mateo, Kidapawan City. The incident resulted negative casualty on government troops and recovered one hundred (100) mtrs detonating cord and firing device.",,,,,,,,
EMC04487,EASTMINCOM ,REGION 12,NORTH COTABATO ,LAND MINING,6ID ,6DTOC-0304-227-12 ,04 Apr 2012,"Progress Report from Journal Nr.    Addendum/progress report to our cnr: EMCOC – 0104 – 460– 12 dtd 4/4/2012On 010630 Apr 2012, OOA 010630 Apr 12, one section (1) composed of S7 personnel of 57IB and 62nd  CMO Coy led by 1LT MANUEL S GATUS JR 0-140307 (INF) PA while on their way to Magpet, Cotabato to conduct Pulong-pulong thereat two (2) landmines exploded along national highway beside the rubber plantation owned by Hipolito family at vic Brgy Mateo (51N YH 326808), Kidapawan City. After the incident, a certain Mel Caidez Rosales, a rubber topper sighted two (2) CNN wearing yellow T-shirt and black sweat shirt with bonnet who triggered the landmine and withdrew towards Purok 1, Brgy Mateo going to So Casilac, Brgy Linangcob and Sto Niño both of Kidapawan City. Result: Neg casualty on the troops. Recovered in the area are one (1) switch box with two (2) AA battery and MOL 100 meters wire. ",,,,,,,,"OOA 010630 April 2012, Pltn minus (-) of BCoy, 57IB led by CPT ERNESTO D AGUILAR 0-132516 (INF) PA and 1LT JAY PARIS L CABATIC 0-15273 (INF) PA  together with Pltn minus (-) of 40IB led by 1LT TOBIAS (INF) PA left Bravo Coy TCP station at Brgy Gubatan, Magpet, Cot and proceeded to the area. At about 0645H same day, three (3) intel operatives of 57IB were tasked to proceed to the area to assessed the situation and to gather further information re possible route of withdrawal of the perpetrators. EASTMINCOM (REGION 12) NORTH COTABATO (LANDMINING) Ref: 6ID Report RN: 6DTOC-0304-227-12 dtd 04 Apr 2012 Progress Report from Journal Nr.    Addendum/progress report to our cnr: EMCOC – 0104 – 460– 12 dtd 4/4/2012 On 010630 Apr 2012, OOA 010630 Apr 12, one section (1) composed of S7 personnel of 57IB and 62nd  CMO Coy led by 1LT MANUEL S GATUS JR 0-140307 (INF) PA while on their way to Magpet, Cotabato to conduct Pulong-pulong thereat two (2) landmines exploded along national highway beside the rubber plantation owned by Hipolito family at vic Brgy Mateo (51N YH 326808), Kidapawan City. After the incident, a certain Mel Caidez Rosales, a rubber topper sighted two (2) CNN wearing yellow T-shirt and black sweat shirt with bonnet who triggered the landmine and withdrew towards Purok 1, Brgy Mateo going to So Casilac, Brgy Linangcob and Sto Niño both of Kidapawan City. Result: Neg casualty on the troops. Recovered in the area are one (1) switch box with two (2) AA battery and MOL 100 meters wire.  Action Taken: OOA 010630 April 2012, Pltn minus (-) of BCoy, 57IB led by CPT ERNESTO D AGUILAR 0-132516 (INF) PA and 1LT JAY PARIS L CABATIC 0-15273 (INF) PA  together with Pltn minus (-) of 40IB led by 1LT TOBIAS (INF) PA left Bravo Coy TCP station at Brgy Gubatan, Magpet, Cot and proceeded to the area. At about 0645H same day, three (3) intel operatives of 57IB were tasked to proceed to the area to assessed the situation and to gather further information re possible route of withdrawal of the perpetrators."
EMC04501,EASTMINCOM ,REGION 12,SULTAN KUDARAT ,HARASSMENT,6ID ,6DTOC-0604-234-2012 ,07 Apr 2012,"On 060530 Apr 2012, post number 2 of COOP Beneficiary MINPARBEMCO beside PNP Peacekeeping Force at Purok Esmeralda, Brgy Upper Katungal, Tacurong City was harassed by more or less one hundred seventy two (172)  (armed and unarmed men) with assorted firearms of unknown group. Action Taken:",,,,,,,,"Immediately, one (1) squad Charlie Coy, 38CBn under CAPTAIN ORCULLO with troops of COLONEL POSADAS of Provincial Police Security Coy (PPSC), Regional Public Safety Bn (RPSB) team and TCPO led by P/Insp TUZON arrived in the area to assess the situation and conducted initial investigation. "
EMC04502,EASTMINCOM ,REGION 12,COTABATO ,SHOOTING,6ID ,6DTOC-0604-236-2012 ,07 Apr 2012,"On 060500 Apr 2012, CAA Alex Abas Guialudin CO-GO7-000092 PA, married, 48 yrs old, presently assigned at Kayaga Det, 32nd NC CAA Coy under Bravo Coy, 38CBn while on off duty status and attending his farm at Brgy Balabak, Pikit, Cot was shot by unidentified armed men using assorted high powered FAs. Said CAA suffered multiple gunshot wound on his body that caused his instantaneous death. Motive of incident is believed to be land conflict and personal grudge. Cadaver of said CAA was brought by his family to Sitio Minanga, Brgy Maridagao, Carmen, Cot for proper disposition. Next of kin: Ruwera Datang Guialudin- wife.",,,,,,,,
EMC04561,EASTMINCOM ,REGION 12,SULTAN KUDARAT ,HARASSMENT,6ID ,6DTOC-1504-255-12  ,15 Apr 2012,"On 150040 Apr 2012, undetermined number of lawless armed group believed to be under a certain Sik Sukarno fired several shots using assorted HPFAs towards Brgy Bagumbayan, Pres Quirino, SK (51NXH 883500). Result - Negative casualty on the civilians. Action Taken:",,,,,,,"The intelligence operation was conducted due to the report that @ Kindat transported firearms from So Balagon, Brgy Midpandakan, Gen Salipada K Pendatun, Maguindanao to So Gantong, Brgy Tunggol of same municipality.               Result of Operation: Recovery of three (3) RPGs, one (1) M79 GL and three (3) ammos of RPG concealed in a sack abandoned at vicinity GC 51N XH 92504 50107, Brgy Kakal, Paglat, Maguindanao. ","Troops in the adjacent CAA Detachment took up defensive position and now on alert status. CO, 33IB has already made a coordination with the local PNP for investigation.  EMC04599  EASTMINCOM (ARMM) MAGUINDANAO (RECOVERY) Ref: 6ID Report RN: 6DTOC-1904-267-2012 dtd 19 Apr 2012 On 190840 Apr 2012, Intel Platoon of 33IB, PA led by 1LT ROMMEL J DE LOS SANTOS (MI) PA, Intelligence Officer conducted Intel operations on the reported couriers of firearms shipment from the group of @ Kindat. Reportedly, @ Kindat is a follower of Comdr Gani Saligan @ Gani who is a cousin of lawless element leader Zukarno Hamdan @ Sik. "
EMC04604,EASTMINCOM ,XII,COTABATO ,SURRENDER,6ID ,6DTOC-2004-269-2012 ,20 Apr 2012,"On 191900 Apr 2012, Intel Platoon of 57IB led by 1LT MIGUEL P YAOS (MI) PA with the joint effort of 46 MICO, PNP and CIDG facilitated the successful surrender of Rex Ansabo, a wanted person with Criminal Case 1543 for murder at Brgy Mahungcog, Magpet Cotabato. Subject surrendered one (1) M1 Garand rifle and one (1) homemade Shotgun. Firearms Gains:",,,,SURRENDERED 1 - M1 Garand  (sn: ) 1 - homemade Shotgun (sn: ),,,"Subject person was properly turned-over to elements of PNP and CIDG Kidapawan City, NCOT for proper disposition.  Subject surrendered one (1) M1 Garand rifle and one (1) homemade Shotgun.     ",
EMC04669,EASTMINCOM ,ARMM,MAGUINDANAO ,APPREHENSION,6ID ,6DTOC-2804-289-12  ,28 Apr 2012,"On 270500 Apr 2012, joint elements of PDEA ARMM led by Director LTC EDWIN LAYESE (Ret) and one (1) section of Scout Platoon led by 1LT MONTENEGRO and 2LTQUIÑONES; one (1) Platoon of ACoy led by 1LT CAJADA and 2LT LALUAN all of 37IB conducted anti-illegal drug operation at Brgy Bulalo, Sultan Kudarat, Maguindanao.  ",,,,,,,"Said operation resulted to the arrest of Marco Taruyan. AKA Omar Taruyan, a watch listed drug pusher, 32 yrs old, married and a certain Bai Bhing Taruyan, 33 yrs old, married, both res of Brgy Bulalo, SK, Mag with search warrant nr 2012-008 dated 26 Apr 12 issued by Hon Bansawan Z Ibrahim, Al Haj, Executive Judge, 12TH Judicial Region, RTC Branch 13, Cotabato City. Seized from the possession of Marco Taruyan were one (1) piece small size heat sealed transparent plastic sachet containing white crystalline substance believed to be shabu weighing MOL 0.03 gram, assorted empty plastic sachets, two (2) pieces bamboo improvised sealer and one (1) piece improvised needle. Seized from the possession of a ctn Bai Bhing Taruyan were two (2) pieces small size heat sealed  transparent plastic sachet containing white crystalline substance believed to be shabu weighing MOL 0.05 gram, five (5) improvised lighters, one (1) piece water pipe tooter and one (1) piece improvised tooter. Seized drug evidences were submitted to PNP Regional Crime Lab Service ARMM, PC Hill, Cot City for quantitative/ qualitative examination and custody while the seized non drug evidences will be submitted to the court upon return to the search warrant. Appropriate charges for violation RA 9165 are being readied for filing before the Maguindanao Province Prosecution Office against the arrested suspects who are presently detained at PDEA ARMM Jail Facility, PC HILL, Cotabato City.",
16808,WESTMINCOM ,REGION IX,BASILAN ,AMBUSH,WESTMINCOM ,wmc-0504-01 ,05 Apr 2012,"On 050600h Apr 2012, members of tappers of rubber plantation together with members of SCAA OF TARBIDC Detachment aboard a civilian vehicle were ambushed by unidentified numbers of LLEs at vic 51N UH954180, B/W Blk 25 and 26 Sapah Bulak, Sumisip, Basilan, ProvinceAction Taken:",,,,,,,,"a. Ooa 050600H April 2012, one (1) SFTm from 20SFC, 4 SFB UNDER 2lt ebal, immediately proceeded to the area to reinforce the ambushed SCAA and still thereat: b. AA 0700H, one (1) team under CPT GOEFFREY A FABROS (INF) , EX-O, 20SFC proceeded to the area for a additional troops and conducted blocking at vic 51N UH 955160 for possible enemy withdrawal.c. At about 1055H same day, two (2) UH-1H helos departed EAAB, Zamboanga City to pickup seven (7) WIAs and arrived CGNH at about 1125H. Thereafter, Comdr, WMC, U3, U2 and party boarded same craft for Tabiawan, Isabela  City, BP to asses the situation and arrived at about 1142H same day, Likewise dependents of wounded SCAA were also ferried by same aircraft for CGNH, Zamboanga City. "
