Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
10738,WESTMINCOM ,ARMM,SULU ,APPREHENSION,WESTMINCOM ,WMC-0408-01 ,04 Aug 2010,"On 04 Aug 2010, a certain Robin Sahiyal @ Tamiya, ASG/UTG member under the late ASG leader Abdurajak Janjalani was apprehended by combined elements of PNP (SAF) and operatives of 300th AISG, PAF at vicinity KM2, Brgy Kajalian, Indanan, Sulu. Sahiyal was involved in Jehovah`s Witnesses` and Dos Palma`s kidnappings and had a warrant of arrest with CC nr 125323-H to 125324 and 815-3 issued by Pasig RTC. Sahiyal was brought to SPPO for tactical interrogation and proper disposition.",,,,,,,,,
10751,WESTMINCOM ,REGION IX,SURIGAO DEL SUR  ,APPREHENSION,ISAFP ,STL DTD 05 AUG 10 ,05 Aug 2010,"On 05 Aug 2010, ASG member Musa Bararuddin @ Musa Samsudin was arreasted by the joint elements of 304 AISS, TF Zamboanga and Zamboanga City Police at the vicinity Brgy Sangali, Zamboanga City.Enemy Side:", Apprehended  Musa Bararuddin @ Musa Samsudin,,,,,,"Subject has standing warrant of arrest for kidnapping and illegal detention under CC Nr 3608-1164 in Lamitan Siege issued by Hon Danilo M Bucoy of 9th Judicial Region, RTC, Isabela City, Basilan with Php 350,000.00 as reward for his arrest.",,
10955,WESTMINCOM ,ARMM,SULU  ,EXPLOSION IED,WESTMINCOM ,WMC-2808-01 ,28 Aug 2010,"On 27 Aug 2010, an Improvised Explosive Device (IED) exploded at Brgy Along Dumping site area of Patikul Sulu.Other Details:",,,,,,,"Info received from AA of TOG9 revealed that ASG/UTG Abu Tank purchased six (6) units of cell phones, one of this is believed to have been used as detonator.",Operating troops MBLT5 conducted preliminary investigation in the area.,
10956,WESTMINCOM ,ARMM,ZAMBOANGA DEL SUR  ,APPREHENSION,ISAFP ,STL DTD 27 AUG 10 ,27 Aug 2010,"On 251600 Aug 2010, two (2) ASG members were arrested by elements of PRO9 and SAF-Seaborne Coy, PNP at Villa Margarita Drive, Brgy San Roque, Zamboanga City.Enemy Side:", Apprehended  Jhon  Buhari Jamiri @ Kabus/Kabys Sapnata/Jhon Hasim/Jamil Hasim  Halik Alih Harun @ Halik Alih/Liks Halik Harun,,,,,,"JAMIRI & HARUN are followers of Basilan based ASG leader Nur Hassan Jamiri, involved in the beheading of fourteen (14) PMAR soldiers during an ambush in Brgy Guinanta, Tipo-tipo, Basilan Province last 10 July 2007.","The captured ASGs are now under the custody of RID, PRO9 for custodial debriefing MNLF-MG:",
10833,WESTMINCOM ,REGION IX,ZAMBOANGA DEL SUR  ,APPREHENSION,ISAFP ,SPOT REPORT DTD 13 AUG 10 ,13 Aug 2010,"On 13 Aug 2010, by virtue of the Warrant arrest docketed under Criminal Case Nr 1118-4 for three (3) counts of murder and multiple frustrated murder issued by Hon Bendaudi Arabani Sr of Branch 4, RTC9, Parang, Sulu, joint elements of CIDG9 led by SSPUPT DIOCOS and MIG9 apprehended a certain Marlon Jilano @ Marlon at vicinity Port Area, RT Lim Boulevard, Zamboanga City. Enemy Side:", Apprehended  Marlon Jilano @ Marlon,,,,,,"Subject person was one of those MNLF charged in the landmine explosion in Kagay, Indanan, Sulu last 29 Sep 2009, that killed two (2) US servicemen and one (1) Philippine Marines Soldier and wounding of other US and AFP troops. MILF:",,
10727,EASTMINCOM ,REGION XI,COMPOSTELA VALLEY PROVINCE ,RAID,EASTMINCOM ,EMCOC-0308-382-10 ,03 Aug 2010,"On 02 Aug 2010, a certain Edgar Malaydan, a suspected LMG member was apprehended during a raid conducted by joint elements of SFTM 702, 7SFC, 3SFB, SOCOM, PA under 2LT NIWANE PA and MIG11 composed of two (2) officers and fifteen (15) EP under 1LT DAGDAG PA at vicinity Km4, Brgy Casoon, Monkayo, Compostela Valley Province.Enemy Side:", Apprehended  Edgar Malaydan  ,,,,,,,Apprehended person was turned -over to proper authority for filing of appropriate charges in court.,
10771,EASTMINCOM ,ARMM,MAGUINDANAO  ,ARMED CLASH,EASTMINCOM ,EMCOC-0708-414-10 ,07 Aug 2010,"On 071200 Aug 2010, sporadic firefight ensued between two (2) MILF groups under Abu Nawas of 104BC and Hadjme of 106BC at vicinity boundary of Brgy Alonganan and Brgy Liong both of  Datu Piang, Maguindanao.Other Details:",,,,,,,Accordingly the group under Abu Nawas was positioned at Vicinity Brgy Alonganan while the group of Hadme was positioned at Brgy Liong same Municipality. Firefight is still on progress.,"AA 1400 same day. The Batallion Commander and staff of 29IB together with scout platoon, one(1) ACoy and one(1) platoon of CCoy proceeded towards Brgy Balanaken, Datu Piang, Maguindanao near the encounter site. Progress report to follow.",
10772,EASTMINCOM ,ARMM,MAGUINDANAO  ,HARASSMENT,EASTMINCOM ,EMCOC-0708-415-10 ,07 Aug 2010,"On 071230 Aug 2010, the group of CVO and one (1) platoon, 29IB were harassed by followers of Roberto Uy @Tata of unidentified battalion 105BC, CMF, MILF using caliber 50 and 60 GPMG at Reina Regente, Datu Piang, Maguindanao. Intermittent firefight lasted for about 1645H same day.Action Taken:",,,,,,,,The mortar section delivered indirect fires using 81MM mortar and 60MM mortar towards enemy positions.,
10781,EASTMINCOM ,ARMM,MAGUINDANAO  ,HARASSMENT,6ID ,6DTOC-0808-107-10 ,08 Aug 2010,"On 08 Aug 2010, one (1) Platoon of BCoy, under 2LT BARRIOS PA and one (1) platoon of CCoy under 2LT SOQUERATA PA, both of 29IB, 6ID, PA while at their PB were harassed by MOL fifty (50) LMG under Tata Uy at vicinity Brgy Reina Regente, Datu Piang, Maguindanao. No reported casualties both sides.Action Taken:",,,,,,,,"Immediately, mortar section delivered indirect fires using 81MM mortar and 60MM mortar towards enemy positions.",
10798,EASTMINCOM ,REGION XII,COTABATO  ,SURRENDER,"6ID, PA ",CN 6DTOC-1008-113-2010. ,10 Aug 2010,"On 100900 Aug 2010, Seventeen (17) MILF Members under 108BC led Tanny M Masabbi @ Tawan Tawan from Paglat, Maguindanao voluntarily surrendered with firearms at ACP, 603Bde, PC Hill, Cotabato City. Enemy Side:",Surrendered  Tanny Mabibil Masabbi    Nasser Masabpi Diao    Nolds Slim Camsa    Danny Edsel Untuz    Datu Ali Singkala Sagan    Palistin Ulama Kutin    Mohammad Saban Usman    Bernie Alang Mohammad    Basser Migdakal Kamama    Ibrahim Mabpi Dipatuan    Toto Lumipog Delna    Datnot Saligidin Idu    Ibrahim Sadan Usman    Reynald Kadalin Balasid    Arnel Saligan Tamama    Norodin Saligan Tamama    Al-Amir Daunutan Kamama  ,,,"Surrendered 1 - M79 GL (sn: defaced) 1 - cal .38 revolver (sn: defaced) 1 - garand rifle (sn: 2925688) 2 - M16 rifles (sn: 142338, defaced) 2 - RPG (sn:  )",,,"The surrederees signified their intention to join in the peace and development program and expressed their trust, confidence to 603Bde which prompted them to voluntarily surrender themselves and their FAs.","The surresnderees were still at CP PC Hill, Cotabato City for proper disposition.",
10814,EASTMINCOM ,ARMM,MAGUINDANAO  ,PERSUASION FLIGHT,6ID ,6DTOC-1008-117-2010 ,10 Aug 2010,"On 091415 Aug 2010, SF 260 TP of PAF fired two (2) rockets white phosphorous (WP), one round was fired at vicinity of Brgy Alonganen, Datu Piang, Maguindanao between the location of the two (2) warring MILF groups under Abu Nawas of 105th BC and Adsmie of 106th BC. The other round was fired at the location of LMG under Cmdr Tata Uy. At about 1600 same day, 105MM Howitzer of 12 FAB fired one (1) round of WP at LMG location under Cmdr Tata Uy at vic Brgy Reina Regente, Datu Piang, Maguindanao.",,,,,,,,,
EMC08391,EASTMINCOM ,REGION XI,COMPOSTELA VALLEY PROVINCE ,RAID,10ID ,10ID3 – TOC – 0408 – 362 – 10 ,04 Aug 2010,"RE APPREHENSION OFEDGAR MALAYDAN A SUSPETED JI. On 021900 Aug 2010, RE APPREGENSION OF EDGAR MALAYDAN A SUSPECTED MILF LOST COMMAND LEADER AND ALLEGED JI CELL MEMBER ON 02 1900 AUG 10",,,,,,,FOR INFORMATION AND REFERNCE.,,
10720,WESTMINCOM ,REGION X,LANAO DEL NORTE ,SURRENDER,"1ID, PA ",1DC-0208-1454-10 ,03 Aug 2010,"On 01 Aug 2010, Roman Baguio Daupay @ Abu Khanapia, 42 yrs old and son Blackman Amigos Daupay @ Black, 18 yrs old, both members of 306th Battalion of 103rd Base Command, BIAF, MILF under Hadji Nur operating in Kapai, Lanao del Sur voluntarily surrendered with firearms to the elements of ECoy, 5IB, 1ID, PA at vicinity Lanipa Detachment, Iligan City.Enemy Side:",Surrendered  Romeo Baguio Daupay @ Abu Khanapia  Blackman Amigos Daupay @ Black  Romeo Baguio Daupay @ Abu Khanapia  Blackman Amigos Daupay @ Black  Romeo Baguio Daupay @ Abu Khanapia  Blackman Amigos Daupay @ Black  Romeo Baguio Daupay @ Abu Khanapia  Blackman Amigos Daupay @ Black  Romeo Baguio Daupay @ Abu Khanapia  Blackman Amigos Daupay @ Black  Romeo Baguio Daupay @ Abu Khanapia  Blackman Amigos Daupay @ Black,,,Recovered 1 - M16AI US rifle (sn: 143136) 1 - Cal .30M1 Garand rifle (sn: 3104375) 1 - M16AI US rifle (sn: 143136) 1 - Cal .30M1 Garand rifle (sn: 3104375) 1 - M16AI US rifle (sn: 143136) 1 - Cal .30M1 Garand rifle (sn: 3104375) 1 - M16AI US rifle (sn: 143136) 1 - Cal .30M1 Garand rifle (sn: 3104375) 1 - M16AI US rifle (sn: 143136) 1 - Cal .30M1 Garand rifle (sn: 3104375) 1 - M16AI US rifle (sn: 143136) 1 - Cal .30M1 Garand rifle (sn: 3104375),,Recovered 5 - Long mags for M16 rifle 2 - Shot mags for M16 rifle 5 - Clips with 21 rounds of ammunition of Garand rifle 61 - Rounds of Cal .5.56 mm 5 - Long mags for M16 rifle 2 - Shot mags for M16 rifle 5 - Clips with 21 rounds of ammunition of Garand rifle 61 - Rounds of Cal .5.56 mm 5 - Long mags for M16 rifle 2 - Shot mags for M16 rifle 5 - Clips with 21 rounds of ammunition of Garand rifle 61 - Rounds of Cal .5.56 mm 5 - Long mags for M16 rifle 2 - Shot mags for M16 rifle 5 - Clips with 21 rounds of ammunition of Garand rifle 61 - Rounds of Cal .5.56 mm 5 - Long mags for M16 rifle 2 - Shot mags for M16 rifle 5 - Clips with 21 rounds of ammunition of Garand rifle 61 - Rounds of Cal .5.56 mm 5 - Long mags for M16 rifle 2 - Shot mags for M16 rifle 5 - Clips with 21 rounds of ammunition of Garand rifle 61 - Rounds of Cal .5.56 mm,"a. Accordingly, during the initial custodial debriefing, @ Abu Khanapia admitted that he was one of the members of MILF based at Camp buldon Abubakar, Maguindanao when war erupted from January to April 2007. He further admitted that he was directed by @ Comdr Clinton and @ Comdr Abdul Basil, both MILF lost command from 301st Bn of 103Bde BC Butig, LDS to burn bulldozer in Kalilangan, Iligan City last Jul 2009, he however did not follow said orders. He further revealed that his team members were the ones responsible in toppling down NGCP steel towers in Iligan City by planting  improvised bombs at the foot of of the towers. Due to failure to comply of these two orders given him the two were considered enemy of the group. @ Abu Khanapia admitted that he has a standing warrant of arrest for the crime of murder in 1995 before he joined the MILF in 1997. b. Said surrenderee`s were motivated to avail of the Balik-Baril, livelihood and amnesty program of the government and wanted to lead a more peaceful life. c. Subject personalities are now under custody of 5IB, 1ID, PA.",The surrendered firearms will be turn-over to H5IB for safekeeping.  ,
