Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
15350,NOLCOM ,REGION IVA,QUEZON ,SURRENDER,SOLCOM ,SLCOC-0508-611 ,05 Aug 2011,Enemy Side:Surrendered,Surrendered/ Vicky  Olassiman @JOY,,,Surrendered/1 - Colt M653 (sn: Defaced),,2 - Rifle grenade 4 - Short magazines for M16 rifle 2 - Long magazine for M16 rifle 1 - Loptop with Charger  - Subversive documents,,
15287,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-0108-02 ,01 Aug 2011,"Progress Report from Journal Nr. 15236 dtd 7/29/2011 re encountered of SOP211, MBLT11 against undet number of ASG at vic Mt. Tunggol, Patikul, Sulu On 280430 Jul 2011.Government Side:",,WIA 2LT GINO DOMINIC  Z DINO 0-16125 PN (M) Cpl Carymer R Ungos 824112 PN (M) Cpl Rene D Sorilla 844308 PN (M) Cpl Adrian A Camarote 844700 PN (M) Cpl Adrian E Cadag 844687 PN (M) Cpl Bennajar  A Baridji 843889 PN (M) Cpl Valerio V Altez  Jr 840537 PN (M) Pfc Jhon L Maxian 864037 PN (M) Cpl Rodel C Recafrente 853902 PN(M) Cpl Eson Crispin o 853776 PN (M) Pfc Vic O Mesia 873329 PN (M) Pfc Alex L Quizam 880919 PN (M) Pfc Samuel G Serapion 886146 PN (M),,,,,,
15288,WESTMINCOM ,ARMM,SULU ,RECOVERY,WESMINCOM ,WMC-0108-01 ,01 Aug 2011,"On 291605 Jul 2011, while elements of 3RD LRC conducting combat clearing operations at vic 51NTG 917683, Patikul, Sulu.Items Recovered / Loss: ",,,,,,2 - Used unnamed note books by Jihad Fisabillah students Serviceable 5 - CTG UXO 81MM ammunition with attached scrap wirings UXO’s,,
15291,WESTMINCOM ,ARMM,SULU ,RECOVERY,WESMINCOM ,WMC-0108-01 ,01 Aug 2011,"On 291620 Jul 2011, elements of SOP11 and SOP3 led by MAJ ROY M. ALASAAS PN(M), Executive Officer, MBLT11 while conducting search/clearing operations at the encounter site at the vic of Tubig Magtuh, Panglayahan, Jolo, Sulu.Firearms Gains:",,,,Recovered/1 - RPG with one  (1)  ammo inserted (sn: 082004 (0280 lower portion)),,Serviceable 5 - CTG’s RPG HE ammo  2 - Empty M16 ASG bandoleers 1 - Cellphone Nokia 1 - ICOM Radio 02N 1 - Long M16 plastic magazine,,
15292,WESTMINCOM ,ARMM,SULU ,RECOVERY,WESMINCOM ,WMC-0108-01 ,01 Aug 2011,"On 300620 Jul 2011, Elements of SOP11 and SOP3 led by MAJ ROY M. ALASAAS PN(M) recovered following items during the conduct of search/clearing operations at the vic of Tubig Magtuh, Panglayahan, Jolo, Sulu.Items Recovered / Loss: ",,,,,,Serviceable/1 - Solar Panel/1 - Empty case of 90RR/1 - CTG  57RR heat ammo/1 - CTG 57RR ammo with three (3) UXO CTG rifle grenade HE/5 - UXO 40MM HE (AVACOR)/3 - UXO CTG 40MM HE DP/1 - UXO 90RR heat./Unserviceable/1 - Defective Cellphone,,"Ooa 300840H July 2011, all CTG’s and UXO’s were destroyed through detonation by EOD personnel at vicinity 51NTG 919678, Patikul, Sulu while the RPG and other items were brought to Command Group of MBLT11 at Taung Det GC 741713 for evaluation and subsequently turn over."
15313,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-0208-01 ,02 Aug 2011,"On 011230 Aug 2011, elements of SOP11, while conducting combat operations at Brgy Panglayahan, Patikul, Sulu chanced upon more or less fifty (50) armed men believed to be ASG members under Cmdr Radullan Sahiron moving from NE direction. Firefight ensued for about fifteen minutes.Action Taken:",,,,,,,,SOP11 and elements of 61 FRC continued scouring the incident area.
15330,WESTMINCOM ,, ,ABDUCTION,1ID ,1DC-0208-1672-2011 ,02 Aug 2011,"On 021330 Aug 2011, troops led by 1LT REBENITO composed of one(1) officer and 13 Enlisted Personnel while conducting clearing operation discovered an enemy encampment at vic _______with fourteen (14) bunkers.Action Taken:",,,,,,,,Troops led by 1LT REBENITO continue conducting clearing operation at vic ______.
15375,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC- 0708-05 ,07 Aug 2011,"On 070845 Aug 2011, operating troops of 3LRC under 1LT TALAMAYAN PA with FAC pers, 61st FRC under 1LT JO PN (M) and 63rd FRC under 1LT PANGANIBAN PN (M) while enroute to designated pick-up point encountered MOL thirty (30) fully armed men at vic Brgy Bunkaong, Patikul, Sulu. Firefight lasted for about fifteen (15) minutes after which the enemy withdrew towards NE direction.Government Side:", one (1) Killed (BC)  ,WIA/Pfc Jimmy Villanueva 871315 PN (M),,,,,,"PFC Villanueva PN(M) was evacuated to TRAUMA Center, KHTB, Busbus, Jolo, Sulu for medical treatment while the enemy cadaver still at the encounter site for retrieval by Brgy Officials. "
15526,WESTMINCOM ,ARMM,SULU ,KIDNAPPING,WESTMINCOM ,WMC-2308-07 ,23 Aug 2011,"On 211720 Aug 2011, a certain Ambon Blas, widow, 56-60 yrs old and Ms Perlita Bagay, single 20-25 yrs old, were kidnapped by the group of ASG sub leader Basaron Arok with around twelve (12) armed men along MSR of Brgy Latin, Patikul, Sulu.Other Details:",,,,,,,"a. Accordingly, the dou were heading to Jolo town proper from Sitio Tubig Patong, Brgy Danag of same municipality riding in tandem in their motorcycle colored blue when flagged down by the ASG.  /b. The duo was forcibly dragged by said group heading to the forested area at north direction bringing also the motorcycle./c. Ambon Blas @Manang Ambon is engaged in selling Military clothing to Marines in Sulu and known to be friendly with the Marines while Pelita Bagay, Manang Ambon's assistant and formerly worked as GRO in one of the videoke houses at Brrio Militar, Brgy Bus-Bus, Jolo, Sulu.","Sulu Command is now coordinating with the victims family to gather additional information vital to the resolution of the case. Likewise, all informants were also alerted to find out the location of the victims and their kidnappers for possible counter action."
15538,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,1ID ,1DC-2508-1901-2011 ,25 Aug 2011,"On 251200 Aug 2011, one (1) team of 14SFC composed of one (1) Officer and twelve (12) EP under 1LT JAY M NAMOCA 0-14399 (INF) PA with pers of OAC, 3AD, MIG-( and composite elements of PNP Basilan conducted joint operations at vic Sitio Malvar, Upper Mahayahay, Maluso, Basilan Province apprehended a certain Harul Jaljalis @INDAL, a suspected ASG member with standing Warrant of Arrest NOs. 3357-1129, 3068-1164, 3611-1165, and 3674-1187 issued by Hon Danilo M Bucoy, presiding judge, RTC Branch 2, Basilan.Enemy Side:", Apprehended/ Harud  Jaljalis @INDAL,,,Recovered/1 - M4 Carbine (sn: 255414),,Serviceable 4 - Long magazines for M4 60rds - Ammo for M4,,
15571,WESTMINCOM ,ARMM,SULU ,KIDNAPPING,WESTMINCOM ,WMC-2908-01 ,29 Aug 2011,"On 280600 Aug 2011, two (2) kidnapped victims identified  a certain Ambon Ahamad Blas and Perlita Bagay both residing at Sitio Palar, brgy Gandasuli, Patikul, Sulu who were abducted last 21 Aug 2011 at Sitio Baunoh, Brgy Latih, Patikul, Sulu were released by their abductors at vic Brgy Latih, Patikul, Sulu.Other Details:",,,,,,,"Initial investigation revealed that the victim's family allegedly paid a ramson amounting to One Hundred Thousand Pesos (Php 100,000.00) to the abductors for their safe release. Accordingly, the dou are now at their respective residences. MNLF-MG:",
15505,WESTMINCOM ,ARMM,BASILAN ,DISCOVERY OF ENEMY CAMP,"1ID, PA ",1DC-2008-1845-2011 ,20 Aug 2011,"On 200730 Aug 2011, operating troops of 4SRB composed of 12SRC under CPT GERARD D PENSONA (MI) PA and 11SRC under CPT RHOLIE D VILLALUNA (INF) PA while on security patrol discovered an alleged MNLF encampment IVO Baag, under a certain MNLF leader Kaher H Abdurahman  at Bgy Guiong, Sumisip, BP. Said encampment has three (3) newly built structures and can accommodate MOL forty (40) persons. Other Details:",,,,,,,"Said place was reportedly used for shelter/classroom and venue of recent conduct of seminar, allegedly in relation to conduct of mass recruitment in the area. MILF:",
