Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
EMC12140,EASTMINCOM ,REGION XII,COTABATO ,ENCOUNTER,6ID ,6DTOC-0412-773-2011 ,04 Dec 2011,"Progress Report from Journal Nr. Progress report to our cnr: Emcoc – 0412 – 139–11; dtd 12/4/2011On 041320 Dec 2011, OOA 041320H Dec 11, Scout Pltn minus of 57IB led by 2LT PANGANIBAN INF PA while conducting combat operations at VGL 66-71 , HGL 39-44  encountered MOL thirty (30) CT’s of GF 51 SMRC led by an unidentified Cmdr at an encampment at vic 51N YH 432699 So Ilitasan, Brgy Biangan, Makilala, Cotabato.",,,,,, - two (2) 5.56mm M16 rifle / - two (2) 7.62mm M14 rifle,,"One (1) Pltn 62DRC led by 1LT QUINTOS INF PA based in Sitio Diansig, Brgy Old Bulatukan, Makilala, Cot proceeded to LD/LC Alang-Alang  Det, Brgy Kisante, Makilala, Cot to conduct blocking operations at VGL 41-43, HGL 67-68 Sitio Lukatong, Brgy Biangan, Makilala,NCot. "
EMC12158,EASTMINCOM ,REGION XII,NORTH COTABATO ,ENCOUNTER,6ID ,6DTOC-0712-783-2011 ,07 Dec 2011,"Progress Report from Journal Nr. EMC12139 dtd 12/12/2011 re encounter of Scout Pltn minus of 57IB led by 2LT PANGANIBAN INF PA against more or less thirty (30) CT’s under @/Bambi (TNU), CO, SDG of SECOM 51, SMRC. Firearms Gains:",,,,Recovered/1 - Cal 5.56mm m16 rifle  (sn: 4384331)/2 - Cal 7.62mm m14 rifle 4 and 1526966) (sn: 834524 and 1526966)/1 - One (1) Cal 5.56mm M4 carbine  (sn: defaced serial Nr),,"2 - Kenwood handheld radios TH-255A SNs: 90500237 & 00700803 made in Malaysia/1 - Improvised Claymore Mine with blasting cap & firing device/ - Assorted Medicine (Capsule, vials & tablets)/ - Acupuncture needles/ - Syringes/ - Thermometer/ - Scissors/ - Sphygmomanomete/ - Stethoscope/ - Medical / Dental Books/ - CTM Handbooks/  pamphlets / magazines/ - UGM teaching manuals / materials/ - Subversive documents","Addendum to our Progress report to our cnr: Emcoc – 0412 – 139–11; OOA 041320H Dec 11, Scout Pltn minus of 57IB led by 2LT PANGANIBAN INF PA while conducting combat operations at VGL 66-71 , HGL 39-44  encountered MOL thirty (30) CT’s under @/Bambi (TNU), co sdg of seccom 51, SMRC.  Recoveries: One (1) Cal 5.56mm m16 rifle sn: 4384331 One (1) Cal 5.56mm m4 carbine without serial number made in US instead of one cal 5.56mm m16 rifle serial number 030694 (Previous reported) Two (2) Cal 7.62mm m14 rifle sns: 834524 and 1526966)  Two (2) Kenwood handheld radios TH-255A SNs: 90500237 & 00700803 made in Malaysia One (1) Improvised Claymore Mine with blasting cap & firing device Assorted Medicine (Capsule, vials & tablets) Acupuncture needles Syringes Thermometer Scissors Sphygmomanometer Stethoscope Medical / Dental Books Medical Equipment / Kit CTM Handbooks/  pamphlets / magazines UGM teaching manuals / materials Subversive documents The cadaver of three (3) cts identified as: 1) Alias Bambu (TNU) CP, SYP SECCOM 51, SMRC, Address: Agusan Del Sur 2) Alias Algen (TN: Florencio Manayon Alid)- MEMBER syp, seccom 51, smrc,  dob – 20 Nov 1975, place of birth – Landig li, Brgy, Sta Cruz, dds, present address – SO Gurem, Brgy Sibulan, Sta Cruz, DDS  3) Alias Rodel (TNU)- Member SYP, SECCOM 51, SMRC, ADDRESS: So Malupo, Brgy Anonang, Sta Cruz, DDS. Ammo expenditures; Cal 5.56mm (Ball)- 2,160 rds; Cal 5.56mm K100 (link)- 1, 620 rds; Cal 7.62mm m14 (ball)- 320 rds and Cal 40mm GL (M203) – 45 RDS",
16170,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-3011-03 ,30 Nov 2011,"On 300725 Nov 2011, operating troops of 4SRBn composed of four (4) Officers and thirty three (33) EP under 1LT BELARMINO (INF) PA, SSC CL 16-11 composed of one (1) Officer and thirteen (13) EP under 1LT ALSIYAO (INF) PA, and 10SRC composed of one (1) Officer and fifty two (52) EP under 1LT ARCEL A SOCO (INF) PA encountered undet number of ASG/LLEs under a certain MANAL while conducting combat operation at Brgy Lower Cabengbeng, Sumisip, Basilan Province.Firefight lasted for about three (3) minutes afterwhich the enemy withdrew towards west direction.Negative casualty on the gov't side while undet on the enemy side.Other Details:",,,,,,,"Troops after throughly cleared the encounter area, returned respective bases at about 1300H same day.","Alerted MG-520 and UH-1H helis for possible CAS/CASEVAC. Likewise directed NFWM to conduct naval blocked along seawaters of Sumisip, Basilan Province."
16181,WESTMINCOM ,ARMM,BASILAN ,RECOVERY OF CADAVERS,"1ID, PA ",1DC-0112-3085-2011 ,01 Dec 2011,"Progress Report to Journal Nr. 16170 dtd 12/1/2011, re-encounter of operating troops composed of two (2) platoons of SSC CL 16-11 under 1LT BELARMINO and 1LT VELANO with one (1) platoon of 10SRC under 1LT ARCEL A SOCO (INF) PA against ASG/LLE under a certain MANAL at vic Brgy Cabengbeng, Sumisip, Basilan on 300725H Nov 2011.On 010800 Dec 2011, operating troops composed of two (2) platoons of SSC CL 16-11 under 1LT BELARMINO and 1LT VELANO with one (1) platoon of 10SRC under 1LT ARCEL A SOCO (INF) PA while scouring the encounter site discovered one (1) enemy killed (BC) identified as MOHAMMAD MUSALLAIN @ TOTOH YOHOO and recovered from his possession  one (1) Cal .45 pistol (COLT) and one (1) Hand Grenade. ",Killed/ MOHAMMAD  MUSALLAIN  @ TOTOH YOHOO ,,,Recovered/1 - Cal .45 pistol (COLT)  (sn: 617254),,Recovered/1 - Magazine with two (2) ammunition /1 - Hand Grenade,"Said cadaver was turned-over and received by Bgy Kagawad Elly T Sakilan, Bgy Kagawad Salbiya N Hadjikul and Teacher-in-Charge Gerry P Tadjerul of said barangay.","At about 1000H same day, said troops left encounter site and proceeded towards the designated PUP at vic Bgy Upper Cabengbeng (51N UH 981158), Sumisip, BP and arrived thereat at about 1230H. Subsequently, the troops were picked-up by four (4) KM450 trucks and proceeded towards Tumahubong Fire Base Det, Bgy Tumahubong, Sumisip, BP and arrived at about 1311H same day.  "
16207,WESTMINCOM ,ARMM,SULU ,HARASSMENT,WESTMINCOM ,WMC-0612-02 ,06 Dec 2011,"On 040615 Dec 2011, Latih det, Patikul, Sulu under 36MC, MBLT6 was harassed by undetermined nr of ASG members approximately 100 mtrs NE of the detachment. The enemy fired M203 and rifle grenade rnds followed by burst of fire from M16 rifles. Personnel manning the said det retaliated targeting suspected enemy position afterwhich, the enemy withdrew towards NE direction heading the direction of Mt. Awak. Incident resulted negative casualty on government side while undet on enemy side.Other Details:",,,,,,,The incident could be a test to said Marine det on their courses of action and to evaluate the readiness of probable reinforcements from other Marine units.,"G2, 3MBde pers immediately dispatched to assess the situation but were advice by concerned civs along the way not to proceed the det. Further, the 60MM mortar at said det was proven ineffective in such case due to natural barrier inside the det."
16249,WESTMINCOM ,ARMM,BASILAN ,ARREST,WESTMINCOM ,WMC-1512-01 ,15 Dec 2011,"On 14 Dec 2011, joint operation conducted by members of Air Force Intel, CIDG9, 4SFBn, 104Bde and 5SAC, PNP SAF successfully arrested ASG member Jurail Bagsik at Brgy Kapayawan, Isabela City, Basilan Province. Other Details:",,,,,,,"a. Subject was arrested for kidnapping case and illegal detention by virtue of warrant of arrest with criminal case Nr 3551, issued by Danilo M Bucoy, presiding judge, Branch 2, Judicial Region 9, RTC of Basilan at Isabela City, Basilan. Province. b. Subject was subsequently presented to Commander, 104Bde in Tabiawan, Isabela City Basilan Province for commitment to the DOJ. MILF:",
EMC12052,EASTMINCOM ,REGION XII,MAGUINDANAO ,OTHERS,NFEM ,NF2-1211-007 ,25 Dec 2011,"On 231910 Dec 2011, Belated Report: OOA 231910 Dec 11, JI Member identified as  Amerodin Saapar and Suharto Ameril, both Indonesians together with their fourteen (14) MILF – SOG followers proceeded to sitio Katuli, Brgy Banubo, Sultan Kudarat,  Maguindanao purposely to pursue their plan to conduct bombings targeting the cities of Davao and Gensan on 24 and 25 Dec 11 (Xmas Day) and on 01 Jan 12 (New Years Day). Accordingly, as directed by Toks Ibrahim, Chief SOG MILF and Amerodin Saapar with his seven (7) SOG Member will penetrate Davao City while Suharto Ameril and his seven (7) MILF SOG member will penetrate Gensan City for their terrorist activities. Relatedly, Suharto Ameril is utilizing a Gensan City AN unidentified house in Purok Maguindanao, Brgy Labangal of  same City.Other Details:",,,,,,,"This planned Bombing was an offshoot from the meeting reportedly  held at 102ND BC, BIAF MILF in Brgy Guimba, Marawi City between Toks Ibrahim, Usman Mahaling, a  JI leader together with twelve (12) foreign trained bombers.",
EMC12074,EASTMINCOM ,ARMM,MAGUINDANAO ,ARMED CLASH,6ID ,6DTOC-2912-837-2011 ,30 Dec 2011,"On 291800 Dec 2011, an armed clash transpired at boundary of Purok 3, Brgy Mulaog and Brgy Senditan all of Sultan Kudarat, Maguindanao between the group of  Kagui Salik Dimasimpan (MILF member) and  former Brgy Chairman Kusain Abdullah. Accordingly, Kagui Salik Dimasimpan of Brgy Mulaog and his group blocked the road at said place and hold the corn product owned by former Brgy Chairman Kusain Abdullah. Relatedly, Kagui Salik Dimasimpan uses this opportunity to escalate the conflict between the two clans and it is the time for them to avenge on the death of his nephew committed by the member of the Abdullah clan. Firefight between two clans resulted to the wounding of one (1) female civilian of said place. Firefight is still ongoing as of this moment. Action Taken:",,,,,,,,"Upon the received of the information, Intel operatives, 37IB proceeded in the area and conducted initial investigation. Progress report to follow."
EMC12076,EASTMINCOM ,ARMM,MAGUINDANAO ,ARMED CLASH,6ID ,6DTOC-3012-841-2011 ,31 Dec 2011,"Progress Report from Journal Nr. Progress to NORE Cite Nr EMCOC – 2912 – 074 – 11 dtd 12/31/2011On 291800 Dec 2011, The firefight between Dimasimpan clan and Abdullah clan at boundary Purok 3, Brgy Mulaog and Brgy Senditan all of Sultan Kudarat, Maguindanao ended AA 292030H Dec 11.  Follow up investigation is being conducted by the Sultan Kudarat, MPS for possible settlement of both warring parties. ",,,Wounded/Mr Titing Dimasimpan/Ms  Binambay,,,,"The aforementioned wounded female was immediately brought to  Sanitarium Hospital, Brgy Limbo, SK, Mag for medication.",
EMC12133,EASTMINCOM ,REGION XII,COTABATO ,SURRENDER,6ID ,6DTOC – 0312 – 768 – 11  ,03 Dec 2011,"On 011000 Dec 2011, Elements of ""B"" Coy, 68IB under 1LT CEBRIAN and LTC TEOFILO, CO, 68IB together with COL SEDILLO, CO, 602Bde facilitated the presentation of fifty nine (59) MILF members with twenty six (26) assorted high powered firearms to Municipal Mayor Lani S. Candolada to integrate for Peace and Development in the community in a simple ceremony at Tulunan Gymnasium witnessed by LGUs, AFP, PNP and other stakeholders to include Mr Boy Manorba of MILF-IMT. These former MILF rebels are now employed as Banana Plantation workers with the help of the Business sectors.Other Details:",,,,,,,Herewith are names of the  former MILF rebel: 1. Orie A Buisan 2. Jonny Panganoron 3. Dhats Sali Maulana 4. Abduljapar A Ali 5. Mark Usman Pandapatan 6. Kadil A Ulino 7. Abdulbayan G Abdulkadir 8. Norodin Diangalen Diandal 9. Al M Kugang 10. Muamar Adam Kusain 11. Dhats C Radzali 12. Solaiman G Pandapatan 13. Mohajid S Abam 14. Mohagerin G Guilil 15. Norodin S Mamintal 16. Ronald C Draug 17. Rodgie N Palmaera 18. Ryan D Abary 19. Arnold T Tacayon 20. Joemar D Banuelos 21. Jonifer D Eñano 22. Alkar M Alip 23. Toks M Pangawilan 24. Ali Malidas 25. Datuido S Datugan 26. Sulaiman K Pasandalan 27. Monaim K Pasandalan 28. Kere K Adam 29. Norhamen M Ahad 30. Abdillah M Ahad 31. Nash K Omar 32. Alex K Akmad 33. Omar T Salik 34. Esmael A Salandoyan 35. Rahib M Tuan-element 36. Kenay Anok 37. Edres Lumambas Adam - Team Ldr 38. Lumna Ali Maslamama- Element 39. Esmail Sultan-element 40. Abdula Mugawan-element 41. Ebrahim Sansalona-element 42. Esmail Datugan-element 43. Mids L Zainal-element 44. Muhamadali A Pitao 45. Norhamin K Ahad-element 46. Sansodin M Ahad – element 47. Arsad P Husain-element 48. Datu Ali H Gumenggen 49. Abdul Abdul Rahman-element 50. Adzmie S Datugan-element 51. Mobarak M Omboy-element 52. Omar K Macalugui-element 53. Dodo E Dadtug- Element 54. Jomar K Kusain 55. Walid A Gading 56. Abdul S Hassan 57. Basko Sultan 58. Mohamad M Lipasen 59. Kanaoti D Duloganen LAWLESS ELEMENTS:,
16233,NOLCOM ,REGION II,CAGAYAN ,ABDUCTION,NOLCOM ,CN-146-10-12-11 ,10 Dec 2011,"On 100002 Dec 2011, 77th CAA, Detachment based in Gagabutan PB, based at Brgy Gagabutan, Rizal, Cagayan under Tsg Manuel Bayog Jr (Inf) PA was harassed by MOL 30 Local Terrorist members. Personnel of said detachment rturned fire to the enemy position. Firefight lasted for almost 30 minutes, after which enemy withdrew heading towards Northeast Direction.",,,,,,,,
