Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
12687,NCRCOM ,NCR,MANILA ,APPREHENSION,ISAFP ,SPOT REPORT DTD 03 FEB 2011 ,03 Feb 2011,"On 021420 Feb 2011, joint elements of MIGs 15, 17, 21, 23 and 24 all of ISAFP and NCRPO, PNP arrested a certain Musaddana Indama y Lawama @ Musang Indama in his residence at No. 912 Aris St., Vista Verde Subdivision, Brgy Kaybiga, Caloocan City.Other Details:",,,,,,,"a. The suspect was arrested by virtue of seven (7) Warrant of Arrest under Criminal Cases numbers 3462-352; 3464-353; 3468-358 and 3466-355 for kidnapping and serious illegal detention adn Criminal cases numbers 3449-345; 3467-356; 3465-354 for murder issued by Hon. Judge Bucoy of the 9th Judicial Region, RTC, Isabela City, Basilan Province./b. Recovered from his possession were one (1) unit Cellphone and personal documents./c. Alledgedly, Indama was reportedly one of the suspects in Makati bus bombing on 25 Jan 2011, and a first cousin of Furiji Indana, an ASG sub-leader. He was also a former bodyguard and driver of Gerry Salapuddin, one of the accused in the murder of Wahab Akbar.",Apprehended person was brought to MIG24 for debriefing and proper disposition.,
12667,WESTMINCOM ,ARMM,TAWI-TAWI ,APPREHENSION,ISAFP ,STL ,01 Feb 2011,"On 011800 Feb 2011, joint elements of CIDG, SAF, Bongao PNP and NISG apprehended a suspected ASG member identified as Arabi Sali Aka Ramil Sali at Ridjiki St., Brgy Poblacion, Bongao, Tawi-Tawi.Enemy Side:", Apprehended/ Arabi  Sali  Aka Ramil Sali,,,,,,,Subject was immediately brought to Bongao PNP at Brgy Pag-asa same town for custodial debriefing.,
12672,WESTMINCOM ,ARMM,TAWI-TAWI ,APPREHENSION,WESTMINCOM ,WMC-0201-01 ,02 Feb 2011,"On 021730 Feb 2011, certain ASG member Arabi Sali@ Amil Sali was apprehended by joint elements of NISGWM, DIPOWM PNP, PNP-SAF and Bongao MPS at Datu Halun St, Bongao, Tawi-tawi by virtue of warrant of arrest with criminal case nr 126923 for kidnapping and serious illegal detention with ransom.Enemy Side:", Apprehended/ Arabi  Sali  ,,,,,,"Suspect was involved in kidnapping in Sipadan, Palau Jehova`s and Dos Palmas case. Subject is temporarily detained at Bongao PMS and will be transferred to ZC. Progress report to follow.",,
12737,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-0802-04 ,08 Feb 2011,"On 08 Feb 2011, one (1) section CCoy, 32IB under 1LT OLARTE (INF) PA and one (1) section scout paltoon under 1LT DIONEDA (INF) PA encountered ASG Sub-Leader Suhud Tanadjalin and his three (3) followers at vic Brgy Lower Sinangkapan, Tuburan, Basilan. Firefight lasted for two (2) to three (3) minutes.Enemy Side:",Killed/ Suhud Tanadjalin  ,,, Recovered/ 1 - M653 (sn: not reported),, Recovered/ 6 - long magazine ,The enemy immediately escaped from said area leaving the dead body of ASG Suhud Tanadjalin . Progress report to follow.,,
12755,WESTMINCOM ,ARMM,SULU ,HARASSMENT,WESTMINCOM ,WMC-0902-01 ,09 Feb 2011,"On 081528 Feb 2011, 49MC, MBLT9 manning the Talatac Det at Brgy Bato-Bato, Indanan, Sulu was harassed by unidentified armed group. Firefight lasted for almost 20 minutes. No reported casualty on the gov`t side while undetermined on the enemy side. ",,,,,,,,,
12766,WESTMINCOM ,REGION IX,ZAMBOANGA CITY ,APPREHENSION,ISAFP ,STL DTD 09 FEB 2011 ,10 Feb 2011,"On 100723 Feb 2011, joint elements of MIG9, 330th Wing, AISS, PAF and S2, Zamboanga City Police Office arrested ASG member Abu Walid at Villallobos Street, Zone 4, Zamboanga City by virtue of Warrant of Arrest for Kidnapping and Serious lllegal Detention.Enemy Side:",Arrested/ Abu Walid  ,,,,,,"Abu Walid was involved in the kidnapping of workers of Golden Harvest Plantation in Brgy Tairan, Lantawan, Basilan on 11 June 2001 and in Lamitan Siege on 02 June 2001. Subject is presently undergoing debriefing.",,
12781,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-1202-02-11 ,12 Feb 2011,"On 120530 Feb 2011, three (3) Sections of 10SRC, 4SRBn, FSRR, SOCOM, PA under CPT DAET PA while conducting strike operation, encountered undetermined number of ASG members under Puruji Indama at vicinity Brgy Baiwas, Sumisip, Basilan province. Government Side:",,KIA/Sgt   Noel D Pulpulaan 828807 /Pvt Leonie Q Daflelmoto 859515 /WIA/Pfc Frederick A Valencia 850081 /Pfc Archie T Tampipi 874556 /Pfc Raymond D Sagmayao 868386 /Pvt  Fejie D Labargan 880130 ,,,,,Troops overran the ASG encampment composed of seven (7) bunkers. While the ASG incurred five (5) killed (HUMINT) including sub-leader Juhalbar Alamsirul @ Abu Kiks and undetermined number of WIA.,"a. At about 0600H same day, two (2) rounds from 105 Howitzers were delivered to the enemy position to support the engaged troops. b. At about 0730H, one (1) M35 truck and one (1) KM450 vehicle left Hq SOTF-B and proceeded towards Hqs 12SRC at vicinity Brgy Kapatagan Grande, Isabela City to pick up the reinforcing troops. c. At about 0747H, two (2) UH-IH and one (1) MG 520 utility and attack helicopters departed EAAB to pick up KIA and WIA personnel.",
12792,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-1202-05 ,12 Feb 2011,"Progress Report to Journal Item Nr: 12781 dtd 12 Feb 2011, re-encounter of 10SRC, 4SRBn under CPT DAET (INF) PA composed of three (3) Officers and 51 EP against MOL 30 ASG under ASG Sub leader Radmil Janatul not Puriji Indama as earlier reported at Sitio Bohe Piyat, Brgy Baiwas, Sumisip, Basilan on 120430 Feb 2011not 120530 Feb 2011 as earlier reported. Government Side:",Killed/ Four (4) ASG memebers (Name not reported)  / Juhalbin Alipsirul @ABU KIK,WIA/Cpl Reyjie T  Malana  832764 ,,,,"Recovered/2 - Motorola HH Radio/3 - Cell phone/2 - Magazines for M14 with 40 rds live ammo/3 - Cell phone charger/2 - U.S Army upper uniform/1 - PNP Scout uniform/2 - Civilians bags/1 - Jungle pack/7 - Camouflage hammock/1 - U.S Army short/1 - Improvised poncho, civilian clothes & toiletries",he five (5) killed report was based on personal account of operating troops and on HUMINT. One (1) of those killed was identified as Juhalbin Alipsirul @ABU KIK ASG member and not ASG Sub leader Juhalber Alamsirul @ABU KIKs as earlier reported.,,
12967,WESTMINCOM ,ARMM,BASILAN ,SHOOTING,WESTMINCOM ,WMC-2702-05 ,01 Mar 2011,"On 261945 Feb 2011, five (5) men armed with M14 and M16 rifles believed to be ASG members shot and killed a certain Havier Matamul Janatul  in his house at Brgy Upper Cabengbeng , Sumisip, Basilan. The victim suffered multiple gunshot. Civilian Side:",,,Killed/Mr Havier Matamul Janatul,,,,"Accordingly, the victim was suspected by the ASG as being a government/military informant.",,
12968,WESTMINCOM ,REGION IX,ZAMBOANGA DEL SUR  ,SHOOTING,WESTMINCOM ,WMC-280201 ,28 Feb 2011,"On 262030 Feb 2011, a certain Basher Kallang was shot to death by ASG members Yacub and Gafur Pingli (Brother of KFRG leader Wahid Pingli) at vic Purong Tong Mateo, Brgy Talulsangay, Zamboanga City.  Accordingly, the victim was visiting his relatives at the place, when shot by the suspects with a Cal .45 pistol. The victim suffered a head wound. The suspects fled towards unknown direction. PNP record show that the duo are escapees from the jail.Government Side:",,KIA/CAA Basher Kallang   ,,,,,The victim is an Action Agent of NISGWM targeting KFRG leaders Wahid Pingli and Camsa Asdanal.,The cadaver of the victim was burried at Sangali Muslim Cementery on about 271100 Feb 2011.  ,
