Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
00071,EASTMINCOM ,ARMM,MAGUINDANAO ,ENCOUNTER,6ID ,6DTOC – 2101 – 49 - 10 ,21 Jan 2010,"RE ENCOUNTER ON 09 2230H JAN 10 AT SHARIFF AGUAK, MAGOn 092230 Jan 2010, PROGRESS EREPORT TO OUR CNR: EMCOC – 1101 – 017 – 2010, RE ENCOUNTER OOA 09 2230H JAN 2010, BY ELEMENTS OF 6SFC LED BY 1LT AGRADE (INF) PA AT VIC GS 5959, SHARIFF AGUAK, MAG.",,,,,,,AMMO EXPENDITURE- ONE (1) RD OF CAL.7.62 M14 RIFLE.,
00072,EASTMINCOM ,REGION XII,NORTH COTABATO ,SHOOTING,6ID ,6DTOC – 2101 – 51 - 10 ,21 Jan 2010,"On 212250 Jan 2010, MR ELMER FORO WAS SHOT & WOUNDED IN THE RIGHT CHEEK BY MOL FIVE (5) UNIDENTIFIED ARMED MEN WHO TRIED TO HALT THE ISUZU ELF TRUCK HE WAS DRIVING USING LOGS AS ROAD BLOCKS AT (51N XJ 978990) SO TAKUPAN, BRGY MANARAPAN, CARMEN, NCOT.Other Details:",,,,,,,PROGRESS REPORT TO FOLLOW.,"AT ABOUT 2300H SD, ONE (1) TM FM “B” COY, 38TH IB, 6ID, PA LED BY 2LT ZULUETA (INF) PA AND ONE (1) TM FM “B” COY, 7IB LED BY 2LT DEPERALTA (INF) PA CONDUCTED ROAD CLEARING OPN AT SAID VICINITY."
00075,EASTMINCOM ,ARMM,MAGUINDANAO ,RECOVERY OF WAR MATERIALS,6ID ,6DTOC 2101 – 52– 2010 ,21 Jan 2010,"ADDENDUM TO OUR PREVIUOS ISORE CNR EMCOC – 2101 – 069 – 2010On 211300 Jan 2010, REQUEST BE INFOREMD THAT ADDITIONAL RECOVERED LIVE AMMO AT 51N XH 664614, BRGY MANUNGKAING, MAMASAPANO, MAGUINDANAO ARE AS FOLLOWS;",,,,,,,FOR INFORMATION AND REFERENCE,
00105,EASTMINCOM ,ARMM,MAGUINDANAO ,AMBUSH,6ID ,6DTOC - 2601 - 73 - 10 ,26 Jan 2010,"On 260800 Jan 2010, PFC FROILAN SINSUAT (INF) PA ASSIGNED WITH HQS & HQS COY, 6IB/603BDE WAS AMBUSHED BY UNDETERMINED NUMBER OF ARMED MEN AT SITIO DIMAPATOY, BRGY DINAIG PROPER, DATU ODIN SINSUAT, MAG 51N XH 302 934. PFC SINSUAT WAS ABLE TO RETURN FIRE WOUNDING TWO (2) OF THE SUSPECTS. SAID EP SUSTAINED GUNSHOT WOUNDS IN HIS BODY & WAS I,MMEDIATELY RUSHED TO NOTREDAME HOSPITAL, COTABATO CITY FOR TREATMENT.Other Details:",,,,,,,PROGRESS REPORT TO FOLLOW.,"TROOPS FROM ""C"" COY, 6IB, 603BDE ARE IN PURSUIT OPERATION TO THE PERPETRATORS."
12242,WESTMINCOM ,ARMM,SULU  ,RAID,WESTMINCOM ,WMC-1012-03 ,10 Dec 2010,"On 07 Dec 2010, joint elements of PNP SAF and TF Sulu conducted raid alledgedly against the combined group of ASG Leader Umbra Jumdail @ Dr. Abu, Jemaah Islamiah (JI) Leader Zulkipli Bin Abdul Hir @ Marwan and Muawiyah in the vicinity of Brgy Upper Sampunay, Parang, Sulu. Firearms Gains:",,,,Recovered 1 - MI Garand rifle (Springfield Armory) (sn: 174969) 1 - MI Garand rifle (Springfield Armory) (sn: 4317262),,Recovered 1 - IED components 1 - Assorted PNP/AFP uniform 2 - Pairs of combat boots 2 - Military backpacks 5 - Bandollers 2 - Ammo rigs 1 - Cellular phone 1 - Poncho 1 - First aid kit (vials) 1 - Pain reliever drug 1 - Ammo box,"The raiding team were not able to locate their targets and instead invited thirty seven (37) civilians including Brgy Chairman Namin Sanch of aforementioned brgy and a certain Imbil Adzhar which tehy brought to Sulu Provintial Police, Camp Asturias, Jolo, Sulu for questioning. At around 1800H of same day, thirty eight (38) of them was released excluding Imbil Adzhar who was still in the custody of the PNP SAF for tactical investigation. 7100 WESTMINCOM (ARMM) BASILAN (HARASSMENT) Ref: WESTMINCOM Report RN: WMC-0101-03-10 dtd 02 Jan 2010 On 01 Jan 2010, elements of 29MC manning Hill 187 Detachment located at Bohe Lebung, Tipo-Tipo, Basilan was harassed by an undetermined number of ASG/LMG members under unknown Comdr. Other Details: The enemy positioned at the foothill of the hill 187.","Immediately, 29MC personnel manned respective battle positions and returned fire towards enemy possible enemy position. A five (5) minutes firefight ensued, afterwhich, the enemy withdrew towards unknown direction. No casualty was reported. 7121 WESTMINCOM (ARMM) BASILAN (HARASSMENT) Ref: WESTMINCOM Report RN: WMC-0501-02-10 dtd 06 Jan 2010 On 05 Jan 2010, elements of 29MC manning Hill 187 Detachment under SSg Michael N Zapanta PN(M) located at BoheLebung, Tipo Tipo, Basilan was harassed by an undetermined number of ASG members under unknown Comdr. No casualty was reported. Action Taken: Elements of 29MC immediately manned their battle positions and observed enemy fire. 7300 WESTMINCOM (ARMM) SULU (HARASSMENT) Ref: WESTMINCOM Report RN: WMC-2001-08 dtd 20 Jan 2010 On 201630 Jan 2010, elements of 36MC, MBLT6 and SOP5, MBLT5 while conducting security operations at vic of Baitamal Bridge, Bato-Bato, Sulu was subjected to .50 Cal HMG fires by combined group of ASG and Lawless MNLF led by cmdr Tahil Sali, Ahadun Andak, Abraham Joel and ASG leader Albader Parad. Other Details: The perpetrators fired MOL 30 rounds of Cal. 50 HMG and immediately withdrew towards unknown direction when MBLT6 started providing indirect mortar fire support to the engaged Marines. No casualty was reported during incident. Progress report to follow. 7317 WESTMINCOM (ARMM) BASILAN  (HARASSMENT) Ref: WESTMINCOM Report RN: WMC-2201-03 dtd 22 Jan 2010 On 21 Jan 2010, the Detachment of 29MC, MBLT9 located at Hill 187 (GC 098204), Bohelebung, Tipo-Tipo, Basilan was harassed by suspected members of ASG/LMG for about 30 minutes.  No casualty was reported on the incident. Other Details: The enemy was positioned at the foot of Hill 185, about 450 - 500 meters from the said troops. Action Taken: The troops established their battle position to counter enemy action. MILF:"
00051,EASTMINCOM ,ARMM,MAGUINDANAO ,APPREHENSION,6ID ,6DTOC – 1701 – 13 - 10 ,17 Jan 2010,"RE APPREHENSION OF 8 SUSPECTED MILFOn 250730 Dec 2009, BE INFORMED THAT THE EIGHT (8) SUSPECTED MILF MEMBERS APPREHENDED LAST 25 0730H DEC 09 AT BRGY KULOY, SHARIFF AGUAK, MAGUINDANAO WERE CONFIRMED MILF MEMBERS UNDER 105TH BC AS PER INTERROGATION/CUSTODIAL DEBRIEFING BY S2, 46IB.",Killed  Mage      Dalilian     Wounded  Lazar    ,"WIA CAA Judifo Onao    Other Details: CAA Onao, a Brgy Chmn of said Brgy sustained slight GSW on the left leg. 7179 EASTMINCOM (ARMM) MAGUINDANAO  (HARASSMENT) Ref: 6ID, PA Report RN: 6DTOC-1001-31-10 dtd 10 Jan 2010 Progress Report to Journal Item Nr: 7167 dtd 10 Jan 2010, re harassment of 25th MAG CAAC Detachment, 38IB by MILF at  vicinity Brgy Limpongo, Datu Hoffer, Maguindanao on 100230 Jan 2010.",Wounded   Aseo Turugan   Dadoy Onaw   Hei Tumas,"Recovered 2 - M16 rifle (sn: 215112&063217 (Tampered)) Items Recovered / Loss:  Recovered 1 - Magazine for Cal .45 pistol with seven (7) ammo 2 - Magazines long for M16 rifle 2 - Magazines short for M16 rifle 1 - Water canteen 1 - Poncho Other Details: a.  Engaged troops of 9SRC/2SRB & 1/B/46/8ID scoured the encounter site and  discovered blood stains in the area. At about 0905H same day, Pfc Jowe Gaston Abbacan 843758 (Inf) PA & Pfc Sherwin Monto 842318 (Inf) PA while scouring said ecounter site discovered and recovered two (2) M16 rifles. b.  HUMINT report also stated that there were two (2) LMG killed and one (1) wounded. emcoc003 EASTMINCOM (ARMM) MAGUINDANAO (ARMED CLASH) Ref: 6ID Report RN: 6DTOC – 0701 – 26 - 2010 dtd 07 Jan 2010 On 062230 Jan 2010, HEAVY VOLUME OF FIRES FROM DIFFERENT CALIBER OF HPFAS WAS HEARD AT VIC 51N XH GS 585693 SO. BULATUKAN, BRGY KITAPOK, DATU SAUDI AMPATUAN, MAGUINDANAO. SAID FIRES ARE BELIEVED TO BE CAME FROM THE GROUP OF TAMANO (TNU) AGAINST THE GROUP OF AKA MANDO (TNU). OOA 070500 JAN 10, ANOTHER GUNFIRES WAS HEARD AGAIN AT SAID PLACE ALSO BELIEVED TO BE CAME FROM THE SAID PARTIES. SAID ARMED CLASHES WAS RESULTED OF LAND DISPUTED BETWEEN THE TWO (2) GROUPS Other Details: FOR INFORMATION AND REFERENCE emcoc691 EASTMINCOM (REGION XII) NORTH COTABATO (ARMED CLASH) Ref: 6ID Report RN: 6DTOC – 0501 – 21 - 2010 dtd 05 Jan 2010 On 042230 Jan 2010, ENCOUNTERED BETWEEN THE GROUP OF COMMANDER CEDUMAR OF 15TH COUNSEL, BAF, MNLF & THE GROUP OF COMMANDER PANGAL OF 110TH BC, BIAF, MILF AT THE BOUNDARY OF SITIO BAYBAY (51N XJ 905939) BRGY NASAPIAN, CARMEN, COT & BRGY KILANGAN, PAGALUNGAN, MAGUINDANAO. FIREFIGHT LASTED FOR ABOUT TEN (10) Other Details: NO REPORTED CASUALTY ON BOTH SIDES. MOTIVES – LAND CONFLICT/RIDU 7093 WESTMINCOM (REGION IX) ZAMBOANGA DEL NORTE (AMBUSH) Ref: 1ID Report RN: 1DC 3113-1894-2009 dtd 31 Dec 2009 On 300930 Dec 2009, Emilio D Rebollos, 24 yrs old, (newly graduate of CAA Basic Training) and Rolando D Prajes, 23 yrs old both residents of Bgy Lunday, Sibuco, Zamboanga del Norte while on their way to vicinity 51NVJ 032044, Sitio Pantano of same barangay to check their animal trap laid at the area were ambushed by MOL four (4) fully armed men believed to be MILF members under Abdul Majid Abdulhaman @ MOLONG using HPFAs (M14 and M16 rifles). Government Side: KIA CAA Emilio D Rebollos    Civilian Side: Wounded Mr Rolando D Prajes Other Details: CAA Emilio D Rebollos was dead on the spot due to multiple GSW while Rolando D Prajes suffered GSW at his leg. Action Taken: a.  The cadaver of Emilio D Rebollos was brought to his residence for proper disposition while Rolando D Prajes was immediately evacuated to Zamboanga City for medical treatment. b.  At about 1002H same day, one (1) squad composed of personnel from Lunday PB, ACoy, 44IB and CAA of DCoy, 18IB led by Cpl Fallorin jumped off Lunday PB to conduct pursuit operations in the area.  Said troops returned Lunday PB at about 1600H same day with negative enemy contact.  7099 WESTMINCOM (REGION XI) ZAMBOANGA DEL SUR (AMBUSH) Ref: WESTMINCOM Report RN: WMC-0101-02-10 dtd 02 Jan 2010 On 30 Dec 2009, CAA Emilio D Ebollos and Rolando D Prajes, 23 yrs old, both residents of Brgy Lunday, Sibuco, Zamboanga del Norte while on their way to check their animal trap liad at vicinity 51N VJ 032044, Sitio Pantano, Lunday, Zamboanga del Norte was fired by more or less four 94) armed men believed to be MILF members under Abdul Madjid Abdulhaman @ Molong using HPFAs.  Government Side: KIA CAA Emilio D Rebollos    Civilian Side: Wounded Mr Rolando Prajes Other Details: CAA Rebollos was dead on the spot due to multiple gunshot wounds while Rolando Prajes suffered gunshot wound at his leg. Action Taken: a. The cadavers of said CAA was brought to his residents at Lunday, Sibuco, Zamboanga del Norte for proper disposition while Rolando Prajes was brought to Zamboanga City for medical treatment. b. At about 10002 Dec 09, one (1) squad composite personnel from Lunday patrol Base, ACoy, 44IB and CAAs of DCoy, 18IB led by Cpl Fallorin PA jumped off Lunday PB to conduct pursuit operations in the area. Progress report to follow. 7104 WESTMINCOM (REGION IX) ZAMBOANGA DEL SUR (STRAFING) Ref: WESTMINCOM Report RN: WMC 0201-02 dtd 02 Jan 2010 On 012200 Jan 2010, MOL seven (7) suspected Lawless MILF members led by Teling Alibasa strafed the house of a certain Nercito Tubos, and burned the house of a certain Marciano Hupa at vicinity 51n WJ 157466 Purok Pinya, Brgy Lenok Madalum, Lapuyan, Zamboanga del Sur.  Immediately, personnel of COLT 534 of 53IB led by Sgt Tejano PA with CVO`s were dispatched and encountered the said group.  Firefight lasted for about 30 minutes afterwhich, the enemy withdrew towards Northeast direction. No casualty was reported on the government side. Enemy Side: Wounded  1-LE Name not reported    1-LE Name not reported   Firearms Gains: Recovered 1 - Garand rifle (converted to M14 rifle (sn:  ) 1 - Garand rifle (converted to M14 rifle (sn:  ) Action Taken: At about 2245H same day, two (2) squads of Scout Pltn HHCO, 53IB led by Sgt Rejis PA were dispatched to reinforce the troops and conducted pursuit operations in the area. 7165 WESTMINCOM (REGION IX) ZAMBOANGA DEL NORTE (ABDUCTION) Ref: 1ID, PA Report RN: 1DC-0901-38-10 dtd 10 Jan 2010 On 08 Jan 2010, more or less 20 armed men, believed to be MILFs under Tiguan Kalas @ ABU and Baby Agila abducted farm caretakers Joven P Berdago, Edgar P Berdago and Abelardo P Padua at the farm of  Atty. Jose B Bongalos at vicinity Sitio Matunoy, Brgy Al Micubo, Siocon, Zamboanga del Norte.  The victims were later released unharmed by their abductors at an disclosed place on 091000 Jan 2010. Other Details: Accordingly, the victims were harvesting ""copra"" at said farm land when abducted by the group.  Likewise were forced to work, cook food and carry/transport goods before they were released. Action Taken: Troops of BCoy, 44IB under 1LT LUTHER B RESUELLO PA and 1LT ALEJANDRO PA proceeded to said place to conduct rescue and combat operations. 7194 WESTMINCOM (REGION X) LANAO DEL NORTE  (SURRENDER) Ref: 1ID, PA Report RN: 1DC-1201-63-10 dtd 12 Jan 2010 On 11 Jan 2010, a certain Regaro Balowa @ DIABLO of 102BC, MILF surrendered to the elements of 15IB at the Bn HQ, Brgy Bagumbayan, Kauswagan, Lanao Del Norte. Enemy Side: Surrendered  Regaro Balowa @ DIABLO Other Details: a.  The surrender was facilitated by the intelligence operatives of said unit. b.  The subject admitted to be operating under the late Comdr Solaiman @ SERIA. 7323 WESTMINCOM (REGION IX) ZAMBOANGA DEL NORTE (APPREHENSION) Ref: 1ID, PA Report RN: 1DC-2201-132-2010 dtd 22 Jan 2010 On 211600 Jan 2010, elements of BCoy, 44IB led by 1LT LUTHER RESUELLO (INF) PA apprehended an MILF member at Bgy Sta Maria, Siocon, Zamboanga del Norte. The apprehension happened after SALA`AM operators of 44IB under CPT ALIN KANNUNG (INF) PA received an information from a concerned resident of Brgy Latabon, Siocon, ZDN that a certain Jabir L Dais raped his own daughter at the victim`s residence at same place where the suspect was temporarily staying.  Enemy Side:  Apprehended  Jabir L Dais   Firearms Gains: Recovered 1 - Garand rifle (sn: 362635) 1 - Cal .45 Pistol (sn: 761967) Items Recovered / Loss:  Recovered 7 - clips for Garand rifle 50 - rds ammos for Garand rifle 3 - mags for Cal .45 Pistol 13 - rds ammos for Cal .45 Pistol 1 - pc Bandoleer for Garand rifle 1 - pc Holster for Cal .45 Pistol Other Details: Jabir L Dais was on the ""watch list"" as member of 113rd BC, MILF during 2nd quarter OB validation particularly in the group of JAUJIN SALAM operating in triple SB. Action Taken: Jabir L Dais with his FAs were turned-over to the PNP for proper disposition. LAWLESS ELEMENTS: 7224 SOLCOM (REGION V) MASBATE (LAND MINING) Ref: AOC Report RN: SITREP NR: 05 dtd 15 Jan 2010 On 150730 Jan 2010, one (1) section (-) of BCoy, 9IB onboard one (1) Isuzu Elf while on their way to Masbate City, was hit with an Improvised Explosive Device (IED) triggered by two (2) unidentified men along vicinity Bgy Lalaguna, Mobo, Masbate (51P WP 7490760387). Government Side: WIA Pvt Ariston G Dulva 877806 PA  Pfc Erjay A Pondivida 859959 PA  Pfc  Jone I Vela 866804 PA  Pfc Renante D Lorejo 853597 PA  Action Taken: a.  One (1) section of BCoy, 9IB under LT MATRES PA jumped off Coy, CP to provide reinforcement. b.  At about 0830H same day, one (1) section of Recon platoon under LT BEDA PA jumped off from Bn Hqs onboard two (2) KM 450 vehicles with one (1) Armored vehicle to conduct reinforcement and pursuit operations. c.  The four (4) EP WIAs were brought to Masbate Provincial Hospital for medical treatment. 7237 SOLCOM (REGION IV-A) CAVITE  (APPREHENSION) Ref: SOLCOM Report RN: SLCOC-1501-57-10 dtd 16 Jan 2010 On 121945 Jan 2010, by virtue of Warrant of Arrest, combined elements of Trece Martires MPS and 730th CG, PAF under LTC INCOGNITO PAF, conducted follow-up operations at victinity Paredes Compound, Brgy de Ocampo, Trece Martires, Cavite to apprehend  Peter, Emilio and Liwanag Paredes.  During the search, Peter Paredes detonated a hand grenade, that resulted to the wounding of four (4) PNCO`s.  Government Side: WIA PO3 Espineli PNP      PO3 Amores PNP      PO1 Cativo PNP      PO1 Bergado PNP      Enemy Side: Killed  Peter Paredes   Firearms Gains: Recovered 1 - M16 rifle (sn: not reported) Items Recovered / Loss:  Recovered 1 - Hand grenade Other Details: The suspects were charged in Court for illegal possession of firearms. 7307 SOLCOM (REGION IV-A) LAGUNA (SHOOTING) Ref: SOLCOM Report RN: SLCOC-2101-72-10 dtd 22 Jan 2010 On 211030 Jan 2010, joint elements of 202Bde, 1IB and PNP under LT DE OCAMPO PA was fired upon by two armed men riding on a motorcycle while said troops were establishing a COMELEC checkpoint at vicinity Brgy San Miguel, Alaminos, Laguna.  The incident resulted to the wounding Pfc De Guzman PA and three (3) other civilian bystanders. Government Side: WIA Pfc   Deguzman    Civilian Side: Wounded Mr Arthur Bencito Mr Emeraldo Palagio Mrs Miriam Espiritu Other Details: Said troops established COMELEC checkpoint at vicinity Brgy San Miguel, Alaminos, Laguna as a counter action on the reported movements of armed men equipped with HPFAs in the area. Action Taken: a.  The troops conducted pursuit operations. b.  The wounded civilians were brought to MMC Hospital in San Pablo City, Laguna for medical treatment.   7309 SOLCOM (REGION V) MASBATE (LAND MINING) Ref: ISAFP Report RN: INCIDENT REPORT DTD 21 JAN 10 dtd 21 Jan 2010 On 20 Jan 2010, elements of 11th SAF Coy, PNP and CIDG Masbate was landmined near the bridge at  Brgy Gaid (GC 952465), Dimasalang, Masbate.  No casualty was reported.  Other Details: a.  Initial investigation disclosed that the troops were on their way back to Masbate City after conducting investigation on the ambush incident at municipality of Esperanza of the same province. b.  The PNP troops scampered to different directions and later consolidated at Dimasalang MPS. c.  The PNP patrol car was damaged during the incident (bullet holes & shattered windshield).",,"Recovered 1 - Magazine for M14 rifle 3 rounds - Ammunition for 7.62 LMG (linked) 1 - Upper hand guard for M14 rifle Other Details: Damaged during the incident is one (1) bolt for M14 rifle. Action Taken: a.  The wounded civilians were brought to the nearest hospital for treatment. b.  Troops of said detachment led by Cpl Lagmay (Inf) PA conducted clearing operations and noticed traces of bloodstain along the enemy route of withdrawal. 7336 EASTMINCOM (ARMM) MAGUINDANAO (STABBING) Ref: 6ID, PA Report RN: 6DTOC-2401-62-201 dtd 24 Jan 2010 On 241200 Jan 2010, Pfc Ranillo Lerios 827477 (Inf) PA of 29IB was attacked by a certain Ali Dasil and slashed in the neck  with a ""GARAB"" while manning a checkpoint with the other troops at vicinity Brgy Magaslong (51N XH 765772), Datu Piang, Maguindanao.  Government Side: WIA Pfc Ranillo Lerios    Other Details: a.  The suspect is believed to be an MILF member under Cmndr Hassan Indal of 105th Base Command operating at Datu Piang, Maguindanao.  b.  Accordingly, the suspect tried to grab the issued M16 rifle of Pfc Lerios PA after the attack but was prevented by  Pfc Erwin U Dumanon PA and eventually shot the suspect that caused his untimely death. c.  Initial investigation disclosed that the motive of the incident is ""AGAW ARMAS"".  Witnessess disclosed that the said incident happened in order to test the capabilities of the newly assigned unit in the area.  d.  The cadaver of the victim was claimed by his relatives.    Action Taken: a.  Pfc Lerios (inf) PA was brought to HQ 29IB with the assistance of LCE 115 (US troops) for treatment. b.  Subject EP is now recuperating at Cotabato Regional and Medical Center. 7364 EASTMINCOM (ARMM) MAGUINDANAO (RECOVERY OF FA) Ref: EASTMINCOM Report RN: EMCOC-2601-104-2010 dtd 26 Jan 2010 Progress Report to Journal Item Nr: 7343 dtd 25 Jan 2010, re-encounter between combined troops of 9SRC/2SRB composed of 1 Officer & 18 Ep under LT CARDINAS (INF) PA & A P/B/46IB/8ID also 1 Officer & 18 EP led by LT DATUGAN (INF) PA against  MOL 30 LMG (Previously reported as ALG) under unknown leader at Brgy Satan, Shariff Aguak, Maguindanao on 24150 Jan 2010.","FOR INFORMATION AND REFERENCE. 7137 EASTMINCOM (ARMM) MAGUINDANAO (BURNING) Ref: ISAFP Report RN: INCIDENT REPORT dtd 07 Jan 2010 On 052015 Jan 2010, seven (7) abandoned houses made of light materials at a Mango Plantation in Datu Hoffer (51N XH 7253664312), Maguindanao were burned by suspected MILF members.  Accordingly, the houses were abandoned by the occupants and caretakers of the plantation after the 23 Nov 2009 Maguindanao massacre.  Further, the mango plantation is located about 200 meters from the municipal hall and is allegedly owned by former Maguindanao Governor Datu Andal Ampatuan Sr. Other Details: The estimated cost of damage is Php 100,000.00.","Local authorities is investigating the case. 7138 EASTMINCOM (ARMM) MAGUINDANAO  (SHOOTING) Ref: ISAFP Report RN: INCIDENT REPORT dtd 07 Jan 2010 On 071000 Jan 2010, a certain Jun Rial Kamaong, Municipal Councilor of Datu Piang, Maguindanao was shot to death by a certain Surab Maliga, an alleged follower of MILF Comdr Benito Tangkle of 105BC, MILF at vicinity Poblacion, Bgy Dapiawan, Datu Saudi Ampatuan of the same province while onboard a tricycle. Other Details: a.  Accordingly, the victim is the son of Vice Mayor Genuine Kamaong of the same municipality, who is a known ally of the Ampatuans. b.  The victim sustained three (3) GSWs that caused his instant death. 7139 EASTMINCOM (ARMM) MAGUINDANAO  (ARMED CLASH) Ref: ISAFP Report RN: INCIDENT REPORT dtd 07 Jan 2010 On 070510 Jan 2010, undetermined number of armed MILF led by Cmdr Baso Tutin and Cmdr Mohiden Kadialan of 105BC, MILF engaged in an armed confrontation with an armed group affiliated to Datu Saudi Ampatuan, Maguindanao municipal Councilor Tamano Mamalapat at vicinity Sitio Bolatukan (51N XH 5519768467), Bgy Kitapok of the same municipality.  Allegedly, the incident inflicted three (3) casualties on the MILF. 7167 EASTMINCOM (ARMM) MAGUINDANAO (HARASSMENT) Ref: 6ID, PA Report RN: 6DTOC-1001-30-10 dtd 10 Jan 2010 On 100230 Jan 2010, the Detachment of 25th Mag CAA Coy, 38IB at Brgy Limpongo (51N XH 567574), Datu Hoffer, Maguindanao was harassed by more or less 100 MILF members led by a certain Comdr Carialen. Firefight lasted for about 30 minutes, afterwhich the enemy withdrew towards North. Progress report to follow."
00009,EASTMINCOM ,REGION XII,SOUTH COTABATO ,ENCOUNTER,10ID ,10ID3-TOC – 0901 – 09 - 10 ,09 Jan 2010,"On 090530 Jan 2010, CVO & BRGY DEFENSE SYSTEM (BDS) COMPOSED OF 14 MEN OF BRGY UPPER SEPAKA, SURALLAH, SCOT LED BY JUAN CABRA ENCOUNTERED MOL 20 SIPOT GANG MEMBERS UNDER @ JOJO AT (51N 17050605) SITIO KABAKOL, BRGY UPPER SEPAKA, SURALLAH, SCOT. FIREFIGHT LASTED FOR ALMOST 15 MINS.Other Details:",,,,,,,CAL 30 GARAND – 72 RDS & SHOTGUN – 18 RDS. FOR INFORMATION.,"OOA 09 0620H JAN 10, ONE (1) TM OF CAA LED BY CPL GREGORIO AMAR (INF) PA OF UPPER SEPAKA B/72IB JUMPED-OFF & PROCEEDED TO THE ENCOUNTER SITE TO REINFORCED THE ENGAGED BDS MEMBERS."
00013,EASTMINCOM ,ARMM,MAGUINDANAO ,HARASSMENT,6ID ,6DTOC – 1001 – 30 - 10 ,10 Jan 2010,"On 100220 Jan 2010, LIMPONGO DETACHMENT OF 25TH, MAG CAA COY, 38IB BASED AT  BRGY LIMPONGON, DATU HOFER, MAGUINDANAO (51N XH 567574) WAS HARASSED BY MOL 100 FULLY ARMED MEN UNDER CMDR CARIAN OF ALG. FIREFIGHT ENDED AT ABOUT 0242H SD.Other Details:",,,,,,,ONE (1) WIA ON GOV’T SIDE – CAA JUDITO ONAO WAS SLIGHTLY HIT ON HIS LEFT LEG WHILE UNDETERMINED CASUALTY ON THE ENEMY SIDE. PROGRESS REPORT TO FOLLOW.,
00014,EASTMINCOM ,ARMM,MAGUINDANAO ,HARASSMENT,6ID ,CNR 6DTOC – 1001 – 33 - 10 ,10 Jan 2010,"On 100835 Jan 2010, ELEMENTS OF 6SFC LED BY 1LT AGRADE (INF) PA CONDUCTED PATROL AT VIC GS 5959, SHARIFF AGUAK, MAGUINDANAO. WHILE ON HARBOR/AMBUSH POSITION AT VIC 51N XH 59685911, POBLACION, SHARIFF AGUAK, MAGUINDANAO, PFC SERANILLA SIGHTED FIVE (5) UNIDENTIFIED MEN WITH ASSORTED HPFAS APPROACHING TO HIS LOCATION AND IMMEDIATELY FIRED AT ARMED MEN BELIEVED TO BE MEMBERS OF RAGS. THE ARMED MEN WITHDREW TOWARD UNKNOWN DIRECTION. AT ABOUT 100500H JAN 10, TROOPS SCOURED THE ENCOUNTER SITE AND DISCOVERED BLOOD STAINS ALONG THE TRAIL AND RECOVERED ONE (1) MAGAZINE OF CAL .45 LOADED WITH SEVEN (7) LIVE AMMOS. ",,,,,,,,
00016,EASTMINCOM ,ARMM,MAGUINDANAO ,HARASSMENT,6ID ,6DTOC – 1001 – 31 - 10 ,10 Jan 2010,"RE HARASSMENT. OOA 100220H JAN 2010,  LIMPONGO DETACHMENT OF 25TH MAG CAA COY, 38IB.On 100220 Jan 2010, LIMPONGO DETACHMENT OF 25TH MAG CAA COY, 38IB BASED AT VIC 51N XH 567574 BRGY LIMPONGO, DATU HOFFER, MAGUINDANAO WAS HARASSED BY UNDET NUMBER OF ALGS. THE ENEMY POSITIONED IN SOUTHWEST AND NORTHWEST DIRECTION OF THE DETACHMENT USING HPFA’S AND FIREFIGHT ENDED AT ABOUT 0242H AFTER WHICH THE ENEMY WITHDREW TOWARDS THE DIRECTION OF SITIO BONTOD, BRGY LIMPONGO OF SAME MUNICIPALITY. CAA UNAO WAS IMMEDIATELY EVACUATED TO CAMP SIONGCO STATION HOSPITAL, AWANG, DOS, MAGUINDANAO WHILE THREE (3) WOUNDED CIVILIANS WERE BROUGHT TO NEAREST HOSPITAL FOR MEDICAL TREATMENT",,,,,,,,"OOA 0600H SAME DAY, ONE (1) SECTION FROM LIMPONGO DETACHMENT LED BY CPL LAGMAY (INF) PA, DETACHMENT COMMANDER OF 25TH MAG CAA COY, 38IB  CLEARED THE AREA WHERE THE ENEMY POSITIONED AND RECOVERED ONE (1) EMPTY MAGAZINE OF M14 RIFLE, THREE (3) RDS OF 7.62 LMG (LINKED), UPPER HAND GUARD FOR M14 RIFLE, AND ASSORTED EMPTY SHELLS OF DIFFERENT CALIBERS. TROOPS ALSO DISCOVERED TRACES OF BLOODSTAIN ON THE ENEMY ROUTE OF WITHDRAWAL"
