Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
10362,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-0107-02 ,02 Jul 2010,"On 01 Jul 2010, operating elements of 3LRC, LRBn, SOCOM, PA while on combat patrol encountered undetermined number of ASG under Dr. Abu at vicinity Brgy Karawan (51N TG 738574), Indanan, Sulu.Government Side:",,KIA Sgt Lorito E Loro 809526 ,Wounded   Frazier Bashier,,,,,"At about 0430H same day, wounded civilian guide was brought to Trauma Hospital for proper medical treatmet  together and the cadaver of late Sgt Loro PA was brought to the JTF headquareters for proper disposition.",
10400,WESTMINCOM ,ARMM,SULU  ,ENCOUNTER,ISAFP ,STL-DTD-0607-2010 ,07 Jul 2010,"On 052010 Jul 2010, joint elements of Sulu PPO and 2MBLT Brigade encountered the abductors in cohorts with ASG members led by JUL SAJI at vicinity Sitio Luog Samin, Brgy Lambago, Luuk, Sulu. Fire fight lasted for about fifteen (15) minutes. Afterwhich, the enemy withdrew towards unknown direction leaving behind the kidnap victim Xili WU @ PETER GO. No casualty was reported on either side.Firearms Gains:",,,,Recovered 1 - Garand rifle (sn: Not reported) 1 - Carbine (sn: Not reported),,Recovered 217  - Rounds assorted ammunitions,"Accordingly, kidnapped victim Xili Wu @PETER GO is the relative of the owner of Jolo Perlas Trading who was abducted by six (6) armed men last 131845 Dec 2009 inside the Jolo Perlas Trading Office located at Marinas Street, Brgy Walled City, Jolo, Sulu.",Rescued kidnapped victim Xili Wu @ Peter was brought to Sulu PPO.,
10413,WESTMINCOM ,ARMM,BASILAN  ,LAND MINING,WESTMINCOM ,WMC-0807-01 ,08 Jul 2010,"On 07 Jul 2010, 1st Pltn of 21MC, MBLT1 led by 2LT IBAÑEZ PN (M), while conducting route security patrol passing thru 51N VH 011179, 039178 & 038179 accidentally stepped on an IED laid as a landmine at vicinity Brgy Magcawa (51N VH 044177), Al-Barka, Basilan.Government Side:",,WIA Cpl Benji L Estoque 856009  Pvt Al Rashid H  Asibih 883829 ,,,,,,"a. On 1835H same day, MBLT1 dispatched two (2) M35 trucks and one (1) V-300 CDO with one (1) Pltn from SOP1, one (1) squad from 31MC and one (1) squad from 21MC led by 2LT MANANGHAYA PN (M) to conduct Infantry tank operations to medevac the two (2) WIA`s. b. On 2208H same day, two (2) UH-1H Helis departed EAAB proceeded to Camalig landing zone to pick-up the WIAs and arrived EAAB on 080106H July 10 and subsequently the two (2) WIA`s were pick-up by CNGH ambulance.  ",
10502,WESTMINCOM ,ARMM,SULU ,ABDUCTION,WESTMINCOM ,WMC SPEED SHEET NR 07-011 ,16 Jul 2010,"On 16 Jul 2010, a Japanese national identified as Amer Catayama Mamaito was abducted by ten (10) armed men believed to be ASG under ASG leader Umbra Jumdail @ Abu at vicinity Sitio Bas, Brgy Bangkilay, Pangutaran, Sulu Province.Action Taken:",,,,,,,,Efforts are now  being undertaken to determined the whereabouts of the victim and true identities of the abductors. Progress report to follow.,
10509,WESTMINCOM ,ARMM,BASILAN  ,BURNING,WESTMINCOM ,WMC-1707-01 ,17 Jul 2010,"On 16 Jul 2010, a burning incident transpired at the newly renovated/repaired detachment intended for Armor assets attached to MBLT1 in vic of Tipo-Tipo National High School was burned by suspected ASG members led by certain Nuruddin Mudallah @ Cmdr Not and subsequently engaged by members of TARBADECO SCAA/security of Tipo-Tipo municipal hall. No casualty was reported on both sides.Action Taken:",,,,,,,,MBLT1 dispatched one (1) M35 truck and one (1) V-150 CDO with one (1) Pltn of SOP1 and two (2) squads from HSC led by 2LT CELIZ PN (M) jumped off Bn TCP and conducted Tank Infantry Operations towards Tipo-Tipo proper.,
10525,WESTMINCOM ,ARMM,SULU  ,KIDNAPPING,WESTMINCOM ,WMC-1707-01 ,17 Jul 2010,"Progress Report to AFPCC Journal Item Nr: 10502 dtd 17 July 10, re Kidnapping incident involving a Japanese national identified as Amer Katayama Mamaito abducted  by MOL ten (10) armed men believed to be ASG under ASG Leader Umbra Jumdail @ Abu at vicinity Sitio Bas, Brgy Bangkilay, Pangutaran, Sulu Province on 160100 July 2010.On 160100 Jul 2010, Accordingly, the victim, Amer Katayama Mamaito, a Japanese national, 63 yrs old, together with a certain Malik Lakibul arrived in Pangutaran three (3) years ago from Marawi City. The duo were engaged in treasure-hunting. After a few months later Lakibul left the place for an unknown destination leaving Mamaito on his own devices. Reportedly, Mamaito used to roam around the municipality donning tattered clothes and not in his normal state of mind.",,,,,,,Recovered from his residence were ID`s identifying him as a MNLF medic and a reservist of the Philippine Coast Guard Auxiliary with the rank of Lieutenant Junior Grade (LTJG).,,
10601,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-2507-02 ,25 Jul 2010,"On 251110 Jul 2010, elements of SOP5, MBLT5 while conducting combat operation encountered under nr of ASG at vicinity Sitio Kutah, Brgy Darayan, Patikul, Sulu. Firefight still ongoing as of this report.Action Taken:",,,,,,,"ASG Sub leaders Amlon Abtahi Palo and Said Mohammad @ Amah Maas with more or less fifteen (15) followers encountered the elements of SOP5, MBLT5 while conducting cbt clearing opns.   Firefight lasted for almost ten (10) minutes that forced the enemy to withdraw towards the creek at said area.  Action Taken: 251210 Jul 10, elements of 63FRC were immediately dispatched to conduct blocking opns on the possible enemy egress.","Progress report to follow. WMC 10369 WESTMINCOM (ARMM) SULU (ABDUCTION) Ref: JTFC Report RN: JTFC2-2507-25-2010 dtd 25 Jul 2010 On 251110 Jul 2010, 251110H July 2010, Elements of SOP5, MBLT5 while conducting combat operations encountered undet nr of ASG at vic Sitio Bid Kutah, Brgy Darayan, Patikul, Sulu 51NTG 880684.  Firefight still ongoing as of this report.",
WMC10363,WESTMINCOM ,ARMM,BASILAN ,LAND MINING,1MBDE ,1MBDE3-0710-14 ,08 Jul 2010,"On 071830 Jul 2010, 071830H July 2010, 1st platoon of 21MC. MBLT1 led by 2LT IBANEZ PN(M), while conducting route security patrol passing thru 51NVH 011179, 039178 and 038179, accidentally stepped on an IED laid as a landmine at vicinity 51NVH 044177, Brgy Magkawah, Al-Barka, Basilan Province.Other Details:",,,,,,,"071850H July 2010, operating elements led by 2LT MANANGHAYA PN(M)  conducted clearing operations at vicinity GC (51NVH 044177)gy Magcawa, Al-Barka, Basilan Province and found out that the explosion at said place was caused by fragmentation hand grenade with trip wire evidenced by recovered items at the explosion area/trail. ","1835H same day, MBLT1 dispatched two (2) M35 trucks and one (1) V-300 CDO with one (1) platoon from SOP1, one (1) squad from 31MC and one (1) squad from 21MC led by 2LT MANANGHAYA PN(M) to conduct tank Infantry opns to medevac the two (2) Wia’s. Ooa 072208H July 2010, two UH-1H HELIS departed EAAB and proceeded to Camalig Landing Zone purposely to pick-up the Wia”s and arrived at EAAB On or about 080106H July 2010 and subsequently the two Wia’s were pick-up by CNGH Ambulance.",
WMC10367,WESTMINCOM ,6,6 ,6,JTFC ,JTFC-0107-01-2010 ,01 Jul 2010,"On 010015 Jul 2010, 010015H July 2010, elements of 3rd LRC, LRBN, SOCOM, PA while conducting combat operations against ASG under Dr Abu encountered said group at vicinity Brgy Karawan, Indanan, Sulu (GC 51NTG 738574). Firefight lasted for almost five minutes.Action Taken:",,,,,,,,"010430H Jul 10, wounded civilian guide was evacuated to Trauma Hospital for proper medical treatment together with the KIA for proper disposition. MILF: 0200- EASTMINCOM (ARMM) MAGUINDANAO (ARMED CLASH) Ref: 6ID Report RN: 6DTOC – 0507 – 08 – 2010 dtd 05 Jul 2010 On 041710 Jul 2010, INITIAL SKETCHY REPORT INFORMED THAT ON 04 1710 JUL 10 A MNLF CAMP AT BRGY LAGUITAN, DBS, MAG (GS 1448) UNDER DATU RANDY KARON WAS HARASSED BY UNDETERMINED NUMBERS OF ARMED MEN BELIEVED TO BE MEMBERS OF MILF. FIREFIGHT LASTED FOR ALMOST TWENTY FIVE (25) MINUTES.PROG ASOB.  ",
10380,EASTMINCOM ,ARMM,MAGUINDANAO ,ARMED CLASH,"6ID, PA ",6DTOC-0507-08-10 ,05 Jul 2010,"On 041710 Jul 2010, the MNLF camp located at vicinity Brgy Laguitan (GS 1448), Datu Blah Sinsuat, Maguindanao under Datu Randy Karon was harassed by undetermined number of armed men believed to be members of MILF. Firefight lasted for about twenty-five (25) minutes. No casualty was reported on both sides.",,,,,,,,,
