Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
14487,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,WESTMINCOM ,WMC-0607--04 ,06 Jul 2011,"On 040730 Jul 2011, Intel operatives of 4SFBn with one (1) team from 17SFC composed one (1) Officer and twelve (12) EP led by 1LT WESLEY CAMPILIS PA while conducting joint special intel operations at vicinity Brgy Boheyakan, Lamitan, Basilan apprehended a certain Albino Divino Lumpapak @ Bundying,@ Sherman Akalan, a suspected ASG member and two (2) others namely Marlon Antonio @ MARLON and Elpidio Estandian @ JEK JEK.Enemy Side:"," Apprehended ASG member Albino Divino Lumpapak  Lumpapak @ Bundying,@ Sherman Akalan ASG member Marlon  Antonio  @ MARLON  ASG member Elpidio  Estandian  @ JEK JEK.",,,,,,,"Apprehended persons were brought to Hqs 4SFBn in Brgy Cabunbata, Isabela City, Basilan and further turned-over to PNP Lamitan at about 1500H same day."
15014,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,1ID ,1DC-0807-1424-2011 ,08 Jul 2011,"On 080800 Jul 2011, operating troops of 4SRB composed of nine (9) man team under 1LT EDUARDO B RATERTA JR (INF) PA of 11SRC, jumped-off H12SRC Command Post onboard one (1) KM450 and proceeded to Mangal National High School purposely to apprehend a ctn @ Jovi-Zaid (TN: Zuvirie A Dano) a suspected ASG member. At about 0820H same day, said troops returned H12SRC Command Post together with the apprehended suspect. Enemy Side:", Apprehended ASG Zuvirie A Dano @JOVI-ZAID,,,,,,,Apprehended person was brought to H12SRC Command Post for interrogation and proper disposition.
15018,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-0907--02 ,09 Jul 2011,"On 080758 Jul 2011, Elements of SOP2, SOP9, MBLT2 and MBLT9 while conducting LP/Op operations at Brgy Tambaking, Maimbung, Sulu encountered more or less twenty (20) ASG including suspected JI believed to be MAUWIYAH. Firefight lasted for ten minutes afterwhich, the enemy withdrew towards North direction. Other Details:",,,,,,,"At about 0830H same day, two (2) UH-1H and one (1) MG-520 heli conducted aerial recon to locate the fleeing enemy. At about 1203H same day, K9 team with elements from 2MC, MBLT2 arrived at the encounter site to conduct tracking/scouring in the area.",
15019,WESTMINCOM ,ARMM,SULU ,AMBUSH,WESTMINCOM ,WMC-0907--04 ,09 Jul 2011,"On 091730 Jul 2011, Elements of MBLT5 led by 2LT FLORES PN (M) was ambushed by more or less (30)fully armed ASG  under ASG sub-leader Khalal Dahamban and Basaron Arok at vicinity Brgy Tugas, Patikul, Sulu. Pursuit operation is still on-going.Government Side:",,KIA Pfc Argie   P Darullo 876276 PN (M),,,,,,
15071,WESTMINCOM ,ARMM,BASILAN ,HARASSMENT,1ID ,1DC 1307-  1461 -2011 ,13 Jul 2011,"On 122011 Jul 2011, operating troops of 11SRC, 4SRB composed of one (1) platoon under 2LT JAYSON F PARENAS (INF) PA was harassed by MOL fifteen (15) armed elements believed to be ASG/LLEs at vicinity crossing Baag, Bgy Guiong, Sumisip, Basilan Province. Firefight lasted for thirty one (31) minutes afterwhich the enemy withdrew towards North direction. Neg casualty on the govt side while undetermined on the enemy side.Other Details:",,,,,,,Said harassment was in retaliation to the recent losses that ASG under ABU Kik has incurred from 4SRB.,
15076,WESTMINCOM ,ARMM,BASILAN ,HARASSMENT,WESTMINCOM ,WMC-1407-07 ,14 Jul 2011,"On 130020 Jul 2011, elements of 11SRC, 4SRBN under 2LT JAYSON F PARENAS (INF) PA while on TPB/Checkpoint Were harassed by undet number ASG/LLEs at vic Sitio Baag, Brgy Guiong, Sumisip, Basilan Province. Firefight lasted for about one (1) minute, then the enemy withdrew towards north direction. Neg casualty on the govt side while undet number on the enemy side.Action Taken:",,,,,,,,"On 0530H same day, said troops conducted clearing operation on the suspected enemy positions and discovered empty shells of assorted ammunition."
15186,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,WESTMINCOM ,WMC 2307-02 ,24 Jul 2011,"Progress Report from Journal Nr. 15014 dtd 7/24/2011operating troops of 4SRB composed of nine (9) man team under 1LT EDUARDO B RATERTA JR (INF) PA of 11SRC, jumped-off H12SRC Command Post onboard one (1) KM450 and proceeded to Mangal National High School purposely to apprehend a ctn @ Jovi-Zaid (TN: Zuvirie A Dano) a suspected ASG member. At about 0820H same day, said troops returned H12SRC Command Post together with the apprehended suspect.",,,,,,,Result of Incident: Recovery of one (1) cal. 45 bearing SN 593741 with magazine loaded with eight (8) rounds.,
15197,WESTMINCOM ,ARMM,SULU ,HARASSMENT,WESTMINCOM ,WMC 2407-04 ,24 Jul 2011,"On 221545 Jul 2011, detachment of 49MC, MBLT9 stationed at Sitio Laum Saing, Brgy Kagay, Indanan, Sulu was harassed by MOL seven (7) armed men believed to be members of ASG/MNLF positioned approximately 150m south of said detachment.Action Taken:",,,,,,,,"Troops managed to retaliate which prompted the enemy o withdraw towards Camp Marang, Indanan after 15 minutes of firefight."
15207,WESTMINCOM ,ARMM,BASILAN ,RECOVERY OF WAR MATERIEL,WESTMINCOM ,WMC-2507--03 ,25 Jul 2011,"Progress Report from Journal Nr. 15169 dtd 7/25/2011; Recovery of War Material at Tumahugbong, Sumisip, BP.Items Recovered / Loss: ",,,,,,Serviceable 1 - battery 9 volts 2 - Blasting cap 3 meters - Electric wire 2 kgs - IED 1 - alcohol plastic container with metal used as improvised trigger device 1 - 1.5 coke plastic container with TNT cast.,"One Team from SFTM 201 led by CPT ARIES QUINTO (INF)PA, ACo, 20SFC immediately secured the area and disconnected/recovered the IED and brought to Hqs 20SFC for safekeeping.",
15262,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESMINCOM ,WMC-3007-03 ,30 Jul 2011,"Progress Report from Journal Nr. 15236 dtd 7/28/2011, re elements of SOP211, MBLT11 while conducting combat opns encountered undet nr of armed men at vic Mt. Tunggol, Patikul, Sulu. Firefight still ongoing as of this report.Firearms Losses: ",,,,,,Loss 4 - Harris HH radio 1 - Thermal Finder 1 - Range Finder 5 - Hand Grenade 5 - Compass 5 - GPS Recovered 1 - Round of RPG Ammo (Serviceable) 1 - Rocket Launcher ammo (Serviceable) 2 - M16 bandoleers (Serviceable) 1 - Cellphone NOKIA (Serviceable) 1 - ICOM radio 02N (Serviceable) 1 - Long magazine for M16 (Unserviceable) 5 - Rds of 81MM unexploded with attached scrap wirings (Unserviceable),"a. Based on Intel operatives, there were three (3) killed on the enemy side. b. Based on oral testimonies of WIA operating troops, there were fourteen (14) killed on my enemy side. c. Based on HUMINT sources there were sixteen (16) KIA and seven (7) WIA on enemy side . MILF:",
15100,EASTMINCOM ,REGION XII,COTABATO ,ARMED CLASH,6ID ,6DTOC-1607-418-2011 ,17 Jul 2011,"On 161720 Jul 2011, Brgy Tanod of Brgy Mudseng under Brgy Chairman Ramil Timan, Brgy Chairman of Brgy Mudseng, Midsayap, Cotabato encountered  the group of Cmdr Jeffrey Musa (TNU) of 105th BC, BIAF, MILF at vicinity Sitio Udsuran, Brgy Mudseng Midsayap, Cotabato.  Other Details:",,,,,,,Motive of incident is rido/land conflict.,
