Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
10007,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-0406-05-10 ,04 Jun 2010,"On 040855 Jun 2010, elements of SOTG, PA and 13SRC, SOCOM, PA while conducting combat clearing operations encountered undetermined number of ASG/LEs at vicinity Brgy Baiwas (51N VH 914162), Sumisip, Basilan Province.Government Side:",,WIA Pvt Richard Prado    Cpl Alejandro S Docado   ,,,,,,"a. NFWM directed NTG Basilan aboard PG117 to conduct MIO at vicinity coastal waters off Sumisip, Basilan Province. b. At about 0926H same day, two (2) UH-IH helicopters departed EAAB for Mangal, Sumisip, Basilan Province for possible CAS/MEDEVAC while  two (2) helicopters prepositioned at Hq 1MBDe at Tabiawan, Basilan Province at about 0956H same day. Progress report to follow:",
10017,WESTMINCOM ,ARMM,BASILAN ,HARASSMENT,WESTMINCOM ,WMC-0406-07-10 ,05 Jun 2010,"On 041428 Jun 2010, Cabacaban Detachment manned by post Comdr CAA Aser Ismael  located at Brgy Cabcaban, Sumisip, Basilan was harassed by undetermined number of ASG under ASG sub-leader Furuji Indama. Firefight lasted for about five (5) minutes. Afterwhich, the enemy withdrew towards Look Pasil, Brgy Canas, Maluso, Basilan Province. No casaulty was reported.Other Details:",,,,,,,"Accordingly, the attacked was in retaliation for the killing/ambushed of a certain Barek Tarang, brother in-law of ASG sub-leader Furiji Indama.",,
10024,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-0506-01-10 ,05 Jun 2010,"Progress report to Journal item # 10007 dtd 05 Jun 2010, re encounter of elements of 13SRC, FSRR, SOCOM, PA under 1LT BABARAN (INF) PA against undetermined number of ASG/KFRG at vicinity Sitio Pansul, Brgy Guiong (not Brgy Baiwas as previously reported), Sumisip, Basilan on 040830 Jun 2010.Government Side:",Killed  Anning Bayali    Siar Bayali  ,WIA Sgt  Jolito Carpi 801159 ,,,,,,,
10051,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-0606-01-10 ,08 Jun 2010,"On 050700 Jun 2010, two (2) combat groups of SR Class 175 under 1LT ANAS (INF) PA  encountered more or less six (6) ASG/JI while on combat operations at vicinity Brgy Sukaten (51N UH 916128), Sumisip, Basilan Province. No casualty was reported on either side.Action Taken:",,,,,,,,Troops conducted pursuit operation against the fleeing ASG.,
10052,WESTMINCOM ,ARMM,BASILAN ,SHOOTING,WESTMINCOM ,WMC-0606-02-10 ,08 Jun 2010,"On 041500 Jun 2010, a certain Sakimin Amlanun, 32 yrs old, farmer and Usman Sababon, both resident of Sitio Bohe Pansul, Brgy Sukaten, Sumisip, Basilan Province were fired upon by a group of LMG/ASG while on their way to their residence to retrieve the carabao and motorcycle owned by Sakimin Amlanun at vicinity Sitio Bohe Buhaye, Sumisip, Basilan Province.Civilian Side:",,,Killed   Usman Sababon Wounded   Sakimin Amlanun,,,,"Accordingly, Sakimin was hit on his left arm while Usman Sababon was fatally wounded. Sakimin managed to run for safety leaving behind his compnaion Usman. He was later recovered by his cousin a certain Eke Abdul Karim at about 1600H same day at vicinity So Puno Kilali, Brgy Sukaten. He further revealed that Usman Sabibon`s dead body was found in the scene of incident and was recovered by his (Usman) relatives on or about 050800 Jun 2010.",MBLT7 provided medical assistance to Sakimin Amlanun and the relatives of the victims were further advised not to roam around near the encounter site without proper coordination with HMBLT7.,
10053,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-0606-01-10 ,08 Jun 2010,"On 051500 Jun 2010, combat groups of SR Class 175 under 1LT ANAS (INF) PA encountered more ore less fifteen (15) ASG/JI while on combat operations at vicinity Brgy Guiong (51N UH 899115), Sumisip, Basilan Province. Firefight lasted for about thirty (30) minutes. Afterwhich, the enemy withdrew towards north direction. No casualty was reported on either side.Items Recovered / Loss: ",,,,,,Recovered 1 - XRM motorcycle (PN: JP 4489),,Troops conducted pursuit operation against the fleeing enemy.,
10054,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-0606-01-10 ,08 Jun 2010,"On 051530 Jun 2010, pursuing troops of SR Class 175 under 1LT ANAS (INF) PA encountered again the withdrawing ASG/JI at vicinity Brgy Gulong (51N UH 901122), Sumisip, Basilan Province while one (1) combat group of 13SRC under 1LT PULIDO (INF) PA encountered more or less five (5) ASG/JI at vicinity 51N UH 894130 of the same barangay of Sumisip, Basilan Province. Firefight lasted for about five (5) minutes. Afterwhich, the enemy withdrew toward southwest direction. No casualty was reported on the government side while undetermined number of casualty on the enemy side.Items Recovered / Loss: ",,,,,,Recovered 1 - Cell phone 1 - ICOM transceiver 1 - Battery pack 1 - Jungle hammock 1 - Set fatigue uniform 1 - Poncho 2 - Civilian backpacks containing personal belongings 2 - Malong   - Enemy foodstuffs,,,
10103,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-120602 ,12 Jun 2010,"On 110945 Jun 2010, convoy of MBLT4 led by 2LT BASUBAS PN (M)  encountered four (4) unidentified armed men believed to be member of ASG while conducting mobile patrol along Jolo enroute to Lupah Abu, Parang Sulu at vicinity Brgy Bunut and Lampaki, Indanan, Sulu. Said patrol sighted the aforementioned armed men positioned at said area and subsequently initiated the firefight which lasted for five (5) minutes after which the enemy withdrew towards unknown direction. No casualty reported on both sides.",,,,,,,,,
10109,WESTMINCOM ,REGION IX,BASILAN ,ABDUCTION,WESTMINCOM ,WMC-1206-04 ,12 Jun 2010,"On 111940 Jun 2010, the Brgy Chairman of Brgy Abong-Abong, Hon Eracio Eric Castillo appeared  at Abong-Abong detachment of MBLT7 and informed the personnel thereat that a certain Dado Lumatang, Manuel Lumasag both residents of Sitio Pali, Brgy Abong-Abong and Pedio Alimensi, resident of Brgy Tubigan were allegedly abducted by the group of ASG Sub Ldr Furuji Indama. Said victims are workers of Upper One L, Brgy Cabcaban, Sumisip, BP, all Christians and was not able to return back to their respective families.Other Details:",,,,,,,"a. Ooa 121100 Jun 2010, a certain Timjar Usmani appeared at Marines/CAA detachment stationed at Brgy Abong-Abong, Maluso, BP and reported that two (2) of the three (3) kidnapped personalities (Dado Lumatang and Manuel Lumasag) were beheaded by their captors at vicinity Sitio Kitchen Tractor, Brgy Abong-Abong, Maluso, BP. b. Ooa 0900 same day, the two (2) cadavers were recovered by their respective relatives. However kidnapped victim Elpidio Alimensi is still being searched by his relatives at the aforementioned place and is believed to have also been executed by his captors. c. The cadavers of Dado and Manuel are presently with their respective families for proper disposition.",,
10164,WESTMINCOM ,ARMM,BASILAN ,RECOVERY OF FA,WESTMINCOM ,WMC-1606-01-10 ,17 Jun 2010,"On 06 Jun 2010, (Belated report) one (1) Combat group of 13SRC, FSRR, SOCOM, PA under CPT ALING PA while on combat clearing operations recovered one (1) M16 rifle, serial number 4893342, believed to be owned by ASG/JI operating in the area at vicinity Upper Guiong (51N UH 895121), Sumisip, Basilan Province.Firearms Gains:",,,,Recovered 1 - M16 rifle (sn: 4893342),,Recovered 1 - Cal .22 air gun rifle 1 - Mag for M16 rifle with 30 rounds ammo,"Accordingly, while on combat clearing operation, chanced upon three (3) ASG/JI. Upon noticing the presence of troops, said armed men immediately scapered towards west direction leaving behind the said firearm.",,
