Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
14004,SOLCOM ,REGION IV,QUEZON ,APPREHENSION,ISAFP ,ISAFP SPECIAL REPORT DTD 02 JUNE 2011 ,02 Jun 2011,"On 021045 Jun 2011, joint elements of ISAFP, CIDG, Lucena City PNP, Quezon PPO 201Bde, 2ID, PA and U2, SOLCOM apprehended ASG member identified as Rico Miranda @Ryan Sison/ MOJAK/SALI/JULA/in Purok Silverado, Dalahican, Lucena City, Quezon by virtue of Warrant of Arrest for murder. Enemy Side:", Apprehended  Julani Luganao Sison @MOJAK/SALI/JULA,,,Recovered 2 - Homemade pistolized shotguns (sn: Not yet reported),,2 - Hand Grenades 1 - Electrical wires 1 - Notebook with several number  - SIM cards Serviceable 3 - Cellphones Unserviceable 17 - Cellphones,Subj is believed to be responsible in the bombing incident inside a Newman Goldliner PUB with plate Nr: TXJ710 along EDSA corner Buendia Avenue Makati City last 25 Jan 2011. ,Subject and confiscated items were turned over to the Police Headquarters in Lucena City for proper disposition.
14058,WESTMINCOM ,ARMM,SULU ,HARASSMENT,WESMINCOM ,WMC-0606-01 ,06 Jun 2011,"On 041257 Jun 2011, Operatine elements of SOP 10/20,MBLT 10 under 2LT LIWANAG, PN(M) and 2LT MENDOZA PN(M) while conducting Combat Operations towards GS 8966 was fired upon by the enemy at vicinity Brgy Sinumaan,Talipao, Sulu.Other Details:",,,,,,,Said enemy fire is believed to be from the outer security/supporters of ASG leader Radullan Sahirun.,
14105,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,CPMC ,CPMC OUTGOING DISPATCH DTD 08 JUN 11 ,09 Jun 2011,"On 081748 Jun 2011, Elements of SOP, 32MC, MBLT-2 under 2LT TEODORO PN(M), while conducting combat operation, encountered the group of ASG Leader UMBRA JUMDAIL @DR ABU, JI members ZULKIPLI BIN ABDULHIR @MARWAN, MUAWIYAH @ANJALA, QUAYIM and one (1) unidentified JI with around thirty (30) armed followers at vic 51NTG 734546, Brgy Buli Bawang, Parang, Sulu. Firefight lasted for about five (5) minutes with no casualty reported on both sides. After which, the enemy withdrew towards northwest from their position.Action Taken:",,,,,,,,"Immediately, elements of 63 FRC, FRBn reinforced the engaged troops."
14158,WESTMINCOM ,ARMM,SULU ,RECOVERY OF WAR MATERIEL,WESTMINCOM ,WMC-1206-05 ,12 Jun 2011,"On 110915 Jun 2011, Elements of SOP311, MBLT11 together with intel operatives led by 1LT JACLA PN(M) while conducting Tactical Intel Collection/Scouring recovered war materiel at vicinity Sitio Sayli, Brgy Pansul, Patikul, Sulu.Items Recovered / Loss: ",,,,,,1 - M16 bolt assembly (w/ no firing pin) 3 - volt wet cells 1 - set 4 elements aerial antenna,,"EOD team with K-9 units immediately proceeded in the area while recovered items were brought at Hqs MBLT11, Brgy Bonbon, Patikul, Sulu."
14171,WESTMINCOM ,ARMM,BASILAN ,AMBUSH,WESTMINCOM ,WMC 1306 02 ,13 Jun 2011,"On 111635 Jun 2011, CAA Hasim, 28 yo, married and resident of Lower Benengbengan, Sumisip, Basilan Province a member of 8th CAA Coy, Lower Benengbengan Det and one (1) civilian Jamari Tahajed single 17 yo resident of Limbo Candiz, Sumisip, BP while on their way from Maluso, BP onboard of one (1) XRM motorcycle was ambushed at So Mompot, Brgy Benengbengan, Sumisip, BP by MOL sevel (7) ASGs. CAA Hasim suffered GSW on his two(2) legs while Jamari Tahajed was hit on his stomach after which the ASG withdrew towards south east direction. Motives of ambushed the victim was diehard supporter of military.Government Side:",,WIA CAA Rolly Hasim  PA,Killed Mr Jamari Tahajed,,,,,"OOA 111640H Jun 11, SSg Peruwalela PA Det Commander of Lower Benengbengan with one (1) team of CAA proceeded to the ambush area and immediately evacuated the victim to Basilan Community Hospital but Jamari Tahajed was pronounced dead upon arrival."
14242,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WMC ,WMC 1806 01 ,19 Jun 2011,"On 181740 Jun 2011, elements of MBLT5 with intel operatives led by CPT GONZALUDO PN(M) while conducting tactical intel operation encountered mol twenty (20) fully armed ASG led by a certain Ninok safari at vic  51NTG 830702, Sitio Baunoh, Brgy Bangkal, Patikul, Sulu. Firefight lasted for twenty (20) minutes and after which, the enemy withdrew towards SE direction. Resulted to negative casualty on gov't side while three (3) killed including a certain Alvin Safari (brother of Ninok) and undet nr of wounded as per humint report.",,,,,,,,
14284,WESTMINCOM ,ARMM,BASILAN ,RAID,WESTMINCOM ,WMC-2206-02 ,22 Jun 2011,"On 220530 Jun 2011, Joint elements of SFC Cl 123-11 composed of fifteen (15) officers and fifty two (52) EP led by 1LT MARK LESTER V RESURECCION (INF) PA with one (1) Cbt Grp of 14SRC composed of one (1) officer and twenty four (24) EP led by 1LT JOSEPH ISRAEL R ILEOSIDA (INF) PA and personnel of 18MICO conducted deliberate raid at vicinity 51N UH 971180 Blk 17, Brgy Upper Cabengbeng, Sumisip, Basilan Province.Firearms Gains:",,,,Recovered 3 - M16 rifles (sn: ) 1 - M653 rifle (sn: ) 1 - Carbine (sn: ) 2 - Rifle grenade (sn: ),,Serviceable 1 - Icom 5 - Bandoleers 2 - cellphones 4 - Combat boots 5 - BDA uniforms 10 - M16 magazine (long) 8 - M16 magazine (short) 7 - Carbine magazine ,,
14342,WESTMINCOM ,ARMM,BASILAN ,RAID,"1ID, PA ",1DC-2406-1272-2011 ,24 Jun 2011,"On 231330 Jun 2011, a joint special operation conducted by elements of 32IB uner 1LT GALANZA, 16 MICO,11SRC, 9th ISU and Lamitan City Police conducted deliberate raid at suspected safe house of Musana Jamiri, ASG member under Nurhassan Jamiri IVO Sitio Patikul, Brgy Matatag, Lamitan City.Enemy Side:", Apprehended ASG Musana Jamiri  ,,,,,Serviceable  - Hand grenade1,Subject ASG elude arrest and attempt to escape while raiding team apprehended the brother Asrap Jamiri Musa and confiscated in his possession of one (1) hand grenade. Subject individual was brought to Hqs SOTF-B for proper disposition.,The subject and recovered hand grenade was brought to HSOTF-B for safekeeping and proper disposition.
14371,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,WESTMINCOM ,WMC-2706--02 ,27 Jun 2011,"On 261955 Jun 2011, One (1) squad of BCoy, 32IB, 11ID, PA led by Cpl Domie D Nasol (Inf) PA while conducting checkpoint operations at vicinity  Sitio Tinambakan, Brgy Maganda, Lamitan City, Basilan apprehended a certain Jadil Minuri Ministri, a suspected ASG member while passing along the said checkpoint.Enemy Side:", Apprehended ASG Jadil Minuri Ministiri ,,,,,,,"1LT MARK FRANCIS N GARCIA (INF) PA, Operations Officer of 32IB, with one squad of Scout Platoon immediately proceeded to the said checkpoint purposely to pick up the apprehended personality and brought to Bn Hqs, Brgy Campo Uno, Lamitan City, Basilan. MILF:"
14287,EASTMINCOM ,REGION XII,SULTAN KUDARAT ,ENCOUNTER,EMC ,EMCOC – 2206 – 157 – 11 ,22 Jun 2011,"On 200700 Jun 2011,  sporadic fighting erupted between MOL 150 pers composed of Palimbang pnp and 104BC, MILF under comdr Max4 and comdr 5’ 11” and MOL 150 armed men compose of Central  Mindanao front of MILF and 105th BC, MILF under comdrs: Gordon Syfullah; Musa; Usop Pangabanan; Ustadz Eddie and double M along the coastline of So Dongon (51nxh 21455 00855), Brgy Kidayan to  Brgy Namat (51n xh 19955 00555) both of Palimbang, SK. Accordingly, land dispute between claimants allied to cmdr Max4-musaban-cmdr scorpion\5’11” faction and claimants belonging to the group of Usop Pangabangan which involves hundreds of hectares of land planted with coconut trees.  reportedly, the group of Usop Pangabangan, upon sensing defeat in the ongoing legal battle over the contested land, sought help from cmdr Randy Karon.  It was the arrival of cmdr Karon’s men that heightened the tension in the area.  allegedly, Karon’s men acted aggressively since they arrived, at times firing their weapons at will.  that prompted mayor Bakre Maulana of Palimbang, SK to deploy a composite force consisting of PPMG, local police and its police auxiliary that eventually led the firefight.Other Details:",,,,,,,"1.   No reported casualties on the side of PNP and 104BC while one (1) dead (tnu) and one (1) wounded (tnu) on the side of Central Mindanao front of MILF and 105BC. 2.   About 90 families were safely evacuated at elem school of brgy maganao, palimbang, sk and mol 100 waiting for evacuation at the following brgys: kiapongot; namat and kisek of same municipality.","73IB reported the matter to major sol of jccch for his appropriate action.  major sol will communicate to cmdr randy karon. mayor bakre maulana of palimbang, sk coordinated with the police regional office 12.  pro 12 intends to send a platoon-size contingent to reinforce its engaged troops. likewise, 73ib reported the matter to governor teng mangudadatu of sultan kudarat, to pswd, sk, to red cross, sk, and the imt for their respective appropriate actions.  further 73ib is studying the possibility of increasing troop-level in palimbang in order to stabilize the situation.  LAWLESS ELEMENTS:"
