Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
EMC03317,EASTMINCOM ,REGION XII CARAGA,AGUSAN DEL NORTE ,ABDUCTION,4ID ,OPNS 1703-443-12 ,17 Mar 2012,"On 171200 Mar 2012, On or about 171200 March 2012, two (2) section of 5SRC composed of one (1)  officer and thirty five (35) EP’s under 1LT RUSSEL A BAWAT (INF) PA while traversing towards their next objective discovered an abandoned enemy encampment at GC 51P YL 880424, vic Baraas, brgy San Isidro, Kitcharao, Agusan del Norte. Said CNN camp is believed to have been abandoned for about three (3) days ago and can accommodate more or less (30) CNNs. Furthermore, said camp has approximate land area of 30 x 40 square meters with fungi stick (SUYAK) placed the vic in the perimeter of the camp. ",,,,,,,,Troops are still scouring the area.  Remarks: Progress are still scouring the area.
16712,WESTMINCOM ,REGION IX,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-1503-01 ,15 Mar 2012,"On 151100 Mar 2012,  elements of 12SRC, 4SRBn composed of two (2) platoons under CPT PENSONA PA and 1LT OROPEL PA encountered by MOL forty (40) ASG under Kair Mundus and Furji Indana while on combat operation at vic  Bohe Piyat, Brgy Baiwas, Sumisip, Basilan. Progress report to follow.Action Taken:",,,,,,,,"At about 1048H, same day, two (2) MG-520 Helo deparetd EEAB, Zamboanga City to preposition at Hqs JTF Basilan at Tabaiwan, Isabela City, basilan for possible CAS. "
16715,WESTMINCOM ,REGION IX,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-1503-02 ,15 Mar 2012,"On 151516 Mar 2012, elements of 10SRC, 4SRBN composed of two (2) Platoon under 1LT SOCO PA and 2LT ESPIRITU PA encountered undet nr of ASG at vic Brgy Baiwas Proper, Sumisip, Basilan ProvinceGovernment Side:",,KIA Pfc Dominador Molina 868394 PA WIA Pfc Daniel Resultan 879096 PA Pfc Symon Mark Subito 892113 PA Pfc Cresenio Sagaysay 868338 PA,,,,,,"At about 1751H same day, two (2) UH-1H helis departed EAAB, Zamboanga City for Basilan Province to pick up Wounded personnel."
16720,WESTMINCOM ,REGION IX,BASILAN ,ENCOUNTER,1ID ,11DC 1603-0867-2012 ,16 Mar 2012,"Progress Report from Journal Nr. 16715  dtd 15 mar 2012, re encounter  at Brgy baiwas, Sumisip, Basilan Province On 151647 Mar 2012, First encounter at 1100H involving 12SRC composed of two (2) platoons under CPT PENSONA (MI) PA  and 1LT OROPEL PA at 51N uh 884168 vic Bgy Baiwas SBP. Firefight lasted for four hours with FA fire support from 3rd Howitzer Pltn 'C"" battery, 9FAB and 2 sorties of MG520 helis arrived at encounter site and dilivered air strike/CAS. Troops continued to scour the area. The area is suspected to be an ASG camp with several makeshift huts that can accomodate MOL 40 personnel and sorrounded by IED's. Second encounter at 1647 involving at 1647H involving 10SRC composed  of (2) platoons under 1LT SOCO PAand 1LT ESPIRITU (INF) pa AT 51n UH 891167  vic Brgy  Baiwas, Sumisip, Basilan, Province. Firefight lasted for one and a half 1 1/2 hourswith FA fire support from 3rd Howitzer Pltn, 'C' Battery, 9 Fab. the 10 SRC was tasked to block enemy withdrawal routes. while scouring vicinity brgy baiwas, Sumisip , troops chanced upon withdrawing enemy. during Firefight, 10SRC sustained four (4) WIAs. at about 1845H, the (4) wiaS WERE casevac by night capable Helis and were brought to WMC Hospital. At about 1915H, operating troops under 1LT SOCO PA and 2LT EESPIRITU PA left LZ at 51N UH 894167 vic Brgy baiwas Proper, Sumisip, Basilan province and proceeded towards 51N UH 892166 to consolidate and reorganized then established TPB threat.",,,,,,,"PFC Molina who suffered gunshot wound on his left shoulder expired at Ciudad Medical Hospital, Zamboanga City.",
16723,WESTMINCOM ,REGION IX,BASILAN ,DISCOVERY OF ENEMY CAMP,1ID ,1dc 1603-0866-2012 ,16 Mar 2012,"On 161640 Mar 2012, 12SRC, 4SRB led by CPT PENSONA PA and 1LT OROPEL PA overrun suspected ASG camp at So Pansul,  Brgy Baiwas, Sumisip, Basilan. Said camp has 23 structures that can accommodate MOL 100 personnel. Initial clearing yield IED with 60MM mortar round IED clearing and scouring of camp.",,,,,,,,
16732,WESTMINCOM ,REGION IX,BASILAN ,DISCOVERY OF ENEMY CAMP,WESTMINCOM ,WMC-1703-05 ,18 Mar 2012,"On 161640 Mar 2012, Operating troops of 12SRC, 4SRB composed of two (2) platoons under CPT GERARDO R PENSONA (MI) PA and 1LT VLADIMIR OROPEL (INF) PA overrun suspected ASG Camp. Said camp has twenty three (23) structures that can accommodate MOL one hundred (100) personnel.Action Taken:",,,,,,,,Initial clearing operations conducted yield IED with 60MM mortar round.
16746,WESTMINCOM ,ARMM,BASILAN PROVINCE ,HARASSMENT,WESTMINCOM ,WMC-1903-03 ,19 Mar 2012,"On 181335 Mar 2012, harassment transpired at vic Hill 187 Patrol Base Brgy Macalang, Al-Barka, Basilan Province by MOL 10 armed men group believed to be member of ASG under Sulaiman. The troops heard noises from the enemy position at the vegetated area prompting the troops to return fire. No reported casualty on both sides.Action Taken:",,,,,,,,"1. OOa 181604H mar 12, CPT VILLAFLOR PA, CO, 17SFC based at AOB Brgy Bohe Lebung, Tipo-Tipo, BP immediately requested for a call for fire for one 91) round of 105MM  HOW from Ungkaya Pukan Fire Base. Te impact was at vic Bohelebang River. Afterwhich the enemy withdrew towards northwest direction.2. Command group alerted the troops of 17SFC for possible pursuit operation and intel operatives continued monitoring the enemy plan activities."
16755,WESTMINCOM ,ARMM,BASILAN ,HARASSMENT,1ID ,1DC 2103 -   0927        -2012 ,21 Mar 2012,"On 201600 Mar 2012, harassment transpired at vic 51N VH 097205 at Hill 187 PB, Bgy Macalang, Al-Barka, BP against MOL fifteen (15) believed to be a members of ASG under Long Malat Sulaiman. Said ASG fired with twelve (12) rounds of 7.62 mm M14 rifle followed by volume of fires from different direction towards the location of troops at Hill 187 PB. The enemy occupied South West portion of Hill 187 with estimated air distance of 100 meters at a vegetated area. The troops observed for five (5) minutes then TSg Panaligan, the Team Sgt ordered to return fire against suspected enemy location and said firefight lasted for MOL ten (10) minutes. Afterwhich, the enemy withdrew towards west direction. Government side - neg casualty, Enemy side - Neg casualty.",,,,,,,,
16798,WESTMINCOM ,ARMM,SULU ,STRAFING,WESTMINCOM ,WMC-2903-01 ,29 Mar 2012,"On 291420 Mar 2012, 291420H March 2012, two (2) MD 520MG with TAil Nrs 431 and 439 took off HLZ, KHTB, Busbus, Jolo, Sulu ICOW the scheduled engine check tights and jibe to conduct aerial recon in the vicinity of Brgy Danag, Patikul Sulu and Mt Ukan. Pangdan, pangdan., kalingalan Cauang. At about 1510H same day, the helis were strafed while airborne at vic Sitio Kantatang, Brgy kabbon Takkas. patikul resulting to the damage on the lead chopper N441 at the tail boom (abt 3 1/2 cms the tail boom) by a lone bullet and the slug exited up hitting one one of the main rotor blade (abt 4 inches from the tip of the blade).Result: Damaged on the lead chopper Nr 341 at the tail boom.Other Details:",,,,,,,"After the incident the aircraft touch down HLZ KHTB, Bus-bus, Jolo, Sulu. The chopper is now unoperational. At baout 1700H same day, info rcvd state that the perpetrators came from the nfollowers of ASG ;leaders Radullan Sahiron, Junumn Hussien and tahil Sali. Among the others ident is a certain Muraphy Nambi, ASG member under Radullan Sahiron using M14 rifle.",
EMC03341,WESTMINCOM ,REGION XI,DAVAO DEL SUR ,SURRENDER,4ID ,OPNS2003-468-12 ,20 Mar 2012,"On 202130 Mar 2012, Spot Report: On 190950 March 2012, a certain ANA ROSE PANGGILAN y AMOY @GING-GING/YASSY (NPSRL), a member of Medic Tm, Baking Tm, Squad 2, SDG, F51, SMRC voluntarily turned herself without firearms to 1LT GLEN B RONCAL (INF) PA, Intelligence Officer of 39IB at Sitio Bitaug, Brgy Zone III, Sta Cruz, Davao del Sur. Accordingly, @GING-GING/YASSY is 18 years old, single and a resident of Purok 6, Brgy Batasan (51N YH 401687), Makilala, North Cotabato.",,,,,,,,"Said surrenderor is now undergoing interview with the Intelligence operatives led by 1LT RONCAL of 39IB at H39IB in So Cogon, Brgy Tuban, Sta Cruz, Davao del Sur. For information. MNLF-MG:"
EMC03310,EASTMINCOM ,ARMM,MAGUINDANAO ,OTHERS,6ID ,6DTOC-1603-172-12 ,16 Mar 2012,"On 152240 Mar 2012, successive gunfire explosion was heard at vicinity Sitio Damalibi, Poblacion II, Shariff Aguak, Maguindanao. Allegedly, MNLF members residing at said area spotted some MOL twenty (20) armed men traversing the said area. Accordingly said armed men fired at the MNLF community which resulted to the death of a certain AKA MAMA, relative of a certain DATU ITAO.  Action Taken:",,,,,,,,"All detachments were alerted and be extra vigilant while CO,14MECH were instructed to conduct mobile patrol at Sitio Baku.  MILF:"
EMC03180,EASTMINCOM ,XII,MAGUINDANAO ,ARMED CLASH,6ID ,6DTOC-0103 -121-12 ,01 Mar 2012,"On 010350 Mar 2012, An armed clash occurred at vicinity Sitio Kampana, Brgy Tabungao, Rajah Buayan, Maguindanao between the group of Brgy CAPT Jerry Macalay of Brgy Tabungao against the group of Adzmine Tagadaya of 106th BC, MILF. Firefight lasted 0430h same day. and sporadic fire still ongoing but no reported casualties on both side",,,,,,,,
16646,WESTMINCOM ,ARMM,LANAO DEL SUR ,SURRENDER OF FA,WESTMINCOM ,WMC- 0103-07 ,02 Mar 2012,"On 291730 Feb 2012, a certain Junaid Bato Datu, an active platoon leader of the 6th Bde, 102 BC,  BIAF, MILF and resident of Brgy Udalo, Piagapo, LDS, surrendered with his carbine (M2) SN 1806, one (1) mag and ten (10) rds of ammo to at ICOM Terminal, Brgy Moncado Kadingilan, Marawi City, LDS. Enemy Side:",Surrendered  Junaid  Bato Datu ,,,Surrendered 1 - Carbine (M2)  (sn: 101806),,Surrendered 1 - Magazine for carbine M2 10 - Ammo for carbine M2," Accordingly, subject was persuaded by the troops rendering services in the construction of road projects in the aforesaid Barangay to surrender. Moreover, said person is currently undergoing custodial debriefing at H64IB, while the surrendered firearm was deposited at the Supply Room of 64IB.",Intel specialist of 64IB conducted custodial debriefing and comprehensive investigation to the surrenderee. LAWLESS ELEMENTS:
16693,NOLCOM ,REGION II,CAGAYAN ,ENCOUNTER,NOLCOM ,CN-10-03-2011 ,10 Mar 2012,"On 100845 Mar 2012, AN ENCOUNTER TRANSPIRED BETWEEN PROVINCIAL PUBLIC SAFETY COY (PPSC) AGAINST FULLY ARMED MEN AT BRGY KAPANIKIAN NORTE, ALLACAPAN, CAGAYAN GC 419239. FIREFIGHT LASTED FOR ABOUT 15 MINUTES AND THE ENEMY WITHDREW TOWARDS BRGY UTAN, ALLACAPAN, CAGAYAN.  Action Taken:",,,,,,,,PNP TROOPS CONDUCTED CLEARING OPERATION
16731,SOLCOM ,REGION IV-A,QUEZON ,AMBUSH,SOLCOM ,SLOC-1703-262-12 ,17 Mar 2012,"On 171430 Mar 2012, Cpl Lopez PA and Pfc Bamba PA, both members of A/Coy, 16IB, 2ID, PA on board a motorcycle while traversing from A/Coy CP, So Kamagong, Brgy Magsaysay, Infanta, Quezon  were ambushed by unidentified armed men on board a green car without plate number  at vic So Dulo, Brgy Magsaysay, Infanta, Quezon. Government Side:",,KIA Cpl  Lopez  PA WIA Pfc  Bamba  PA,,,,,"Cpl Lopez was brought to ASH, 2ID at about 1645H same day but declared Dead on Arrival by the attending Physician while Pfc Bamba was confined at the said hospital.","a. One (1) squad of 16IB, 2ID, PA under LT ESPINA PA together with Brgy Tanods proceeded to recover the two (2) EP and were later brought to 2ID, ASH.b. B/Coy, 16IB, 2ID, PA conducted checkpoint at Tonohin, Infanta, Quezonc. One (1) squad from the same unit led by Pfc Yamballa PA established battle position at Batching Plant.d. 1LT TAGLE PA of same unit provide necessary assistance to the cadaver of Cpl Lopez."
16659,CENTCOM ,REGION VIII,NORTHERN SAMAR ,RECOVERY OF FA,8ID ,8D3-Opn- 266  -0303-12    ,03 Mar 2012,"On 020820 Mar 2012, follow-on Intel Special Operations conducted by the operatives of BCo, 52IB (CAFGU) led by SSg Tito Gabuay (Inf) PA with nine (9) CAA personnel led by Ssg Roque Bonite (Inf) PA of Tula CAA Detachment which acted upon the revelation of a certain Dominador Atencio who newly surrendered and guided the troops to his arm storage at Sitio Bahay, Brgy Tula, Pambujan, Northern Samar that resulted to the recovery of one (1) US Garand Rifle with SN: 1834987, one (1) clip loaded with 8 rounds of ammo and subversive documents with high intelligence value.Firearms Gains:",,,,Recovered 1 - Garand rifle (sn: 1834987),,Recovered 1 - ammo 1 - subversive documents,,
16784,CENTCOM ,REGION VI,ILOILO ,AMBUSH,CENTCOM ,COC-2012- ,26 Mar 2012,"On 260755 Mar 2012, Progress report Nr 2 and Correction to our COC Spot Report Nr: COC-2012-157. regarding the vehicular ambush of one (1) squad (+) composite from A&H/82 led by Cpl Felarca at vicinity Brgy Ingay, Tubungan, Iloilo on 260755 March 2012 who are supposed to pick-up the TESDA students from Tubungan, Iloilo to TESDA Office, Iloilo City.one (1) squad (+) composite from A&H/82 leb by Cpl Ted Peter C Felarca (Inf) PA on board one (1) KM250 and one (1) M35 trucks while on their way to Brgy Poblacion, Tubungan, Iloilo purposely to haul the TESDA students from Municipal Hall, Tubungan, Iloilo to Tesda Office, Iloilo City was ambushed by undetermined number of NPAs of SF, kR-P at vicinity 51P VM 25268788 Brgy Ingay, Tubungan, Iloilo. Firefight lasted for about 30 minutes that resulted to five (5) WIA on the government side and undetermined on enemy side.Government Side:",,WIA Cpl Ted Peter Felarca 852275 PA Pfc Rofel  Chiva 860709 PA Pfc Jake Cena 891615 PA Pfc Jargen Bayot 885154 PA Pvt Jayrold Cansansio 896110 PA,,,,,,"1. At 0830H same day, LTC MIRANDA CO, 82IB arrived at ambush site and immediately supervised the pursuit operations.2. 301Bde deployed one (1) platoon from 31DRC under 2LT BITBIT, personnel ASCOM, PA to support the pursuit operations of 82IB.3. At 1000H two (2) UH-1H helis airlifted the 31DRC personnel and K9 tracking dogs with handlers the AO in  Tubungan, Iloilo. Pursuit operations are now ongoing."
EMC03243,EASTMINCOM ,REGION 12,NORTH COTABATO ,EXPLOSION (GENERAL,6ID ,6DTOC-148-12 ,08 Mar 2012,"On 081900 Mar 2012, Spot report. OOA 081900H March 2012, grenade was thrown and exploded at the gate of  mosque near Pikit Market, Poblacion, Pikit, Cotabato. No casualty reported, 7IB personnel and Pikit, PNP proceeded to the scene of the incident and conducted initial investigation. Progress report to follow.",,,,,,,,
