Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
00926,EASTMINCOM ,ARMM,MAGUINDANAO ,HARASSMENT,6ID ,TXT MSG FM CHIEF. EMCOC ON 20 3500H MAY 10 ,20 May 2010,"On 190700 May 2010, MOL 80 MILF LED BY USTADZ BADI OF 105TH BC FIRED  THE CVO OF HON MAYOR ALLANDATU ANGAS AT  BRGY KULAMBOG, SULTAN SA BARONGIS, MAG. FIREFIGHT LASTED FOR ALMOST 30 MINS. THEN AT AA 1015H SD, WHILE COMDR, 6ID & PARTY W/PNOC PERS & MAYOR ANGAS WERE VISITING SAID BRGY TO VERIFY A PLUGGED PNOC GAS EXPLORATION PIPE & PROSPECT SITE FOR AN ELEMENTARY BUILDING ERECTION TO BE DONATED BY PNOC. THE GROUP OF BADI FIRED TO THE POSITION OF THE VISITING PARTY. SPOARDIC FIREFIGHT ENSUED THAT RESULTED TO TWO (2) WOUNDED CVO (TABERA ALAB & JUSOP SIANO).MOTIVE- LAND CONFLICT.",,,,,,,,"VICTIMS WERE IMMEDIATELY BROUGHT TO LAMBAYONG DISTRICT HOSPITAL, LAMBAYONG, SK."
00933,EASTMINCOM ,ARMM,MAGUINDANAO ,ARMED CLASH,6ID ,6DTOC – 2105 – 83 – 2010 ,22 May 2010,"RE ARM CLASHED AT BRGY KULAMBOG, SSB,MAG ON 190620 MAY 10On 190620 May 2010, TWO (2) WOUNDED ON THE SIDE OF MAYOR ANGAS GROUP IDENTIFIED AS MALUSI SIMPAL, SUSTAINED GUNSHOT WOUND ON HIS LEFT ARM AND SOLAMIN ASI WHICH SUFFERED GUNSHOT WOUND ON HIS LEFT LEG AND THEY WERE EVACUATED TO BARURAO HEALTH CENTER FOR MEDICAL TREATMENT.",,,,,,,PROGRESS REPORT TO FOLLOW.,
00935,EASTMINCOM ,ARMM,MAGUINDANAO ,ARMED CLASH,6ID ,6DTOC – 2105 – 85 – 2010 ,19 May 2010,"RE ARM CLASH AT BRGY KULAMBOG, SSB, MAG ON 190620 MAY 10On 190620 May 2010, TASK FORCE IFTIHAD FROM BIAF, MILF CENTRAL COMMITTEE LED BY CERTAIN USTADZ LEMS KALON ARRIVED AT POBLACION, SULTAN SA BARONGIS, MAG PURPOSELY TO PACIFY OPPOSING PARTIES OF HAJ BADE SAIL MOSAIDEN OF 105TH BC, BIAF, MILF AND THE SUPPORTERS OF MAYOR ALLANDATU ANGAS LED BY SP02 ABUSIMA SIMPAL {RET) AND FOR THE STANDOFF BETWEEN 105TH BC AND 106TH BC SUPPORTED BY AMPATUAN PAGs AT SULTAN SA BARONGIS AREA.",,,,,,,PROGRESS REPORT TO FOLLOW.,
00944,EASTMINCOM ,ARMM,MAGUINDANAO ,ABDUCTION,6ID ,6DTOC – 2305 – 89 – 2010 ,24 May 2010,"RE ARM CLASHED AT BRGY KULAMBOG, SSB, MAGON 190620 MAY 20On 190620 May 2010, INTERNATIONAL MONITORING TEAM (IMT) MEMBERS LED BY COL ABEDIN HARIS AND KARIM BOTH OF BRUNEI ARMED FORCES, MAJ SOL, AFP CCCH REPRESENTATIVE, CERTAIN MR SASALI TOGETHER WITH LGU OF SULTAN SA BARONGIS LED BY HON VICE-MAYOR RAMDATU ANGAS,  SAMMY UTTO,  CVO LEADER UNDER MAYOR ALLANDATU ANGAS AND USTADZ GALI, REPRESENTATIVE OF 105TH  BASE COMMAND, BIAF, MILF ASSESSED THE DAMAGE CAUSED OF THE FOUR (4) DAYS  HOSTILITIES AT  BRGY KULAMBOG (GC 772633), SULTAN SA BARONGIS, MAGUINDANAO AND  FURTHER ADVISED USTADZ WAHID HALIL TUNDOK AND HAJ BADE SALI MOSAIDEN TO REFRAIN HOSTILE ACTION WHILE THEY ARE INITIATING SOLUTIONS OF THEIR PROBLEMS. THE GROUP WAS MONITORED DISPLACED THE AREA AT ABOUT 1300H SAME DAY. FURTHERMORE, OOA 211930 MAY 10, MOL FORTY (40) HOUSES SITUATED AT SO PROPER AND SO SILONGAN BOTH OF BRGY KULAMBOG, SAME MUNICIPALITY WERE BURNED AND ESTIMATED TWO HUNDRED EIGHTY SEVEN (287) FAMILIES WERE DISPLACED AT KULAMBOG COMPLEX, AA 221600 MAY 10, MOL THREE HUNDRED (300) FOLLOWERS OF WAHID TUNDOK AND HAJ BADE WERE MONITORED TO BE STILL AT BRGY KULAMBOG, SULTAN SA BARONGIS,MAG. ACCORDINGLY, SAID GROUP WILL LEAVE THE AREA IF THE TF IFTIHAD AND IMT COULD MADE A LONG-TERM SOLUTIONS ON DIE DISPUTED LAND CONFLICT BETWEEN @ BADE FAMILY AND THE SUPPORTERS OF MAYOR ALLANDATU ANGAS LED BY SP02 ABUSIMA SIMPAL PNP (RET). MOREOVER, MOL EIGHTY (80) 105TH BC, BIAF, MILF UNDER FIELD COMDR @ CRITICAL (TNU) WERE AT IVO BRGY TABUNGAO (51N XH 738655), RAJAH BUAYAN WHITE THE GROUP OF CERTAIN COMDR GANI AND COMDR PALO BOTH FIELD COMDR OF 105TH BASE COMMAND ESTABLISHED POSITION AT BRGY MELIBPOLOK (51N XH 728647), RAJAH BUAYAN, MAGUINDANAO. ON THE OTHER HAND, @ RANDY, @ JEFROX, @ KASAM, @ BLACKSADAM, @ BONIE & @ OAK ALL FIELD COMDR'S UNDER 106TH BC, BIAF, MILF WITH UNDETERMINED HEAVILY ARMED FOLLOWERS ESTABLISHED DEFENSIVE POSITION AT VIC SO DAMABAGO, BRGY BARURAO (GS 51N XH 7650), SULTAN SA BARONGIS, MAGUINDANAO WHILE CERTAIN KAGE TENG, BARANGAY CHAIRMAN OF BRGY BANAL, RAJAH BUAYAN AND CVO LEADER UNDER MAYOR YACOB AMPATUAN OF SAME MUNICIPALITY WERE IN VICINITY OF SO BARRIO MUSA, BRGY SAPAKAN (51N XH 713639), RAJAH BUAYAN WITH MOL SEVENTY (70) ARMED FOLLOWERS AND UNDET NUMBERS OF FULLY ARMED MEN BELIEVED TO BE A COMBINED PAG'S OF AMPATUAN AND ELEMENTS OF 106TH BC, BIAF, MILF WERE MONITORED IN VICINITY OF BRGY SAMPAO (51N XH 750595), RAJAH BUYAN, MAGUINDANAO.",,,,"Recovered 1 - M16 rifle (sn: 168001) 9628 SOLCOM (REGION V) MASBATE  (EXPLOSION IED) Ref: SOLCOM Report RN: SLCOC-0405-415-10 dtd 04 May 2010 On 030530 May 2010, one (1) section from HHSVCo, 85IB (OPCON to 9ID) under COL LOPE C DAGOY INF (GSC) PA, CO, 85IB while traversing the National Highway, Brgy Gaid (51P WP 957462), Dimasalang, Masbate onboard a KM450 vehicle, an improvised explosive device (IED) exploded, emplaced at the right side gutter of the Highway.  Afterwhich, the suspects escaped towards different directions.  No casualty was reported, but the vehicle sustained damages. Other Details: a.  The troops were on their way to Masbate City of same province when the incident happened. b.  The explosion created a crater at about 15"" wide & 6"" deep, four (4) meters away from the gutter. c.  The troops discovered a secluded area, about 300 meters away from the impact area, believed to be staging point of the suspects.  Furthermore, the troops recovered 300 meters electrical wire (# 16), one (1) can with a piece of cloth and one (1) 1.5 liter softdrink bottle.  Action Taken: a.  COL DAGOY INF (GSC) PA immediately reported the incident to Dimasalang MPS and directed two (2) squads from ACoy, 85IB detailed with JAFP - PNP STF Masbate led by TSg Francisco (Inf) PA to conduct clearing operations. b.  RPSB Masbate is investigating the incident. 9652 SOLCOM (REGION III) QUEZON  (LIQUIDATION) Ref: SOLCOM Report RN: SLCOC-0506-425-10 dtd 06 May 2010 On 032320 May 2010, Shooting incident transpired at vicinity of LDD Sport Arena, Bgy Mangilag Sur, Candelaria, Quezon wherein an unidentified suspect shot SPO2 Federico Alvarez De Guia Jr PNP assigned at MPS Candelaria, Quezon using cal .45 pistol. The victim suffered several gunshot wounds in the body. After the incident, the assailant fled away on a motorcycle driven by his unidentified male cohort heading towards Sariaya, Quezon. Action Taken: The victim was immediately brought to United Candelaria Doctor`s Hospital for Medical treatment and later transfered to Mt Carmel Hospital but was declared DOA by the attending physician. His cadaver presently lies at Funeraria De Mesa Lim, Candelaria, Quezon. 9666 SOLCOM (REGION V) MASBATE  (EXPLOSION IED) Ref: SOLCOM Report RN: SLCOC-0605-429-10 dtd 06 May 2010 On 061035 May 2010, one (1) section of HQ 85IB under MAJ DACUSIN PA, Bn S7 and MAJ LICYAYAO PA, Bn S1, while onboard a KM450 vehicle, backed-up by SIMBA AFV was waylaid by unidentified suspects with improvised explosive device (IED) along the National Highway, Sitio Busay, Brgy Pawican, Cataingan, Masbate.  No casualty was reported, but the KM450 vehicle had minor damage. Other Details: Accordingly, the perpertrators were believed to members of a PAG in cahoots with the CTs. Action Taken: a.  CO, 85IB reported the incident to Palanas MPS. b.  One (1) section from Joint AFP-PNP STF Masbate led by SSg Esperilla PA conducted clearing operations. 9829 SOLCOM (REGION V) CAMARINES SUR (SHOOTING) Ref: ISAFP Report RN: STL dtd 20 May 2010 On 191636 May 2010, PSI ANGELIS C BALLA PNP, Chief of Police of Magarao, Camarines Sur together with his one (1) year old daughter was shot by unidentified gunman in front of his Angels Eatery Canteen at Central Business Development Terminal in Naga City. After the incident the gunman onboard motor bike left the crime scene while the Police Officer and his daughter, who sustained gunshot wounds, were brought to Mother Seton Hospital in Naga City for medical treatment. Action Taken: Elements of Naga City PNP recovered three (3) empty shells from Cal .45 pistol and continue the conduct of investigation to determine the motive of the incident and identity of the suspect.",,,FOR INFORMATION AND REFERENCE.,"FOR INFORMATION AND REFERENCE./9830/EASTMINCOM (ARMM)/MAGUINDANAO (ARMED CLASH)/Ref: 6ID, PA Report RN: 6DTOC-1905-80-2010 dtd 20 May 2010/On 190700 May 2010, MOL 80 armed MILF forces led by Ustadz Badi of 105th BC, CMF, MILF fired at the position of CVO under Mayor Allandatu Angas at Brgy Kulambog, Sultan Sa Barongis, Maguindanao. Exchange of fire lasted for about 30 minutes. At about 1015H same day, while the party of Cmdr, 6ID, PA together with personnel of PNOC and Mayor Angas were visiting the said Brgy to verify the plugging of PNOC gas exploration pipe and prospective site for the construction of elementary building donated by PNOC, the group again fired towards the position of the visiting party. Sporadic firefight ensued until the party of Comdr, 6ID left the area./Other Details:/Wounded were identify as certain Tabara Alab and Jusop Siano, both CVOs of Allandatu Angas. They were brought to Lambayong District Hospital, Lambayong, Sultan Kudarat for medical treatment. Motive- Personal grudge due to land conflict./9854/EASTMINCOM (ARMM)/MAGUINDANAO  (ARMED CLASH)/Ref: 6ID Report RN: 6DTOC-2105-65-10 dtd 21 May 2010/Progress Report to Journal Item Nr: 9830 dtd 20 May 10, re armed clash by MOL 80 armed MILF forces led by Ustadz Badi of 105th BC, CMF, MILF fired at the position of CVO under Mayor Allandatu Angas at Brgy Kulambog, Sultan Sa Barongis, Maguindanao on 190700 May 10./Other Details:/a. Two (2) wounded on the side of Mayor Angas group identified as Malusi Simpal, sustained gunshot wound on his left arm and Solamin Asi which suffered gunshot wound on his left leg and they were evacuated to Barurao Health Center for medical treatment./b. On 1740H same day, the house of certain Glalodin Sinao and Cesar Blolik situated at vicinity Sitio Padpad, Brgy Kulambog were allegedly burned by the followers of Haj Bade Sali Mosaiden @ Bade./Action Taken:/On 1620 same day, a certain Ibrahim Diat, International Commitee Team (IMT) member and a certain Ginda Utto, MILF chairman on the Coordinating Committee on the Cessation of Hostilities (CCCH) met with SPO2 Abusima Simpa (Ret) purposely to mediate between the two opposing forces./9943/EASTMINCOM (ARMM)/MAGUINDANAO  (HARASSMENT)/Ref: 6ID Report RN: 6DTOC-3005-108-2010 dtd 30 May 2010/On 29 May 2010, one (1) pltn of CCoy, 29IB under 1LT SORIANO (INF) PA while temporarily harboring  was fired upon by MOL fifty (50) fully armed LMG under @ Tata Uy using five rounds of M203 GL and Cal .50 machine gun at vicinity Brgy Reina Regente, Datu Piang, Maguindanao. No reported govt casualty./Action Taken:/Troops retaliated by firing one (1) round 81MM mortar towards the enemy location after which the enemy seized firing./9947/EASTMINCOM (ARMM)/MAGUINDANAO  (ENCOUNTER/Ref: 6ID Report RN: 6DTOC-3005-109-10 dtd 30 May 2010/On 30 May 2010, one (1) pltn of CCoy, 29IB, 4ID, PA under 1LT SORIANO (INF) PA while conducting security patrol  encountered MOL fifty (50) LMG under @ Tata Uy at vic Brgy Reina Regente, Datu Piang, Maguindanao. Firefight still ongoing as of this report. /Action Taken:/Troops fire three (3) rounds of 81MM mortar & thirty eight (38) rounds of cal .50./9875/WESTMINCOM (REGION IX)/ZAMBOANGA DEL NORTE (APPREHENSION)/Ref: 1ID, PA Report RN: 1DC-2305-1039-10 dtd 24 May 2010/On 23 May 2010, one (1) team of CCoy, 44IB, 1ID, PA under 1LT RANDY L ALEJANDRO PA and 2LT RENAN B DE DIOS PA chanced upon and apprehended a certain Benhar Mohammad Aban Salicala, 33 yrs old at vicinity Sitio Sapa Bayol, Brgy Malambuhangin, Siocon, Zamboanga del Norte./Other Details:/a. Accordingly, while the troops were observing the personnel working in a Zamboanga West Coast Road in front of their Company CP, they noticed a suspicous looking man.  While the team of 1LT ALEJANDRO was about to approach the said person, he suddenly ran away prompting the troops to  run after and apprehend the said person./b. The troops were able to seize one (1) Cal .45 pistol with SN: 582614 (COLT MKIV) with ammo from the suspect`s possession./c. The result of interrogation revealed that apprehended person is OB listed (page 78) as Comdr of 2nd Coy, 2nd bn of the Expeditionary Brigade, 113th BC of the MILF. He was turned over to Sirawai Police Station for filing of illegal possession of firearms and violation of the COMELEC Gun Ban./Action Taken:/Apprehended person was brought to Bn Hq of 44IB for tactical interrogation./9878/WESTMINCOM (REGION IX)/ZAMBOANGA DEL NORTE  (HARASSMENT)/Ref: ISAFP Report RN: STL DTD 24 MAY 10 dtd 24 May 2010/On 23 May 2010, 27th CAA Coy, GCoy, 18IB PA stationed in Pulo Langan, Brgy Poblacion, Kalawit, Zamboanga Del Norte was harassed by MOL thirty (30) fully armed MILF members believed to be under Comdr Salahudin. Exchange of fires with the CAA forces lasted for about one (1) hour afterwhich, the enemy withdrew towards unknown direction with no reported casualty on both sides./Other Details:/The hostile action of the MILF is believed to be a retaliation since one of the followers of MILF Comdr Salahudin identified as Armando Sario Marikol was shot to death at So Kayaban, Brgy Paraiso, Kalawit Zamboanga Del Norte last 17 May 10 in which the govt troops are being blamed./LAWLESS ELEMENTS:/9836/NOLCOM (CAR)/ABRA (RECOVERY OF FA)/Ref: NOLCOM Report RN: CN-0755-19-05-10 dtd 19 May 2010/On 190400 May 2010, elements of 53rd MICO, 503IBDE, 50IB, SPOT 1-1 MIG1 and 77IB(C) led by Tsg Manuel E Angeles (Inf) PA proceeded to Mt Libgan, Brgy Tubtuba, Tubo, Abra to conduct intelligence operation purposely to locate an arms cache. Said operation resulted to the recovery of one (1) M16 rifle bearing SN 168001, presently under the custody of 53rd MICO. Progress report to follow."
00773,EASTMINCOM ,ARMM,MAGUINDANAO ,EXPLOSION (GENERAL,6ID ,6DTOC-0105-03-2010  ,01 May 2010,"RE IED ESPLOSION AT BRGY KAURAN, AMPATUAN, MAG ON 301115 APR 10On 301115 Apr 2010, 2LT  RICHARD  O  KADIL (INF) PA  WHILE  ON  AREA SECURITY AT VIC (51N XH 614544) MASALAY DETACHMENT, SITIO MASALAY, BRGY MATAGABONG, AMPATUAN, MAGUINDANAO HEARD AN EXPLOSION AT SOUTHWEST DIRECTION FROM THE DETACHMENT.",,,,,,,"THE INCIDENT CAUSED PUBLIC PANIC AND FEAR AMONG THE RESIDENTS IN THE BARANGAY. J HOWEVER, THERE  WERE  NO  REPORTED CIVILIAN CASUALTY  OR  CAUSED MAJOR  DAMAGES BOTH PRIVATE AND GOVERNMENT PROPERTIES.","SGT RONNIE S PATETE (INF) PA IMMEDIATELY RESPONDED IN THE AREA TO VERIFY SAID INCIDENT.  IT WAS  CONFIRMED THAT ONE (1) IED FRAGMENTATION GRENADE WITH CELLULAR PHONE  AND  EVEREADY  BATTERY AS TRIGGER  MECHANISM  EXPLODED NEAR THE RESIDENCE OF A CERTAIN TESSE BAIS  IN FRONT  OF  THE CATHOLIC  ALLIANCE  CHURCH  AT  VIC ( 51N XH 630495) PUROK 1, BRGY KAURAN, AMPATUAN, MAGUINDANAO  ABOUT  30 METERS  FROM THE HIGHWAY. IT WAS ASSESSED THAT THE PERPETRATORS WERE THE SUPPORTERS OF THE AMPATUAN'S TARGETING THE CONVOY OF MANGUDADATO DUE TO THEIR CONTINUOUS FAMILY FEUD/REDO AND POLITICAL RIVALRY. THE MANGUDADATO'S WERE  AT  THAT  TIME CONDUCTING MOTORCADE AND RALLY IN THE AREA."
00803,EASTMINCOM ,REGION XI,DAVAO DEL SUR ,RECOVERY OF IED,10ID ,10ID3 TOC-0505-202 -2010  ,05 May 2010,"On 031300 May 2010, AN IMPROVISED EXPLOSIVE DEVICE (IED) PLACED WITHIN THE VICINITY OF WAFER DISTRICT ALONG RIZAL AVENUE, DIGOS CITY WAS RECOVERED BY THE PNP EOD TEAM OF CITY . SAID EXPLOSIVE DEVICE WAS FORMED INTO A PACKAGE WRAFFED —UP WITH MASKING TAPE ATTACHED WITH WHITE PAPER WITH WRITINGS ""ALAHU AKBAR”, DEATH TO INFIDELS. ELEKSYON HINDI SOLUSYON SA KAPAYAPAAN, “ TO BOMBA SASABOG SA MAY BANSALAN AT MATANAO”  . THE PNP EOD TEAM OF DIGOS CITY LED BY SP03 ELI ASOR RECOVERED THE IED THRU WATER DISRUPTOR TO PREVENT THE POSSIBLE EXPLOSION.Other Details:",,,,,,,"THE IED CONTAINED A CARTRIDGE, OF 81MM MORTAR (HE) BUT HAS NO CAPABILITY TO EXPLODE DUE TO THE ABSENCE OF TRIGGERING DEVICE. SAID RECOVERED ITEM WAS PRESENTLY AT THE CUSTODY OF PNP EOD FOR PROPER DISPOSITION. PROGRESS REPORT TO FOLLOW.",
00821,EASTMINCOM ,ARMM,MAGUINDANAO ,HARASSMENT,6ID ,6DTOC - 0605-20-10 ,07 May 2010,"On 061915 May 2010, UNDETERMINED NUMBER OF LAWLESS ARMED GROUP UNDER UNKNOWN COMMANDER HARASSED CIVILIAN COMMUNITY AT TERMINAL OF DATU UNSAY, (51NXH 584610) SO 150, BRGY META, DATU UNSAY, MAGUINDANAO. SPORADIC FIRES AND EXPLOSION OF M203 GRENADE LAUNCHER THAT LASTED FOR FIVE (5) MINUTES AFTER WHICH THE ENEMY WITHDRAWS TOWARDS NORTH DIRECTION. MOTIVE OF THE INCIDENTS DASH POLITICAL MOTIVATED.Other Details:",,,,,,,"TWO (2) CIVILIANS WERE WOUNDED AND BROUGHT TO PROVINCIAL HOSPITAL OF MAGUINDANAO AT SHARIFF AGUAK, MAGUINDANAO. /PROGRESS REPORT TO FOLLOW.",ONE (1) PLATOON OF 29TH IB UNDER 1LT KALANG-AD SF JR TOGETHER WITH PNP OF DATU UNSAY MUNICIPALITY IMMEDIATELY RESPONDED AND SCOURED THE AREA.
00822,EASTMINCOM ,REGION XII,NORTH COTABATO ,APPREHENSION,6ID ,6DTOC - 0605-21-10 ,06 May 2010,Other Details:FOR INFORMATION AND REFERENCE,,,,,,,FOR INFORMATION AND REFERENCE,"A CERTAIN HELSON M SUMAPAL, 30 YRS OF AGE, MARRIED, CAA AND A RESIDENT OF BRGY PAIDU PULANGI, PIKIT COTABATO WAS APPREHENDED BY JOINT ELEMENTS OF “A” COY, 40TH IB LED BY 2LT EVERETTE B BUNGUE (INF) PA AND ONE (1) TEAM PNP LED BY PCI ABELIO N JUNGAYA WHILE CONDUCTING COMELEC CHECKPOINT OPERATIONS ALONG NATIONAL HIGHWAY (51NXH 548045) BRGY SOUTH MANUANGAN PIGCAWAYAN, NCOT. ONE (1) M16 RIFFLE SN 218521 WITH M203 ATTACHED BEARING SN 62882 WAS RECOVERED FROM HIS POSSESION. SUBJECT WAS RIDING A VEHICLE COMING FROM COTABATO CITY WHEN APPREHENDED AND NOW UNDER THE CUSTODY OF PIGKAWAYAN PNP. VIOLATION OF PD 1866 AS AMENDED BY PD 8294 ILLEGAL POSSESSION OF FIREARMS AND EXPLOSIVE IN RELATION TO COMELEC RESOLUTION 8714 WAS FILED AGAINST THE SUBJECT."
00841,EASTMINCOM ,ARMM,MAGUINDANAO ,EXPLOSION (GENERAL,6ID ,6DTOC-0805-25-2010  ,08 May 2010,"On 081305 May 2010, ONE (1) IMPROVISED EXPLOSIVE DEVICE (IED) WAS EXPLODED AT PHOENIX GAS STATION AT VICINITY 51N XH 611554, POBLACION, AMPATUAN, MAGUINDANAO. SAID IED WITH NOKIA 3315 AS TRIGGERING DEVICE WAS PLACED BESIDE ONE OF THE GAS PUMP OF SAID STATION. ACCORDINGLY, TWO (2} UNIDENTIFIED PERSONS RIDING BLACK HONDA XRM MOTORCYCLE STOPPED AND BOUGHT THREE {3) LITERS OF GASOLINE. FEW MINUTES LATER, AN EXPLOSION HAPPENED IN THE SAID GASOLINE STATION. THE PERPETRATORS IMMEDIATELY ESCAPED TOWARDS THE DIRECTION GOING TO BRGY MATAGABONG, AMPATUAN, MAGUINDANAO.Other Details:",,,,,,,PROGRESS REPORT TO FOLLOW.,"CHARLIE COY, 46TH IB, 8ID, PA STATION AT POBLACION, AMPATUAN, MAG IMMEDIATELY PROCEEDED TO THE AREA TO CONDUCT INITIAL INVESTIGATION. RECOVERED FROM THE SITE WERE ACCESSORIES OF NOKIA 3315 AND ONE EMPTY PLASTIC GALLON. NO CASUALTY WAS REPORTED ON SAID INCIDENT."
00848,EASTMINCOM ,REGION XII,SULTAN KUDARAT ,RECOVERY OF IED,10ID ,10ID3 TOC-0705-216 -2010  ,09 May 2010,"On 091030 May 2010, AN IMPROVISED EXPLOSIVE DEVICE (IED) WAS RECOVERED AT SITIO MAUNO BRIDGE, BRGY MALIGAYA, COLUMBIO, SULTAN KUDARAT. THE RECOVERY WAS MADE BY THE MEMBERS OF 65EOD TEAM LED BY SGT AARON KINONTAO JR. ELEMENTS OF “C”  COY 27TH IB, PA UNDER 1LT RAFAEL  R  MARCELINO AND WAS SUPERVISED BY LTC JOSHUA B SANTIAGO, COMDR. 27IB COMDR.SAID IED IS COMPOSED OF THE FOLLOWING; THREE (3) CARTRIDGES OF 40MM HE;  AVACORP; M406A; THREE (3) CARTRIDGES OF 60MM HE; TWO (2) METER WIRE; TWO (2) BLASTING CAP; PLASTIC CONTAINER.",,,,,,,PROGRESS REPORT TO FOLLOW.,
