Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
EMC05715,EASTMINCOM ,REGION XI,DAVAO ORIENTAL ,DISCOVERY OF ENEMY CAMP,10ID ,10ID3-TOC-0405-139-12 ,04 May 2012,"On 041430 May 2012, On 041430H May 2012, one Platoon of C/25IB led by 1LT DENNIS B ARAIZ (INF) PA while on combat operations and traversing towards their objective, discovered an abandoned enemy camp at vicinity Boundary of Monkayo, CVP and Boston, DOR. Other Details:",,,,,,,"Accordingly, said camp was abandoned for almost a month that can accommodate more or less 60 CNN’s based on the discovered structures and NPA materials (papag, burner and butane, empty can of fruit cocktail, juice wrapper, used candle, unused under wear and un used fungi stick). The camp is supported/guarded by a fighting position situated on high ground near the logging road. The troops moved towards GC 52N AP 878770 of same vicinity after scouring the area. said troops are still conducting combat operations as of this report. EMC05721   EASTMINCOM (XII) SULTAN KUDARAT (DISCOVERY OF ENEMY CAMP) Ref: 10ID Report RN: 10ID3-TOC-0505-141-12 dtd 05 May 2012 On 051155 May 2012, Platoon of B/27IB led by 1LT JIMENEZ while on pursuit operations discovered an enemy abandoned encampment that can accommodate more or less 100 persons at vicinity Sitio Lam-algo, Brgy Sinapulan, Columbio, Sultan Kudarat.  Other Details: Said camp located in the high ground, open terrain, cogonal area, with three (3) outpost and running trenches. The area also presumed to have been used by the NPA as a training ground during the conduct of final rehearsal/war gaming before the attack of Bacungan Patrol Base in Magsaysay, Davao del Sur last 25 April 2012.",,
EMC05775,EASTMINCOM ,XI,DAVAO DEL SUR ,HARASSMENT,6ID ,10ID3-TOC-1505-153-12 ,15 May 2012,"On 151900 May 2012, Tagaytay PB/E/72IB located at vic GC 51N YH 309471, Brgy Tagaytay, Magsaysay, DDS was fired upon by unidentified armed men.Other Details:",,,,,,,"Accordingly, said armed men positioned approximately 500 meters east of said Patrol Base. After firing four (4) shots, the perpetrator withdrew towards east direction  ","All nearby PBs were alerted. EMCO05779 EASTMINCOM (XI) DAVAO DEL SUR (SURRENDER) Ref: 10ID Report RN: 10ID3-TOC-1605-155-12 dtd 16 May 2012 On 161340 May 2012, A certain  Richard L Matampoli @Jinggoy (NPSRL), Member, Tm Baking, Squad 1, Pltn Lawin, F71, FSMRC voluntarily turned himself bringing with one (1) hand grenade and one (1) handheld radio with improvised battery to intelligence operatives of 39IB, 73IB and PNP Sta Maria at Brgy San Juan, Sta Maria, Malita, Davao del Sur.   Other Details: The surrender of @Jinggoy was made possible thru the effort of Brgy Captain Virgilio M Wata of Barangay San Juan, Sta Maria, Davao del Sur. Remarks: @Jinggoy is now undergoing interview with intelligence operatives of 39IB, 73IB & PNP led by 1LT RONCAL, Intelligence Officer of 39IB at Sta Maria MPS, Davao del Sur. Action Taken: The surrenderor was brought to Sta Maria MPS and put into blotter. Afterwhich, the subject was turned-over to intelligence personnel of 39IB for interview.    ",
16994,WESTMINCOM ,REGION IX,BASILAN ,STRAFING,1ID ,1DC-1105-3016-2012 ,11 May 2012,"On 111500 May 2012, One (1) UH-1H Heli with two (2) MG520 of the PAF was straffed by undet fully armed ASG at vic Sitio Pansul, Brgy Baiwas, Sumisip, BP while delivering resupply to the personnel of 5SFBn. Accordingly, said huey was strafed approximately 200m south of the Landing Zone after delivering resupply resulting to one (1) WIA - SSg Akmad Abdullah PAF the gunner of the said helicopter who sustained GSW on his left arm.Government Side:",,WIA SSg Akmad Abdullah  PAF,,,,,,"At about 1900H same day, said helicopter landed safely at HJTFB and the WIA personnel was immediately given medical treatment by the medical personnel of the SOTFB and Task Force Archipelago of the US Forces at HJTFB and further evacuated to Zamboanga City Hospital on board Evergreen helicopter of the US forces.",
17021,WESTMINCOM ,REGION IX,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-1505-01 ,15 May 2012,"On 141950 May 2012, SF Team 2002 composed of ten (10) EP led by Cpl Asgar Lakibul (Inf) PA encountered undet nr of ASG while conducting OP operations at vicinity helicopter landing zone , Jungle Base, Brgy Baiwas, Sumisip, Basilan Province, . Firefight lasted for three (3) minutes, after which, the enemy withdrew towards unknown direction. Negative casualty reported on both side.MILF:",,,,,,,,,
EMC04680,EASTMINCOM ,REGION 12,SULTAN KUDARAT ,OTHERS,6ID ,6DTOC-3004-292-2012 ,01 May 2012,"On 301035 Apr 2012, combined elements of “A” company of 33IB composed of seven (7) EP’s led by Sgt Romy Agabe (Inf) PA and Brgy Bagumbayan, PQSK 9th SK CAAC, 38IB, 6ID, PA detachment composed of ten (10) CAA’s led by Sgt Renato Pama (Inf) PA  conducted reconnaissance patrol within the periphery of the said detachment. While they were crossing the irrigation canal at vicinity GC 51N XH 885510, Brgy Bagumbayan, PQSK, the M14 rifle of a certain CAA Willy Helodon accidentally fired twice to the ground. After more or less one (1) minute of that accidental fire, more or less twenty (20) fully armed MILF led by Bn Comdr Manny Malaguyak and Field Comdr Ustadz Salgan Salendab both of 108BC and an alleged MILF panel of the conflict of Zukarno Hamdan @SIK and the populace of Brgy Bagumbayan who were at the estimated GC 51N XH 886518, Brgy Kulasi, GSKP, Mag (MOL 800 meters from the troops location) fired more or less twenty (20) rounds of small arms towards the direction of the troops. Considering the far distance of the MILF group and on the ongoing GPH-MILF peace talk, troops of 33IB did not return fire instead Sgt Agabe called to his Company Commander through Harris Radio for guidance.Action Taken:",,,,,,,,"Troops were advice to return back to Brgy Bagumbayan CAA detachment while the said MILF group according to intel reports, was also advised by local leaders to stay away from Brgy Kulasi. No reported casualties from the government troops and the MILF group.   ",
EMC05767,EASTMINCOM ,REGION 12,NORTH COTABATO ,ARMED CLASH,6ID ,6DTOC-1305-313-2012  ,13 May 2012,"On 131800 May 2012, Seven (7) SCAA led by Gaidali Adam while on patrol at vic Sitio Block 9, Barangay Dungos, Tulunan, North, Cotabato were fired by the group of Cmdr  Radzak (TNU) who positioned themselves at Sitio Mangko, Barangay Dungos, Tulunan, North Cotabato which is MOL 700 meters from SCAA position. Exchanges of fires lasted for five (5) minutes. Afterwhich, the group of Cmdr Radzak withdrew towards Sitio Pedtad of same Barangay with no reported casualty on both sides. Prior to the incident, report reached at Galidan SCAA Det (security forces of AYG corporation, owner of palm oil plantation in Dungos) that the new planted palm oil trees were cut and destroyed by unknown perpetrators. As a result, seven (7) SCAA personnel led by Gaidali Adam conducted security patrol in the area to verify and investigate the incident. Other Details:",,,,,,,Motive: Land conflict.,Complaint had been filed by AYG Corporation at Brgy Dungos Local Government and a proposed dialogue on Cmdr Radzak was called by the said Brgy. Case still to be determined by Tulunan PNP. 68IB was also in close coordination with the Local Government of Tulunan helping to pacify the situation and settle the issue. ,
EMC05768,EASTMINCOM ,REGION 12,COTABATO ,HARASSMENT,6ID ,6DTOC-1305-314-2012 ,14 May 2012,"On 131320 May 2012, followers of Teo Manimbong, MNLF Comdr at Katian Post, Bgy Tonganon, Carmen, Cotabato was harassed by more or less TEN (10) armed men believed to be under Cmdr Tarzan Dagadas of 1108C, MILF.  Firefight lasted for twenty (20) minutes. No casualties reported during the incident. Troops from BCoy, 7IB are now closely monitoring movements in the area to prevent another escalation of conflict. ",,,,,,,,,
EMC05778,EASTMINCOM ,XII,NORTH COTABATO ,ARMED CLASH,6ID ,6DTOC-1605-318-12 ,16 May 2012,"On 160530 May 2012, An armed clash occured between the  MILF group under Cmdr Tarzan and Cmdr Karim against MNLF under Cmdr Teo at vicinity Sitio Misalan, Brgy Tonganon, Carmen, Cotabato.Other Details:",,,,,,,"7IB is on continuous monitoring in the area and preparing to implement actions in accordance with the ceasefire  mechanism to prevent further escalation of conflict EMCOC 0578 EASTMINCOM (XII) MAGUINDANAO (ARMED CLASH) Ref: 6ID Report RN: 6DTOC-1805-322-2012 dtd 18 May 2012 On 181310 May 2012, Incident Report: OOA 181310 May 2012, an encounter occurred between the groups of BIFM and 118TH BC at vicinity Sitio Tugal, Brgy Libutan, Mamasapano, Maguindanao.  Accordingly, more or less eighty (80) fully armed men from the combined groups of Hasan Indal, Cmdr Indo Omal and @Jen (TNU and Ident Opn Officer of Zukarmo Zapal @Zuk. Bde Comdr of BIFM) encountered MOL 200 fully armed combined group of Data Bahnarin Ampatuan (PAGS), Cmdrs Dagadas Alim of 118 BC and Ibrahim Dagandal @ Blocky of 106TH BC, MILF at Sitio Tugal, Brgy Libutan, Mamasapano, Maguindanao.  For Information.  Other Details: No reported Casualties of said encounter as of this report. The encounter was the result of retaliation due to the death of Adan Gimik @ Nasaro, a member of BIFM, who was killed by the elements of 118TH BC, under Alim Dagadas. These incidents have caused another RIDO between sub-commanders of 118TH BC and BIFM. EMCOC05784 EASTMINCOM (XII) NORTH COTABATO (ARMED CLASH) Ref: 6ID Report RN: 6ID CNR 6DTOC-1805-321-2012  dtd 18 May 2012 On 180600 May 2012, Incident Report: OOA 180600H May 2012, an encounter happened between the group of Cdr Tep Minanimbong of MNLF and the group of Cdr Karim Sagadan of MILF under 110TH BC, EMF at Sitio Misalan, Brgy Tonganon, Carmen, Cotabato. The volatile situation worsens when CVOs of Brgy Tonganon joined the conflict. Firefight lasted for almost fifteen (15) minutes and subsided when one (1) platoon of “B” Coy, 7IB led by 1LT LUIS BANOEY (INF) PA arrived at the area for peace enforcement.   Other Details: Resulting to the wounding of Abubakar Ali, 35 years old, married, Leader of Datu Thio Minanimbong which was hit on his stomach and was immediately brought to Aleosan District Hospital for medical treatment. Civilian evacuees was estimated to be more or less two hundred eighty seven (287) families who are now in Brgy Lawili and New Panay both of Aleosan, North Cotabato. ","Troops of 7IB are still dispatched in the area and continuously monitoring said incident. Motive: Rido. EMCOC05786 EASTMINCOM (XII) MAGUINDANAO (ARMED CLASH) Ref: 6ID Report RN: 6DTOC-1805-322-2012 dtd 18 May 2012 On 181310 May 2012, Incident Report: OOA 181310 May 2012, an encounter occurred between the groups of BIFM and 118TH BC at vicinity Sitio Tugal, Brgy Libutan, Mamasapano, Maguindanao.  Accordingly, more or less eighty (80) fully armed men from the combined groups of Hasan Indal, Cmdr Indo Omal and @Jen (TNU and Ident Opn Officer of Zukarmo Zapal @Zuk. Bde Comdr of BIFM) encountered MOL 200 fully armed combined group of Data Bahnarin Ampatuan (PAGS), Cmdrs Dagadas Alim of 118 BC and Ibrahim Dagandal @ Blocky of 106TH BC, MILF at Sitio Tugal, Brgy Libutan, Mamasapano, Maguindanao.  For Information.  Other Details: No reported Casualties of said encounter as of this report. The encounter was the result of retaliation due to the death of Adan Gimik @ Nasaro, a member of BIFM, who was killed by the elements of 118TH BC, under Alim Dagadas. These incidents have caused another RIDO between sub-commanders of 118TH BC and BIFM. LAWLESS ELEMENTS:",
16995,SOLCOM ,REGION V,MASBATE ,APPREHENSION,SOLCOM ,SLCOC-1105-452-12 ,11 May 2012,"On 102345 May 2012, Pltn (-) of BCoy, 9IB, 9ID. PA under 1LT CASPILLO PA while conducting security assistance during the celebration of Brgy Fiesta of  Brgy Moises R. Espinosa, Milagros, Masbate apprehened a certain Randy Medina @ Nonoy with a hand grenade in his possession. Initial investigation revealed that the subject is a civilian and a resident of Brgy Bacolod, Milagros, Masbate.Enemy Side:",Apprehended  Randy Medina Nonoy,,,,,,,"OOA 110200 May 2012, subject person and recovered item was turned over to Milagros MPS for proper disposition.",
EMC05691,EASTMINCOM ,8,8 ,8,10ID ,10ID3-TOC-0105-88-12 ,30 May 2012,EASTMINCOM (REGION XI)DAVAO ORIENTAL (ILLEGAL LOGGING),,,,,,,,,
