Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
11828,EASTMINCOM ,REGION XII,BASILAN ,ABDUCTION,WESTMINCOM ,WMC-0211-03 ,02 Nov 2010,"On 021330 Nov 2010, a certain Rose Baranda, 60 years old, a resident of Brgy Tumahumbong, Sumisip, Basilan, was abducted by a an armed group of ASG and MILF lost command led by ASG Nurhassan and MILF commander Hud Limaya while onboard a color blue Public Utility Jeepney (PUJ) at  Brgy Cabangalan, Unkaya Pukan, Basilan.  Afterwhich, the group proceeded towards the area of Sitio Kumilap, Brgy Mangcawa, Albarka, Basilan Province.",,,,,,,,
12044,WESTMINCOM ,REGION IX,AGUSAN DEL SUR ,APPREHENSION,ISAFP ,ISAFP-MIG9 DTD 23 NOV 2010 ,23 Nov 2010,"On 231631 Nov 2010, Joint elements of MIG9,  MIG21 and 300th AISG apprehended ASG member Teng MANDANGAN  @ ABU KUDAMA at vicinity Brgy Rio Hondo, Zamboanga City.Enemy Side:", Apprehended/ Teng Mandangan Abu Kudama,,,,,,,"Subject ASG member who has a standing Warrant  of arrest for Kidnapping and illegal Detention, was once arrested by elements of MIGS9 on 21 November 2007 but managed to escape from detention along with 31 inmates during a jailbreak at the Basilan Provincial Jail last  13 Decenber 2009.  @ Abu Kudama was also involved in the Kidnapping of Marilyn CHIU in Kabansalan,  Zamboanga Sibugay sometime in 2000, the Kidnapping incident in Sipadan, Malaysia on April  2000, and in the Lamitan, Basilan siege on June 2001. MNLF-MG:"
11834,WESTMINCOM ,ARMM,SULU  ,APPREHENSION,WEASTMINCOM ,WMC-0221-05 ,03 Nov 2010,"On 031115 Nov 2010, Joint elements of MIG-9, ISAFP, G2 3MBDE, MARCC Jolo, JIDF, TF2, WAC, AFP and SPOT 903 apprehended a MNLF member identified as Ronies Jamang at vic Marcina St., Jolo, Sulu. Enemy Side:", Apprehended  Ronie Jammang   MILF:,,,,,,,
11924,EASTMINCOM ,ARMM,MAGUINDANAO ,STRAFING,EASTMINCOM ,EMCOC-1211-072-10 ,12 Nov 2010,"On 110100 Nov 2010, LT 501 and PG 395 were strafed by a group of MILF rebels using watercraft while enroute to Polloc Wharf, Parang, Maguindanao, No casualty was reported.Other Details:",,,,,,,"a. LT501 was steaming at vic 6.4 NM SW off Bongo Island while transporting MBLT7 and advance party of MBLT1,  the crew on watch observed that one (1) speeding unlighted motor banca was tracked down thru radar at 1,600 yards distance dead astern at speed of 22knots. When contact was observed changing course to different directions towards LT501 ship`s company immediately executed anti-sneak attack position then set GQ. The number of contact was then observed increasing to five (5), Hence, LT501 sensing imminent danger, immediatly reversed course to gain enough maneuver space and avoid being trapped by the increasing number of contacts closing-in from different directions./b. The group of Datu Uga Sinsuat and a certain Boy Tinago from Brgy Tapian, Pinansaran, Maguindanao and Brgy Tamonakan, Maguindanao respectively were alledgedly responsible. The group are allegedly members of MILF group operating at Tapia, Maguindanao and Bongo Island as pirates and bandits at sea.","a.On 0125H SD, CO, LT501 contacted CO, PG395 at Polloc Wharf for assistance and security and employed MBLT7 personnel as additional security on watch aboardship. b. On 0135, PG395 immediately departed and set GQ and positioned at STBD quarter of LT501 with same ship`s heading and picked-up thru radar several contact at dead ahead at 200 yards which were confirmed by LT 501. However, despite the presence of PG395, said watercraft continue encircling LT501. LT501 and PG395 fired warning shots to drive away and neutralized the hostile contact but retaliated and returned fire to both PN vessels. c. On 0311H SD, PG395 engaged the enemies in a firefight and performed several evasive maneuvers circling LT501 to secure and protect the vessel.  All  guns of PG 395 were utilized to neutralize the enemy with constant communications with LT501. d. On 0358 SD, one (1) of the contacts was observed radar speeding up at 18 knots heading towards port bow of LT501 at 100 yards forcing to give direct fire but due to darkness was unable to hit the target. e. On 110445H Nov 2010, as the day started breaking, all suspected watercraft departed towards the direction of Bongo Island, Parang, Maguindanao. f. On 0526H LT501 secured from GQ and continued steaming enroute to Polloc Wharf with PG395 as escort."
12106,EASTMINCOM ,ARMM,SARANGANI ,APPREHENSION,ISAFP ,STL ,28 Nov 2010,"On 280600 Nov 2010, Two (2) sections of CCoy, 73IB under 1LT GAMMAD (INF) PA together with intel operatives of 73IB, 102MICO, 10MIB, ISU-12, ISG, PA, CIDG-ARMM under SUPT JACINTO MALINAO and CTOP 12, NICA effected the arrest of Dido Binago @ABU SOKOR, Commander, 12 Bde, 105 BC, BIAF, MILF based in Palembang, Sultan Kudarat at Brgy Wali, Maitum, Sarangani Province.Enemy Side:",Arrested/ Ryan Pascual Binago follower/ Dido Binago @ABU SOKOR/ Marson Adam Mocsin follower/ Edward Ramos Icat follower,,,Recovered/1 - Garand rifle (sn:  2728252)/1 - BAR (sn: 6535470)/1 - Carbine rifle  (sn: 3003149)/1 - Cal .22   (sn: defaced),,Recovered/1 - Magazine for M14 with 31 rds ammo/1 - Magazine for Garand with 8 rds ammo/  - Assorted nails of IED,"a. The arrest was made by virtue of Warrant of arrest (WA) with Criminal Case nrs: 3043-08. 3044-08, 3045-08, 3046-08, 3047-08 and 3048-08 for murder, destructive arson, robbery with violence against and/or intimidation of persons issued by Jaime I. Infante, Executive Judge, Regional Trial Court, 11 Judicial Region, Branch 38, Alabel, Sarangani Province. b. Also arrested were his followers namely: Ryan Pascua Binago, Marson Adam Mocsin and Edward Ramos Icat. They are currently held at H73IB for custodial debriefing.",
11986,WESTMINCOM ,REGION XII,LANAO DEL NORTE  ,SURRENDER,1ID ,1DC-1911-2169-2010 ,19 Nov 2010,"On 19 Nov 2010, two (2) MILF members identified as Roque B Salusad and Saidor Guicanan of 306BDe, 3rd BC, BIAF, MILF under Hadji Tomawis @ Tony Falcon now under Hadji Nur (TNU) operating in the mountainous area of Brgy Rongongon, Iligan City and Kapai, LDS, voluntarily surrendered  with FAs to the joint elements of 43IB, 8ID, PA and 5IB, 1ID, PA under 1LT OCHOA (INF) PA and 1LT CABER (INF) PA.Enemy Side:",Surrendered/ Roque B Salusad  / Saidor Guicanan  ,,,Surrendered/1 - US Cal 30 M1 Garand Rifle (sn: 1895033)/1 - US Cal 5.56 M16 Rifle Elisco (sn: Defaced),,Recovered/1 - Long magazines of M16/4 - Short magazines of M16/25 - Rounds ammo for M16 rifle/12 - Rounds ammo fo Garand rifle/6 - Clips of Garand rifle/1 - Bandoleer of Garand line,,"Said surrenderees and firearms are now in the custody of 43IB, 8ID, PA for disposition."
12068,WESTMINCOM ,ARMM,BASILAN ,HARASSMENT,WESTMINCOM ,WMC-2511-02 ,26 Nov 2010,"On 251000 Nov 2010, CAA Det composed of three (3) CAA and seven (7) CVO`s was harassed by MOL 20 fully armed MILF under Pasil Bajali at vic Brgy Sukaten, Sumisip Basilan Province.Action Taken:",,,,,,,,"a. 4SRB  organized one (1) Scout Ranger Combat Group for possible reinforcement and pursuit operations.   b. At about 1300H same day, one (1) combat group from 10SRC composed of one (1) officer and 27 EP under 1LT ACAR PA onboard one (1) Km40 and proceeded towards Bacun Detachment at vic 51N UH 868101 to established blocking position while another combat group from the same unit composed of one (1) officer and 11 EP under 1LT ROSARIO PA was airlefted by two (2) UH-IH helis at Pine Tree Detachment vic 51N UH 929159 for troop insertion. LAWLESS ELEMENTS:"
12109,CENTCOM ,REGION VIII,SAMAR ,APPREHENSION,"8ID, PA ",8D3-OPN-1361-0111-10 ,28 Nov 2010,"On 280300 Nov 2010, section (-) composed of two (2) EP and 12 CAAs led by SSg Raras (Inf) PA conducted an strike operations after receiving an information on the presence of Partisan Armed Groups (PAGs) troops apprehended a certain Reynaldo Derio @NOKNOK, member of PAGs of unknown political leader and recovered FAs from his possession at Brgy Bocawe, Gandara, Samar.Firearms Gains:",,,,Recovered/1 - AR 15 Colt M653 Cal 5.56 (sn: 1154882)/1 - Colt Combat Commander Cal .45 pistol (sn: 035986),,Recovered/2 - Mags for AR 15 Colt M653/1 - Mag for Cal .45 pistol,The apprehended person and recovered FAs are presently at Purog Det for turn-over to Gandara PNP for proper disposition.,
11808,EASTMINCOM ,REGION XII,COTABATO  ,BURNING,"6ID, PA ",6DTOC-0111-03-2010 ,01 Nov 2010,"On 310030 Oct 2010, unidentified suspects burned the school building at Sitio Kulog, Brgy Arakan, Matalam, Cotabato. The incident was reported by Brgy Chairman Haron Mantawel to P/INS DONALD CABALUNA CABIGAS SR, OIC Matalam MPS OOA 310715 Oct 2010.Other Details:",,,,,,,"Two (2) classrooms including all school materials and documents/books were burned. Estimated total damage amounted to MOL five hundred thousand pesos (P 500, 000.00). The case is now under investigation by BFP Matalam, Cotabato.","At about 0840H same day, one (1) Squad of C/68IB led by Sgt Lagasca (Inf) PA proceeded to the place to secure the area."
11813,EASTMINCOM ,ARMM,MAGUINDANAO ,APPREHENSION,"6ID, PA ",6DTOC-0111-05-10 ,02 Nov 2010,"On 01 Nov 2010, joint elements of 603BDe, 62DRC, Naval Intelligence and Security Unit (NISU), Naval Intel and Security Forces (NISF) and ARMM-CIDG apprehended Tayan Karim and Tay Salik at their safe house at vicinity Sitio Matingon, Brgy Pigkalagan, Sultan Kudarat, Maguindanao.Enemy Side:", Apprehended/ Tayan karim  / Tay Salik  / Tayan karim  / Tay Salik  ,,,,,,"Accordingly, apprehended personalities were involved in the Maguindanao massacre and each one received monetary rewards amounting to Php250,000.00.",Apprehended suspects are brought to ARMM-CIDG for filing of approriate charges in court and for proper disposition.
