Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
11357,WESTMINCOM ,ARMM,BASILAN  ,APPREHENSION,WESTMINCOM ,WMC 0610 02 ,06 Oct 2010,"On 061200 Oct 2010, NISG, DIPO-WM, Lamitan Police Station, Basilan PPO, 1518th PMG and 30MC, MBLT10 arrested an ASG member identified as Bidong Ismael @ Abu Ismael/Ben Ismael at the Marine checkpoint located along Limook junction, Bgy Limook, Lamitan, BP said ASG member has a standing warant of arrest for kidnapping and serious illegal detention docketed under criminal cases number 3605-1164,3611-1165,3537-1129 and 3674-1187.Enemy Side:", Apprehended/ Bidong Ismael Abu Ismael,,,,,,"Subject ASG was involved in the Lamitan siege, Taira Golden Harvest Plantation kidnapping and Balobo massacre.",Immediately subject ASG was turned over to Zamboanga City Police Office for custodial debriefing and proper disposition.,
11388,WESTMINCOM ,ARMM,BASILAN ,STRAFING,"1ID, PA ",1DC-0810-1869-2010 ,08 Oct 2010,"On 071840 Oct 2010, River Side CAA Det and Hill 187 Patrol Base all of Brgy Danapah, Albarka, BP were successively strafed by MOL 25 ASG under Malat Solayman @LONG that lasted for two (2) mins after which,  the enemies immediately withdrew towards Southeast direction heading towards Brgy Cambug, Albarka, BP. Negative casualty reported on the gov`t side.Action Taken:",,,,,,,,"2nd Pltn, ACoy, 32IB under 2LT RENRICK J CUMAYA (INF) PA manning Hill 187 immediately established defensive position and returned fire towards enemy position forcing them to withdrew and delivered indirect fires along enemy route of witdrawal.",
11506,WESTMINCOM ,REGION IX,ZAMBOANGA ,APPREHENSION,ISAFP ,SPOT REPORT DTD 16 OCT 2010 ,16 Oct 2010,"On 15 Oct 2010, combined elements of MIG9, ISAFP, 304 AISG, PAF and ZCPO apprehended ASG member Annik Usama @ Abu Usama along vicinity Valderosa St., Zamboanga City.Enemy Side:", Apprehended/ Annik Usama @ Usama,,,,,,"Subject has a standing Warrant of Arrest issued by Hon. Judge Danilo M Bucoy of Branch 9, RTC 9, Isabela City, Basilan Province with criminal case numbers 3674-1187 and 3527-1129 for kidnapping and serious illegal detention with ransom. Furthermore, he has a monetary reward of Php 350,000.00 for his neutralization and presently he is under 304th AISG, PAF custody at Edwin Andrews Airbase, Sta Maria, Zamboanga City.",,
11554,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-1810-01 ,18 Oct 2010,"Progress Report to Journal Item Nr: 11519 dtd 17 Oct 2010, re-encounter of elements of SOP5 (SEALION) MBLT5 against the group of ASG sub leader Basaron Arok and a certain Tahil Dahil with MOL 10 fully armed followers at vicinity Brgy Bungkaong, Patikul, Sulu on 170635H Oct 2010.Enemy Side:",Wounded/ Rizal Asapi  ,,,,,,"Negative casuaty on the gov`t side. The wounded enemy was a resident of Brgy Tanum, Patikul, Sulu.",Combat clearing operations to neutralize the ASG is still ongoing. MNLF-MG:,
11391,WESTMINCOM ,ARMM,SULU ,KIDNAPPING,ISAFP ,SPOT REPORT DTD 09 OCT 2010 ,08 Oct 2010,"On 070900 Oct 2010, a Toyota Tamaraw passenger jeep plying Jolo-Indanan while approaching Sitio Tahi Bash, Brgy Mangis, Indanan, Sulu was flagged down by a group of armed men, two (2) of whom were identified as @ Akmadul, former MNLF Army Integree and one Boy Aying. Three (3) of the passengers identified as Salip Karsum Musin, 65 yrs old; Merilyn Musin, 32 yrs old and Joel (TNU) were abducted by the said group and brought towards Brgy Mangi-Mangis of the same municipality.Action Taken:",,,,,,,,Progress report to follow. MILF:,
11336,EASTMINCOM ,REGION XII,NORTH COTABATO ,HARASSMENT,"6ID, PA ",6DTOC-0410-09-10 ,04 Oct 2010,"On 04 Oct 2010, the house of certain Lino Renganilla was harassed by unidentified number of armed men under a certain @ Cariasa believed to be under MILF at Sitio Mikati, Brgy Lower Dado, Alamada, North Cotabato. The harassment lasted for about three (3) minutes with no casualty reported.Action Taken:",,,,,,,,"At about 1530H same day, one (1) squad from BCoy, 40IB, 6ID, PA led by Cpl de Guzman PA jumped off from Dado Patrol Base and proceeded to the area to assist the situation at said place.",
11380,WESTMINCOM ,REGION IX,BASILAN ,ARMED CLASH,WESTMINCOM ,WMC-0810-02 ,08 Oct 2010,"On 070500 Oct 2010, the civilian resident of Brgy Sapa Bulak, Sumisip, Basilan Province with the Brgy Chairman Yusup Sakalahul was attacked by alleged MILF forces under commander Ustadz Hassan Asnawi thereat.Civilian Side:",,,Wounded/Two (2)  Name not reported  ,,,,The MILF forces with 100 armed men established temporary encampment at Sapa Bulak Elementary School near the CAA Detachment.,MBLT1 led by LTC AMADAR PN (M) was deployed in area to contain the incident and pacify the warring group.,
11429,WESTMINCOM ,ARMM,BASILAN ,HARASSMENT,WESTMINCOM ,WMC-1010-02-10 ,11 Oct 2010,"On 09 Oct 2010, Firebase of MBLT1 located at vicinity Sapa Bulak, Sumisip, Basilan Province was harassed by undetermined number of MILF led by Comdr Ustadz Hassan Asnawi. Firefight lasted for about five (5) minutes after which, the enemy withdrew towards unknown direction. No casualty was reported on either side.Action Taken:",,,,,,,,Troops  conducted clearing operation within the periphery of the said firebase.,
11623,WESTMINCOM ,REGION X,LANAO DEL NORTE ,ENCOUNTER,"1ID, PA ",1DC-2210-1944-2010 ,23 Oct 2010,"On 22 Oct 2010, one (1) Pltn, ACoy, 43IB, PA under LT JEROME H FAJARTIN PA encountered MOL 50 fully armed members of LMG under Bayabao @ Comdr Tower and @ Terminator at vicinity Sitio Madaya, Brgy Adapun-Ali, Balo-I, Lanao del Norte. Firefight lasted for about one (1) hour. Afterwhich, the enemy withdrew towards Southwest direction. No casualty was reported on the government side while undet on the enemy side.Action Taken:",,,,,,,,"Elements of ACoy and Scout Pltn, 43IB continued conducting pursuit operation in the area. LAWLESS ELEMENTS:",
11436,CENTCOM ,REGION VII,NEGROS ORIENTAL  ,SHOOTING,CENTCOM ,COC-2010-129 ,11 Oct 2010,"On 101530 Oct 2010, a certain Vetaliano Jacosalem, a resident of So Candalanon, Brgy Trinidad, Guihulngan, NOR was shot to death by four (4) unidentified assailants believed to be members of SPARU at vicinity So Casingan, Brgy Trinidad, Guihulngan, NOR. The victim was a former rebel returnee and one of the witnesses in the cases filed against the suspected CTs who killed three (3) soldiers of 11IB last May 2009 in Brgy Hilaitan, Guihulngan, NOR.Civilian Side:",,,Killed/Mr Vetaliano Jacosalem,,,,,"CCoy, 11IB and Trinidad CAA Detachment conducted pursuit operation.",
