Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
19102,CENTCOM ,REGION VIII,SAMAR ,ENCOUNTER,CENTCOM ,COC2012-452/COC2012254 ,22 Oct 2012,"On 212230 Oct 2012, one (1) squad of ACoy, 43IB composed of eight (8) EP led by Sgt Araquel PA while moving towards Brgy San Ramon, Gandara, Samar encountered undetermined number of NPAs about 600 meters northwest of said barangay.Government Side:",,KIA/Sgt Ruel O Araquel 810223 PA/Pfc Ruben A Gajes 833697 PA/Pfc Narciso D Pabunan 861242 PA/Pfc Joey O Panoy 895118 PA/WIA/Pfc Rosauro N Deseulao 879916 PA/Pfc Jomell Ryan  Chu 872712 PA/Firearms Losses: /loss/2 - M16 rifles (sn: SN still being determined),,,,,,"Ooa 0905H Oct 12 two (2) UH-1H helis departed H8ID for Brgy San Ramon, Gandara,Samar to picked up casualties and proceeded back to H8ID. EMC1014 EASTMINCOM (REGION 11) COMPOSTELA VALLEY PROVINCE (DISCOVERY OF ENEMY CAMP) Ref: 10ID Report RN: 10ID-TOC-1710-339-12 dtd 17 Oct 2012 On 170630 Oct 2012, one (1) pltn Acoy  of 66TH IB led by 1LT CAGATIN while on combat operations discovered one (1) abandoned enemy encampments at vic 51N ZJ 245462 Purok 4, So Limbatagan, Brgy San Isidro , Nabunturan, Comval Province   Said encampment can accommodate MOL 20 to 30 persons and believed to be abandoned almost a week ago. Action Taken: Said troops still at said location as of this report"
EMC10223,EASTMINCOM ,REGION 12,SOUTH COTABATO ,SURRENDER,10ID ,10ID3-TOC-0310-412-12 ,03 Oct 2012,"On 031400 Oct 2012, Certain Hadji Blasan Dalisan @JAY, 16 years old, resident of Sitio Tasaday, Brgy Ned, Lake Sebu South Cotabato and member (INTEG) team A, Squad 1, Platoon 2, F73, FSMR voluntarily turned without firearms to PDT 1 and 2, C/27IB led by 1LT PORTO at Brgy Tasiman, Lake Sebu South Cotabato. Action Taken:",,,,,,,,"The surrender of @JAY was blottered by the operatives of 27IB to PNP Lake Sebu. The latter is now undergoing interview with operatives of 27IB at Command Group C/27IB, Brgy Luhib of same municipality. CMO this unit to conduct follow-up interview for exploitation of issues."
EMC10258,EASTMINCOM ,REGION 12,SOUTH COTABATO ,SURRENDER,10ID ,10ID3-TOC-0810-426-12 ,08 Oct 2012,"On 081400 Oct 2012, Four (4) regular members of women’s UGMO, FC73, FSMR voluntarily turned themselves without firearms to PDT CCoy led by Sgt Sansano identified as certain Joylyn B Bigay @ CLARA Sharon Samblan Anita; Samblan Mailyn Duma and Felyn Suban at () Brgy Lamfugon, Lake Sebu, South Cotabato. Other Details:",,,,,,,"@ CLARA is  21 yrs old, Sharon Samblan is 33 yrs old, Anita Samblan  is 28 yrs old, Mailyn Duma is 28 yrs old and Felyn Suban is 40 yrs, all members of UGMO, FC73, FSMR and all residents of Sitio Flang, Brgy Lamfugon, Lake Sebu, South Cotabato.  /The surrender was a result of the ongoing PDOP of 27IB in area.","Said surrenderees are currently interviewed with the PDTs and operatives of 27IB at Brgy Lamfugon, Lake Sebu, South Cotabato.  "
EMC10360,EASTMINCOM ,REGION 13 CARAGA,SURIGAO DEL SUR ,ENCOUNTER,4ID ,OPNS 2110 - 1821-2012 ,21 Oct 2012,"Progress Report from Journal Nr. EMC10341 dtd 10/20/2012 Re Encounter of Scout Platoon, 36IB at Sitio Cagmon, Brgy Maitum, Tandag, Surigao del Sur 191115H Oct 2012.On 191115 Oct 2012, Progress Report to the encounter of Scout Platoon, 36IB under 2LT JUDE KEN G ROCHE (INF) PA against more or less ten (10) NPAs believed to be elements of GF30, NEMRC under unknown leader at vicinity Sitio Cagmon, Brgy Maitum, Tandag, Surigao del Sur on 191115 October 2012 which resulted to the recovery of one (1) Cal 7.62mm M14 rifle SNr 1416266 and one (1) magazine for AK-47 rifle.",,,,,,,Losses:  One (1) Lensatic compass Two (2) long magazines for M16 rifle One (1) short magazine for M16 rifle Ammo expenditure:   Cal 5.56mm M16 rifle – 910 rds; Cal 7.62mm M14 rifle – 80 rds; Cal 5.56mm K3 SAW link – 300 rds; 40mm M203 GL – 11 rds and Hand grenade – 1 pc. ,
EMC10385,EASTMINCOM ,REGION 10,BUKIDNON ,HARASSMENT,4ID ,OPNS 2510-1839-2012 ,26 Oct 2012,"On 261500 Oct 2012, On or about 251500 October 2012, KM 30 SCAA PB of FCoy, 23IB located at vicinity KM 30, 51P YK 316 388, Brgy Calabugao, Impasug-ong, Bukidnon under SSg Romeo R Sabado Sr (FA) PA was fired upon by more or less ten (10) unidentified armed men from northeast direction with estimated distance of 200 meters away from the said Patrol Base. Said troops immediately manned their sector of fires and returned fire towards enemy position which lasted for about five (5) minutes. Afterwhich, the enemy withdrew towards northwest position.  Result:  Government side – negative",,,,,,,"Said troops immediately manned their sector of fires and returned fire towards enemy position which lasted for about five (5) minutes. Afterwhich, the enemy withdrew towards northwest position. /Result:  Government side – negative/  Enemy side – undetermined",Nearest Patrol Bases were alerted while intelligence operatives of 23IB were advised to monitor the movement of the perpetrators.
18977,WESTMINCOM ,REGION IX,BASILAN ,ENCOUNTER,AFPJSOG ,AFPJSOG3-3009-234-12 ,01 Oct 2012,"On 300130 Sep 2012,  JSOU1 forces led by CPT VELMOR C MANAOIS (INF) PA composed of 2LRC under CPT DARUY; NAVSOU8 TM under ENS LASHAONA; 721st SOS Tm and 8SRC under CPT PORTEM while on raid operation encountered undetermined number of ASG/LLEs at vicinity of Sitio Bato Simbong, Brgy Mebak, Sumisip, Basilan Province. After which enemy withdrew towards Southeast direction. Enemy Side:",Apprehended/ASG (7 males and 18 females)  /Killed/ASG Mohammad  Aliman /Wounded/ASG Kirum   Tampuri /ASG Kursi  Umangkat ,,,,,,,AA1030H same day. Troops conducted final debriefing and possible follow-on operation.
19069,WESTMINCOM ,ARMM,SULU ,SHOOTING,WESTMINCOM ,WMC-1210-01 ,12 Oct 2012,"On 111515 Oct 2012, Pvt Iringan PA and Pvt Iglesia PA of 6MC, MBLT6 were shot by by three (3) perpetrators identified as a certain Kaifar Aksa @ Mismin, Musaril Sarri and Ruben Odjang under ASG sub-leader Juhurim Hussien while on their way back brining packed lunch for route security at  Brgy Kan Ague, Patikul, SuluGovernment Side:",,KIA/Pvt Mark Iringan 897554 PA,,,,,,"a. Personnel of 6MC led by 1LT ALWIN HOREL PN (M) immediately proceeded to the crime scene to retrieve the cadaver of Pvt Jay Mark B Iringan and alter evac to Trauma Hospital at KHTB for proper disposition.b. At about 1950H same ay, PN Vessel DF 349 departed Jolo, Sulu onboard cadaver of late Pvt Iringan for Zamboanga City and arrived NSRE, EMP, Zamboanga City on or about 120530H Oct 2012."
19070,WESTMINCOM ,REGION IX,BASILAN ,LIQUIDATION,1ID ,1DC 1310 –5916 -2012 ,14 Oct 2012,"On 131615 Oct 2012, Sgt Ronald S Danago 801162 (OS) PA, Cpl Adzhar A Angkaya 820145 (Inf) PA and Pfc Radzmer A Jasim 873570 (Inf) PA all personnel of Alpha Company of 32IB stationed at Sitio Punoh Mellec, Barangay Bohebessey, Lamitan City, Basilan Province were shot to death by Musana Jamiri ASG/UTG while traversing the Basilan Circumferential Road from Alpha Company CP going to Lamitan City onboard two (2) HONDA XRM single motorcycles at Brgy Baas, Lamitan City using Cal .45 Pistol.Government Side:",,KIA/Sgt Adzhar A Angkaya    PA/Cpl Adzhar A Angkaya     PA/Pfc Radzmer A Jasim    PA,,,,,,"a. On or about 131620 Oct 12, one Sqd under 2LT GARCIA, Platoon Leader of Alpha Co,32IB left Co CP to link-up with the troops of 1LT LECHUGAS, CO of said Coy at the area of incident to conduct pursuit operations.b. On or about 1657H same day, CO and S2/OIC S3 of said unit with escorts onboard HUMVEH along with two (2) V150 left Bn Hqs heading towards the incident area to verify the situation thereat, while Lamitan City Police Station pers arrived at said place to conduct investigation. "
19080,WESTMINCOM ,ARMM,SULU ,AIR MISHAP,WESTMINCOM ,WMC-1510-01 ,15 Oct 2012,"On 150945 Oct 2012, two(2) MD 520MG number 503 and 418 piloted by CPT EDWIN L PARCIA PAF/CPT MICHAEL R YRAOLA PAF and 1LT HAGURING PAF/1LT OBESO PAF, presently deployed at Hqs TOG9, Jolo, Suly encountered an enemy ground fire while performing an aerial recon mision at vicinity So Kan Undal , Brgy Darayan, Patikul, Sulu by the group of RME Sub Cmndr Muktadir Abubakar @ Tadi and over So Lasal of same Brgy by the group of ASG Lucky 9 Sub Leader Injimar Mungkabong using M14 rifles. No reported casualty on government side.",,,,,,,,
19082,WESTMINCOM ,REGION IX,ZAMBOANGA DEL SUR ,ARREST,WESTMINCOM ,WNC-1710-01 ,17 Oct 2012,"On 120925H Oct 2012, joint elements of RID, PRO 9; 3AD PAF; RPSB 9 and ZCPO arrested ASG member identified as Rakib JAIRI Y Tanihol allas ABU SULAIMAN together with P03 Asbi SAHIBOL Y Alian, legal age, a PNP member presently assigned at Hadji Mutamad Municipal Police Statiion, Basilan Police Provincial Office while taking breakfast at Shariefa Coffe Shop, Rizal Street, Brgy Zone 4, Zamboanga City. ABU SULAIMAN was arrested by the virtue of Warrant of Arrest docketed under Criminal Case number 3569-412 for the crime of Kidnapping of Golden Harvest Plantation workers on June 11, 2001 at Brgy Tairan, Lantawan, Basilan Province and Serious Illegal Detention issued by Executive Judge Leo Jay T. Principe of RTC, 9th Judicial Region, Branch 1, Isabela City, Basilan Province with no bail recommended.Enemy Side:",Arrested/ASG RAKIB JAIRI Y TANIHOL ABU SULAIMAN/ ASBI SAHIBOL Y ALIAN ,,,,,Recovered/1 - Improvised Explosive Device,,"ABU SULAIMAN was brought to RID, PRO 9 for documentation and proper disposition while P03 Sahibol is now under the custody of ZCPO for further investigation and filling of appropriate charges. joint operatives conducted follow-up operation for possible arrest of their accomplices."
