Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken,
11032,EASTMINCOM ,REGION XII,SARANGANI  ,APPREHENSION,EASTMINCOM ,EMCOC-0309-585-10 ,03 Sep 2010,"On 030530 Sep 2010, of 3rd MC RPSB12 led by PSI Alex Joe Orcajada, CO and P/INSP Marvin V Carisma of Sarangani PPO arrested a certain Ustadz Jamal Guili @Antal (alleged ASG member) at vicinity Purok Dingcaling, Brgy Tambilil, Kiamba, Sarangani by virtue of warrant of arrest, Crime Case No. 130-99, 132-99, 133-99 all for murder issued on 15 Feb 2002 by Executive Judge Jaime Infante of RTC Br 38, Alabel, Sarangani.Enemy Side:", Apprehended  Ustadz Jamal Guili @Antal,,,,,,,"Elements of CCoy, 73IB stationed in Brgy Tambilil, Kiamba provided standby force in case of resistance.",
11038,WESTMINCOM ,ARMM,SULU  ,RAID,ISAFP ,STL REPORT FROM MIG9 ,05 Sep 2010,"On 050023 Sep 2010, joint elements of DIPO-WM and SAF Seaborne conducted a raid on suspected ASG safe house at vicinity Brgy Bualo Lipid, Maimbung, Sulu.Enemy Side:",Killed  2 - unidentified bodies (for identification)    Abdulgafur Jumdail @Gafur Jumdail,,,Recovered 2 - M16 rifle  (sn:  ) 1 - M14 rifle (sn:  ),,Recovered 16 - Magazines for M16 & M14 5 - Cellular phone,"Abdulgafur Jumdail is the younger brother of ASG leader Dr Ahmad Umbra Jumdail @Dr Abu. He was a standing warrant of arrest docketed in CC nr 1091-4 issued by Judge Bensaudi Arabani JT of Branch 4 responsible for extortion at Maimbung and Parang areas victimizing teachers, government employees and businessman.",The cadavers of the slain ASG members were brought to Hqs DIPO-WM Zamboanga City for proper disposition and indentification of two (2) remaining unidentified bodies.,
11039,WESTMINCOM ,ARMM,SULU  ,APPREHENSION,ISAFP ,STL FROM MIG9 ,04 Sep 2010,"On 031450 Sep 2010, a suspected ASG/UTG member under Sulu ASG leader Radullan Sahiron was apprehended by the combined elements of 304AISS, 300AISG, PAF with MARCO-Sulu and SAF, PNP in Camp Asturias, Brgy Asturias, Jolo, Sulu.Enemy Side:", Apprehended  Jul Ahmad Ahadi @Jul Puti,,,,,,"@Jul Puti was apprehended by virtue of the warrant of arrest for kidnapping and serious illegal detention released under CC nr 815-3 RTC, Pasig City and airlifted to EAAB, Sta Maria, Zamboanga City. Jul Ahmad Ahadi @Jul Puti participated in the kidnapping of Jehovah`s Witnesses sometime in August 2002 and Sipadan kidnapping in May 2001.",,
11051,WESTMINCOM ,ARMM,BASILAN ,CAR NAPPING,WESTMINCOM ,WMC-0709-02 ,07 Sep 2010,"On 051500 Sep 2010, a passenger jeepney plying the route from Lamitan to Sumisip all of Basilan Province with undetermined number passengers onboard was flaged down by the group of ASG led by ASG operation officer Nurthassan Jamiri together with Mussana Jamiri, certain Janatin and Jassim (both TNU) who where all armed with cal .45 pistols at vicinity Brgy Cabangalan, Tipo-Tipo, Basilan Province.Other Details:",,,,,,,"Took the jeepney towards Brgy Lagayas, Tipo-Tipo, Basilan Province.",PNP conducted rescue operation for possible recovery.,
11130,WESTMINCOM ,ARMM,BASILAN ,ENCOUNTER,"1ID, PA ",1DC-1609-1745-2010 ,16 Sep 2010,"On 160615 Sep 2010, elements of 32IB, 1ID, PA while on their way from Hill 187 Patrol Base to fetch water at Brgy Bohelebong proper encountered MOL 15 armed ASG under Comdr Bassir Limbungan and Comdr Long Malat at vic Brgy Cambug, Al-Barkar, BP. Firefight ensued for about ten (10) mins afterwhich the enemy withdrew towards Southwest direction proceeding Sitio Libeh, Brgy Macalang, Albarkar, BP.Government Side:",Killed  Two (2) (subject for confirmation)   Wounded  Undetermined    ,KIA Pfc Jay-ar M   Candidio 861565   Pfc Abner C   Abenes 861650   Pfc Randolf D  Flores  861482  ,,,,,,"Immediately, hill 187 Patrol Base provided five (5) rounds of 60mm mortar fires towards enemy route of withdrawal. At about 160710 Sept 10, QRF of 32IB, 1ID, PA led b y Sgt Permacio (Inf) PA left Bn Base on board KM450 truck and two (2) V150 Commandos and proceeded towards ACoy CP to augment the troops. At about 0700H same day, two (2) UH-IH helicopters were alerted for possible MEDEVAC. Progress report to follow.",
11136,WESTMINCOM ,ARMM,BASILAN ,AMBUSH,"1ID, PA ",1DC-1609-1749-2010 ,16 Sep 2010,"Progress Report to Journal Item Nr: 1130 dtd 16 Sept 2010, re-ambush (not encounter as earlier reported) of one (1) squad of 2nd Pltn, ACoy, 32IB against MOL 15 armed ASG under Cmndr Bassir Limbungan and Cmdr Long Malat at vic Brgy Cambug, Albarka, BP on 160615H Sept 2010.Firearms Losses: ",,,,,,Lost 8 - Magazines for M16 rifle 30 rds capacity 12 - Magazines for M16 rifle 20 rds capacity 580 - Rounds ammo for Cal 5.56mm 4 - Harris RF5800VHH004 rechargeable with Battery  2 - LIBG  1 - Battery charger,.,"At about 160750H Sept 2010, one (1) squad from HHCo led by Sgt Leonilo M Baga (Inf) PA with two (2) V150 Commando established checkpoint at junction of Campo Uno, Lamitan, BP to intercept possible enemy evacuation while the cadavers of the three (3) KIAs were brought to Zamboanga City through naval vessel.",
11149,WESTMINCOM ,REGION IX,ZAMBOANGA DEL SUR  ,APPREHENSION,ISAFP ,STL FROM MIG9 & MIG 21 ,17 Sep 2010,"On 17 Sep 2010, joint elements MIG9, MIG21, NISG-WM; MARCC-WM; ZCPO and TFZ apprehended a certain Umbra TEO @ Kashmir at TFZ check point along Mampang Road, Zamboanga CityOther Details:",,,,,,,"a. Subject was one of the primary suspects on the planned bombing in Zamboanga City b. A known follower of ASG leader Khair Mundos. c. Subject was involved in numerous high progile atrocities committed by the ASG such as the Tumahubong, Basilan Kidnappings in 2000, kidnapping of nine (9) Malaysian nationals who were brought to Tawi-Tawi sometime in 2001, and the Superferry Bombing in 2004.",Confiscated on subject`s possession are one (1) fragmentation grenade and a cellular phone,
11164,WESTMINCOM ,CARAGA,BASILAN ,ENCOUNTER,ISAFP ,SPOT REPORT DTD 19 SEP 10 ,19 Sep 2010,"On 190300 Sep 2010, a certain Abdulkarim Sali @ Benjamin Sali/Ben Raffy was neutralized by joint PNP/AFP operatives led by DIPO-WM in a law enforcement operation conducted at vicinity Lower Mangas, Lantawan, Basilan Province.Enemy Side:",Killed  Abdulkarim Sali @ Benjamin Sali/Ben Raffy,,,Recovered 1 - M16 rifle with M203 GL attached (sn: not reported),,,Cadaver of Abdulkarim Sali was recovered by the PNP. Subject has a Warrant of Arrest for kidnapping and serious illegal detention (Lamitan Siege) with monetary reward from joint DND/DILG reward system MILF:,,
11176,EASTMINCOM ,ARMM,MAGUINDANAO ,HARASSMENT,"6ID, PA ",6DTOC-2009-57-2010 ,20 Sep 2010,"Progress Report to Journal Item Nr: 11174 dtd 20 Sept 2010, re-harassment of ACoy, 29IB, under 1LT GUIBONE PA, 2LT COLLADO PA and 2LT CALUNGSOD PA by MOL 50 LMG under Haun Sindatok, Muhiden Karialen & Basil Usman at TPB vic Pagatin PB, Brgy Pagatin, Datu Salibo, maguindanao on 191910 Sept 10.Enemy Side:",Wounded  One (1) identify @ LAHMUDIN      One (1) Unidentified    ,,,,,,"On 200800 Sept 2010, one (1) Pltn of ACoy under 2LT COLLADO PA, conducted clearing patrol at vic Brgy Pagatin, Datu Salibo, Maguindanao and returned to their Temporary Patrol Base at about 1000H same day. ",,
11220,EASTMINCOM ,ARMM,MAGUINDANAO ,ABDUCTION,ISAFP ,STL ,24 Sep 2010,"On 221530 Sep 2010, two (2) unidentified vendors selling kitchen utensils were abducted by elements of 105th BC, CMF, BIAF under Haun Sindatuk at Brgy Pagatin, Datu Salibo, Maguindanao.Action Taken:",,,,,,,,Elements of MIG12 are exerting efforts to track down the present location of the victims and the suspects. Progress report to follow.,
