Journal Code,Unified Command,Region,Province,Type of Engagement,Reference,Report RN,Date,Summary Report,Enemy Side,Government Side,Civilian Side,Firearms Gained,Firearms Losses,Items Recovered / Loss,Other Details,Action Taken
15709,CENTCOM ,REGION VIII,NSAMAR ,ENCOUNTER,8ID ,8D3-OPN-1103-1509-11 ,15 Sep 2011,"Progress Report from Journal Nr. 15681 dtd 9/13/2011, re encounter re encounter of ACoy, 63IB at Brgy Hinagasan, Silbino Lobos, NSamar on 131320 September 2011.Other Details:",,,,,,,"While the troops were scouring their given objective “C”, the Lead Scout of the platoon noticed one suspected CT’s member armed with one home made shot gun at about fifteen (15) meters away from their present location. The Lead Scout immediately call the attention of the suspect to put down his rifle and told him not to escape, however, the alleged right away, run swiftly towards southwest direction. 2LT SANTIAGO PA immediately ordered his first squad to run after the fleeing suspect and directed the 2nd and 3RD squad to hit the high ground in order to support the first squad who pursued the suspected CT. When the suspect was about to be cornered, a number of fires occurred coming from a suspected group of CTs supporting their Comrade on the run that resulted to the exchange of fire for about ten (10) minutes. After which, the enemy immediately withdrew towards the southwest direction utilizing the cliff portion of the ridge line thereat.   ",
EMC09811,EASTMINCOM ,REGION XI,DAVAO ORIENTAL ,APPREHENSION,"U2, EMC ",SPEED SHEET NR 09-056 ,24 Sep 2011,"On 231405 Sep 2011, PNP SAF Davao supported by 701Bde, PA Elements successfully apprehended UTG-ASG member Abdul Aziz Kunting at vicinity Brgy Matiao, Mati, Davao, Oriental. A follow up operation was also conducted and resulted to the arrest of Akmad Kunting by same troops at Provincial  Hospital, Mati City, Davao Oriental on 1452H same day. Aziz and Akmad Kunting are now temporary custody of 701Bde, PA for proper disposition.Enemy Side:", Apprehended ASG Abdul Aziz  Kunting  ASG Akmad  Kunting ,,,,,,,
15619,WESTMINCOM ,ARMM,SULU ,ENCOUNTER,WESTMINCOM ,WMC-0509-02 ,05 Sep 2011,"On 041347 Sep 2011, operating elements of TMG, FRBn composed of MTT/61/63FRC and FRC CL 17 led by LT JANDUSAY PN(M) while conducting hot pursuit operations at vic Brgy Danag, Patikul Sulu encountered undet number of fully armed ASG under the group of ASG leader Radula Sahiron, Isnilon Hapilon and Amin Bacho @JIHAD. Firefight lasted for about ten (1) minutes, afterwhich the enemy withdrew towards north direction. Negative casualty on the gov't side while two (2) wounded on the enemy side.Enemy Side:",Wounded/ Musin Ludin / Apong  Sahiron ,,,,,,A certa Musin Ludin was hit by GSW on his right leg while Apong Sahiron was hit by GSW on his left arm.,
15640,WESTMINCOM ,ARMM,BASILAN ,RECOVERY OF FA,WESTMINCOM ,WMC-070901 ,07 Sep 2011,"On 051200 Sep 2011, combined operating troops composed of two (2) Pltns, 13SRC under CPT JOEY T MAGUNDAYAO (INF) PA, and one (1) team of 17SFC under 2LT ERWIN R VILLANUEVA (INF) PA while on combat/clearing operation at objective ""Bravo"" at vic of Upper Mahayahay, Maluso, Basilan Province.Firearms Gains:",,,,Recovered/2 - M16 rifles (sn: 134148 (Elisco) &amp; 9010361 (Colt))/1 - Grenade Launcher (sn: 1820207)/2 - Spring field garand rifles (sn: 547406 & 3257789)/3 - Improvise shotguns (sn: ),,Serviceable/ - M203 Ammo  /4 - Short magazines w/ thirty live ammo for M16/24 - Live ammo for garand/1 - Ammo pouch/3 - Bandollers/1 - Canteen water,,"At about 1635H same day, troops exfiltrated from the area onboard four (4) KM450 troop carriers and two (2) KM450 trucks for Hqs SOTF-B, at Brgy Tabiawan, ISabela City, Basilan and arrived at about 1750H same day."
15655,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,WESTMINCOM ,WMC-0809-01 ,08 Sep 2011,"On 070930 Sep 2011, one (1) section led by CPT RHOLIE D VILLALUNA (INF) PA and 1LT EDUARDO B RATERTA JR (INF) PA while conducting check point at vicinity Brgy Guiong, Sumisip, Basilan Province apprehended a certain Abdullah Flores, a suspected ASG member.Enemy Side:", Apprehended/ASG member Abdullah  Flores /ASG member Abdullah  Flores ,,,,,,,Subject was turned-over to SOTF-B at about 1420H same day for proper disposition.
15656,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,WESTMINCOM ,WMC-0809-04 ,08 Sep 2011,"On 071100 Sep 2011, one (1) team of 20SFC led by Cpl Valdez with seven (7) EP while conducting check-point at vic Zone 5 Tumahubong, Sumisip, BP apprehended a certain Munibin Baliyong Jana Tul, a resident of So Luketon, Brgy Sukatin, Sumisip, BP and his companion Hasan Davi, a resident of Brgy Tumahubong, Sumisip, BP both alleged suspected ASG members under Passer Bayali.Enemy Side:", Apprehended Suspected    ,,,,,,,
15659,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,"1ID, PA ",1DC-0909-2003-2011 ,09 Sep 2011,"On 090530 Sep 2011, joint Special Intel Operations conducted by 13SRC, 4SRB led by 1LT RODOLFO M PULIDO JR INF PA, elements of PNP RPSB, team from RIU9, PNPIG and operatives from 16MICO apprehended a hardcore ASG member JAL IDRIS @ Jahari Idris IVO 51N UH 977460, Bgy Tandung Ahas, Lamitan City. Said personality has pending warrant with CC2288-494 for kidnapping with Ransom issued by Hon Judge Gonzales of branch 2, 9th Judical Region, Isabela City. Enemy Side:", Apprehended/ASG member Jal Idris @JAHARI IDRIS,,,Recovered/1 - Cal .45 pistol (sn: 1158580),,,,Said personality and recovered firearms were immediately turned-over at HSOTF-B for tactical interrogation and processing respectively.
15664,WESTMINCOM ,ARMM,BASILAN ,APPREHENSION,WESTMINCOM ,WMC-1009-05 ,10 Sep 2011,"On 071100 Sep 2011, elements of 20SFC, 4SFBn (SOCOM, PA led by Cpl Valdez (Inf) PA while on checkpoint operation apprehended a suspected ASG members identified as certain Munibin Baliyong Janatul and his companion a certain Hassan Debi at vic Zone 5, Tumahubong, Sumisip, Basilan Province.Enemy Side:", Apprehended/ASG member Munibin Baliyong Janatul /ASG member Hassan  Debi ,,,,,,,"At about 1345H same day, Apprehended persons was turn-over by 1LT JOSE SYRILL M PERVEZ (INF) PA at Hqs SOTF Basilan at Tabiawan, Isabela City, Basilan in good condition."
15668,WESTMINCOM ,REGION IX,BASILAN ,ENCOUNTER,WESTMINCOM ,WMC-1109-01 ,11 Sep 2011,"On 110730 Sep 2011, operating troops of 4SRBn composed of (2) groups of 12SRC under CPT GERALD D PENSONA PA and one (1) combat team of 11SRC under CPT RHOLIE D VILLALUNA PA encountered more or less ten (10) ASG/LLE's at vicinity 51NUH 971102  Brgy Ettub-Ettub, Sumisip, Basilan. Firefight lasted one (1) hour and thirty (30) mins. Afterwich tne EN withdrew towarsds northwest direction.Enemy Side:",Killed/ASG/LLE's  Haji Mujid   Patta  /ASG/LLEs Bejanmin Tahotoh /ASG/LLEs Totong Beha ,,,Recovered 3 - M16 rifles (sn: not reported) MILF:,,,,
15713,EASTMINCOM ,ARMM,MAGUINDANAO ,AMBUSH,NDRRMC ,MEMO FM NDRRMC ,15 Sep 2011,"On 140630 Sep 2011, members of 106 Base Command under Commander Meds Sambolawan, while passing thru Barangays Damablak in Datu Piang and Ganta in Sheriff Saydona Mustapha, were ambushed by the Bangsamoro Islamic Freedom Fighters (BIFF) led by Hasan IndalOther Details:",,,,,,,"a. A 18 year old girl of Brgy Ganta, Shariff Saydona Mustapha, Maguindanao was wounded on her right leg after she was hit in a crossfire/b. Affected barangays are brgy Penditan in Datu Salibo and Sitios Pantawa, Talitay, Oldagen, Malkem and Ampayong in Brgy Ganta with 730 families/3650 persons were displaced.","a. Wounded victim was rushed to the hospital in Datu Piang for treatment. b. GPH-CCCH closely coordinates with its MILF counterpart to ease down the tension in the area, has bean urging both Ameril Umbra Kato (former MILF 105 BC Commander, now head of the BIFF} and MILF Chairman Kagul Murad to urgently settle their differences in relation to the GPH-MILF peace process as well as the recurring RIDO's in Datu Piang area. c. DSWD and DOH are assessing the IDPs staying with their relatives in Barangay Penditan d. OCD-ARMM coordinated with Datu Salibo Mayor and MDRRMC Chair Datu Akmad Ampatuan and concerned MDRRMC member agencies for assistance to be provided for IDP'S in Barangay Penditan e. Local PNP and AFP units intensified security measures/arrangement in Datu Plang area f. OCD-ARMM Is closely monitoring the situation"
